ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Partial_Cognacy,Borrowing,Morphemes,GroupedSounds
Resigaro-72_here-1,,Resigaro,72_here,βeʔi,βeʔi,β e ʔ i,None,Huber2021,445,,,,β e ( ʔ i ),1570,,,"['β', 'e', 'ʔ', 'i']"
Resigaro-162_there-1,,Resigaro,162_there,neé,neé,n eː,None,Huber2021,1799,,,,n eː,3401,,,"['n', 'eː']"
Resigaro-110_other-1,,Resigaro,110_other,apáapí,apáapí,a p aː p i,None,Huber2021,1115,,,,a p aː p i,2414,,,"['a', 'p', 'aː', 'p', 'i']"
Resigaro-47_few-1,,Resigaro,47_few,ooʤaʤáʔ,ooʤaʤáʔ,oː dʒ a dʒ a ʔ,None,Huber2021,3660,,,,oː dʒ a dʒ a ʔ,999,,,"['oː', 'dʒ', 'a', 'dʒ', 'a', 'ʔ']"
Resigaro-56_fog-1,,Resigaro,56_fog,iítsʰú,iítsʰú,iː tsʰ u,None,Huber2021,123,,,,iː tsʰ u,1160,,,"['iː', 'tsʰ', 'u']"
Resigaro-53_toflow-1,,Resigaro,53_toflow,oʔkón̥ó,oʔkón̥ó,o ʔ k o n̥ o,None,Huber2021,2207,,,,o ʔ k o n̥ o,3988,,,"['o', 'ʔ', 'k', 'o', 'n̥', 'o']"
Resigaro-129_seaocean-1,,Resigaro,129_seaocean,témooú,témooú,t e m oː u,None,Huber2021,1375,,,,t e m oː u,2796,,,"['t', 'e', 'm', 'oː', 'u']"
Resigaro-183_wet-1,,Resigaro,183_wet,patsʰánuʔ,patsʰánuʔ,p a tsʰ a n u ʔ,None,Huber2021,2979,,,,p a tsʰ a n u ʔ,5057,,,"['p', 'a', 'tsʰ', 'a', 'n', 'u', 'ʔ']"
Resigaro-180_towash-1,,Resigaro,180_towash,hipu,hipu,h i p u,None,Huber2021,2816,,,,h i p u,4784,,,"['h', 'i', 'p', 'u']"
Resigaro-197_worm-1,,Resigaro,197_worm,naʔí,naʔí,n a ʔ i,None,Huber2021,3231,,,,n a ʔ i,5412,,,"['n', 'a', 'ʔ', 'i']"
Resigaro-197_worm-2,,Resigaro,197_worm,omáapí,omáapí,o m aː p i,None,Huber2021,3238,,,,o m aː p i,5419,,,"['o', 'm', 'aː', 'p', 'i']"
Resigaro-192_wing-1,,Resigaro,192_wing,aʔnáapí,aʔnáapí,a ʔ n aː p i,None,Huber2021,3160,,,,a ʔ n aː p i,5314,,,"['a', 'ʔ', 'n', 'aː', 'p', 'i']"
Resigaro-194_withaccompanying-1,,Resigaro,194_withaccompanying,neé,neé,n eː,None,Huber2021,3174,,,,n eː,5334,,,"['n', 'eː']"
Resigaro-81_in-1,,Resigaro,81_in,gikó,gikó,g i k o,None,Huber2021,533,,,,g i k o ( - - ),1686,,,"['g', 'i', 'k', 'o']"
Resigaro-5_at-1,,Resigaro,5_at,ná,ná,n a,None,Huber2021,254,,,,n a,133,,,"['n', 'a']"
Resigaro-80_if-1,,Resigaro,80_if,tsíá,tsíá,td i a,None,Huber2021,516,,,,td i a,1664,,,"['td', 'i', 'a']"
Resigaro-79_ice-1,,Resigaro,79_ice,hooníʔiʔβotʰoonú,hooníʔiʔβotʰoonú,h oː n i ʔ i ʔ β o tʰ oː n u,None,Huber2021,505,,,,h oː n i ʔ i ʔ β o tʰ oː n u,1653,,,"['h', 'oː', 'n', 'i', 'ʔ', 'i', 'ʔ', 'β', 'o', 'tʰ', 'oː', 'n', 'u']"
Resigaro-59_tofreeze-1,,Resigaro,59_tofreeze,taa ʤú,taa ʤú,t aː + dʒ u,None,Huber2021,2241,,,,t aː + dʒ u,4028 4029,,,"['t', 'aː', '+', 'dʒ', 'u']"
Resigaro-21_childyoungpersonratherthanasrelationshipterm-1,,Resigaro,21_childyoungpersonratherthanasrelationshipterm,ʤaánú,ʤaánú,dʒ aː n u,None,Huber2021,3003,,,,dʒ aː n u,509,,,"['dʒ', 'aː', 'n', 'u']"
Resigaro-26_tocut-1,,Resigaro,26_tocut,tuu kʰú,tuu kʰú,t uː + kʰ u,None,Huber2021,2028,,,,t uː + kʰ u,3752 3753,,,"['t', 'uː', '+', 'kʰ', 'u']"
Resigaro-189_wide-1,,Resigaro,189_wide,ʤíʤaagú,ʤíʤaagú,dʒ i dʒ aː g u,None,Huber2021,3102,,,,dʒ i dʒ aː g u,5238,,,"['dʒ', 'i', 'dʒ', 'aː', 'g', 'u']"
Resigaro-101_narrow-1,,Resigaro,101_narrow,ooʤaʤáʔ,ooʤaʤáʔ,oː dʒ a dʒ a ʔ,None,Huber2021,896,,,,oː dʒ a dʒ a ʔ,2121,,,"['oː', 'dʒ', 'a', 'dʒ', 'a', 'ʔ']"
Resigaro-42_far-1,,Resigaro,42_far,ʤaβákúʔ,ʤaβákúʔ,dʒ a β a k u ʔ,None,Huber2021,3561,,,,dʒ a β a k u ʔ,884,,,"['dʒ', 'a', 'β', 'a', 'k', 'u', 'ʔ']"
Resigaro-102_near-1,,Resigaro,102_near,aiʤán̥úʔ,aiʤán̥úʔ,a i dʒ a n̥ u ʔ,None,Huber2021,916,,,,a i dʒ a n̥ u ʔ,2142,,,"['a', 'i', 'dʒ', 'a', 'n̥', 'u', 'ʔ']"
Resigaro-164_thick-1,,Resigaro,164_thick,ʤíʤaagí,ʤíʤaagí,dʒ i dʒ aː g i,None,Huber2021,1833,,,,dʒ i dʒ aː g i,3476,,,"['dʒ', 'i', 'dʒ', 'aː', 'g', 'i']"
Resigaro-165_thin-1,,Resigaro,165_thin,ooʤa,ooʤa,oː dʒ a,None,Huber2021,1854,,,,oː dʒ a,3501,,,"['oː', 'dʒ', 'a']"
Resigaro-134_short-1,,Resigaro,134_short,matsʰóʔ,matsʰóʔ,m a tsʰ o ʔ,None,Huber2021,1458,,,,m a tsʰ o ʔ,2916,,,"['m', 'a', 'tsʰ', 'o', 'ʔ']"
Resigaro-71_heavy-1,,Resigaro,71_heavy,hiʒan̥iiʔ,hiʒan̥iiʔ,h i ʒ a n̥ iː ʔ,None,Huber2021,426,,,,h i ʒ a n̥ iː ʔ,1544,,,"['h', 'i', 'ʒ', 'a', 'n̥', 'iː', 'ʔ']"
Resigaro-34_dullknife-1,,Resigaro,34_dullknife,nií tsóʔβiiʔ,nií tsóʔβiiʔ,n iː + td o ʔ β iː ʔ,None,Huber2021,3398,,,,n iː + td o ʔ β iː ʔ,681 682,,,"['n', 'iː', '+', 'td', 'o', 'ʔ', 'β', 'iː', 'ʔ']"
Resigaro-133_sharpasknife-1,,Resigaro,133_sharpasknife,tsóʔβiiʔ tsú,tsóʔβiiʔ tsú,td o ʔ β iː ʔ + td u,None,Huber2021,1440,,,,td o ʔ β iː ʔ + td u,2889 2890,,,"['td', 'o', 'ʔ', 'β', 'iː', 'ʔ', '+', 'td', 'u']"
Resigaro-30_dirty-1,,Resigaro,30_dirty,tsoʔkóʔ,tsoʔkóʔ,td o ʔ k o ʔ,None,Huber2021,3334,,,,td o ʔ k o ʔ,595,,,"['td', 'o', 'ʔ', 'k', 'o', 'ʔ']"
Resigaro-123_rottenespeciallylog-1,,Resigaro,123_rottenespeciallylog,amaaʔkátsʰí,amaaʔkátsʰí,a m aː ʔ k a tsʰ i,None,Huber2021,1296,,,,a m aː ʔ k a tsʰ i,2677,,,"['a', 'm', 'aː', 'ʔ', 'k', 'a', 'tsʰ', 'i']"
Resigaro-143_smooth-1,,Resigaro,143_smooth,heʔníʔ,heʔníʔ,h e ʔ n i ʔ,None,Huber2021,1593,,,,h e ʔ n i ʔ,3105,,,"['h', 'e', 'ʔ', 'n', 'i', 'ʔ']"
Resigaro-155_straight-1,,Resigaro,155_straight,tsíʔkíʔ,tsíʔkíʔ,td i ʔ k i ʔ,None,Huber2021,1715,,,,td i ʔ k i ʔ,3278,,,"['td', 'i', 'ʔ', 'k', 'i', 'ʔ']"
Resigaro-117_rightcorrect-1,,Resigaro,117_rightcorrect,hameeʔn̥áʔoo,hameeʔn̥áʔoo,h a m eː ʔ n̥ a ʔ oː,None,Huber2021,1171,,,,h a m eː ʔ n̥ a ʔ oː,2507,,,"['h', 'a', 'm', 'eː', 'ʔ', 'n̥', 'a', 'ʔ', 'oː']"
Resigaro-87_lefthand-1,,Resigaro,87_lefthand,apáʔmíʔosí,apáʔmíʔosí,a p a ʔ m i ʔ o s i,None,Huber2021,611,,,,a p a ʔ m i ʔ o s i,1781,,,"['a', 'p', 'a', 'ʔ', 'm', 'i', 'ʔ', 'o', 's', 'i']"
Resigaro-118_righthand-1,,Resigaro,118_righthand,kaáʃoʔosí,kaáʃoʔosí,k aː ʃ o ʔ o s i,None,Huber2021,1193,,,,k aː ʃ o ʔ o s i,2535,,,"['k', 'aː', 'ʃ', 'o', 'ʔ', 'o', 's', 'i']"
Resigaro-113_topull-1,,Resigaro,113_topull,kʰaʔ kʰú,kʰaʔ kʰú,kʰ a ʔ + kʰ u,None,Huber2021,2450,,,,kʰ a ʔ + kʰ u,4303 4304,,,"['kʰ', 'a', 'ʔ', '+', 'kʰ', 'u']"
Resigaro-114_topush-1,,Resigaro,114_topush,ɸíi kʰú,ɸíi kʰú,ɸ iː + kʰ u,None,Huber2021,2468,,,,ɸ iː + kʰ u,4327 4328,,,"['ɸ', 'iː', '+', 'kʰ', 'u']"
Resigaro-170_tothrow-1,,Resigaro,170_tothrow,píʔko,píʔko,p i ʔ k o,None,Huber2021,2720,,,,p i.ʔ k o,4657,,,"['p', 'i', 'ʔ', 'k', 'o']"
Resigaro-148_tosplit-1,,Resigaro,148_tosplit,kʰoβáʔ kʰú,kʰoβáʔ kʰú,kʰ o β a ʔ + kʰ u,None,Huber2021,2588,,,,kʰ o β a ʔ + kʰ u,4476 4477,,,"['kʰ', 'o', 'β', 'a', 'ʔ', '+', 'kʰ', 'u']"
Resigaro-29_todig-1,,Resigaro,29_todig,híʔʒo,híʔʒo,h i ʔ ʒ o,None,Huber2021,2075,,,,h i ʔ ʒ o,3817,,,"['h', 'i', 'ʔ', 'ʒ', 'o']"
Resigaro-171_totie-1,,Resigaro,171_totie,hipon̥ú,hipon̥ú,h i p o n̥ u,None,Huber2021,2750,,,,h i p o n̥ u,4692,,,"['h', 'i', 'p', 'o', 'n̥', 'u']"
Resigaro-132_tosew-1,,Resigaro,132_tosew,tsanin̥ú,tsanin̥ú,td a n i n̥ u,None,Huber2021,2513,,,,td a n i n̥ u,4387,,,"['td', 'a', 'n', 'i', 'n̥', 'u']"
Resigaro-41_tofalldropratherthantopple-1,,Resigaro,41_tofalldropratherthantopple,haʔβanú,haʔβanú,h a ʔ β a n u,None,Huber2021,2157,,,,h a ʔ β a n u,3919,,,"['h', 'a', 'ʔ', 'β', 'a', 'n', 'u']"
Resigaro-158_toswell-1,,Resigaro,158_toswell,fóo kʰú,fóo kʰú,f oː + kʰ u,None,Huber2021,2661,,,,f oː + kʰ u,4575 4576,,,"['f', 'oː', '+', 'kʰ', 'u']"
Resigaro-166_tothink-1,,Resigaro,166_tothink,βáfó hénotú,βáfó hénotú,β a f o + h e n o t u,None,Huber2021,2706,,,,β a f o + h e n o t u,4628 4629,,,"['β', 'a', 'f', 'o', '+', 'h', 'e', 'n', 'o', 't', 'u']"
Resigaro-135_tosing-1,,Resigaro,135_tosing,hadáʔpú,hadáʔpú,h a d a ʔ p u,None,Huber2021,2536,,,,h a d a ʔ p u,4410,,,"['h', 'a', 'd', 'a', 'ʔ', 'p', 'u']"
Resigaro-141_tosmellperceiveodor-1,,Resigaro,141_tosmellperceiveodor,siiʔ kʰú,siiʔ kʰú,s iː ʔ + kʰ u,None,Huber2021,2555,,,,s iː ʔ + kʰ u,4434 4435,,,"['s', 'iː', 'ʔ', '+', 'kʰ', 'u']"
Resigaro-177_tovomit-1,,Resigaro,177_tovomit,iʔkan̥ú,iʔkan̥ú,i ʔ k a n̥ u,None,Huber2021,2776,,,,i ʔ k a n̥ u,4735,,,"['i', 'ʔ', 'k', 'a', 'n̥', 'u']"
Resigaro-156_tosuck-1,,Resigaro,156_tosuck,sooʔ kʰú,sooʔ kʰú,s oː ʔ + kʰ u,None,Huber2021,2639,,,,s oː ʔ + kʰ u,4546 4547,,,"['s', 'oː', 'ʔ', '+', 'kʰ', 'u']"
Resigaro-17_toblowofwind-1,,Resigaro,17_toblowofwind,ɸóo kʰú,ɸóo kʰú,ɸ oː + kʰ u,None,Huber2021,1957,,,,ɸ oː + kʰ u,3653 3654,,,"['ɸ', 'oː', '+', 'kʰ', 'u']"
Resigaro-45_tofear-1,,Resigaro,45_tofear,íɸú,íɸú,i ɸ u,None,Huber2021,2175,,,,i ɸ u,3948,,,"['i', 'ɸ', 'u']"
Resigaro-149_tosqueeze-1,,Resigaro,149_tosqueeze,ɲ̥eʔ kʰú,ɲ̥eʔ kʰú,ɲ̥ e ʔ + kʰ u,None,Huber2021,2600,,,,ɲ̥ e ʔ + kʰ u,4494 4495,,,"['ɲ̥', 'e', 'ʔ', '+', 'kʰ', 'u']"
Resigaro-74_toholdinhand-1,,Resigaro,74_toholdinhand,eke kʰú,eke kʰú,e k e + kʰ u,None,Huber2021,2315,,,,e k e + kʰ u,4131 4132,,,"['e', 'k', 'e', '+', 'kʰ', 'u']"
Resigaro-35_dust-1,,Resigaro,35_dust,hípoʤíhú,hípoʤíhú,h i p o dʒ i h u,None,Huber2021,3420,,,,h i p o dʒ i h u,710,,,"['h', 'i', 'p', 'o', 'dʒ', 'i', 'h', 'u']"
Resigaro-90_tolive-1,,Resigaro,90_tolive,an̥iigí,an̥iigí,a n̥ iː g i,None,Huber2021,2416,,,,a n̥ iː g i,4265,,,"['a', 'n̥', 'iː', 'g', 'i']"
Resigaro-122_rope-1,,Resigaro,122_rope,hipon̥áuuʔó,hipon̥áuuʔó,h i p o n̥ a uː ʔ o,None,Huber2021,1273,,,,h i p o n̥ a uː ʔ o,2648,,,"['h', 'i', 'p', 'o', 'n̥', 'a', 'uː', 'ʔ', 'o']"
WitotoMinica-172_tongue-1,,WitotoMinica,172_tongue,iɯ́ɸe,iɯ́ɸe,i ɯ ɸ e,None,Huber2021,2852,,,,i ɯ ɸ e,4828,,,"['i', 'ɯ', 'ɸ', 'e']"
WitotoMinica-99_mouth-1,,WitotoMinica,99_mouth,ɸúe,ɸúe,ɸ u e,None,Huber2021,844,,,,ɸ u e,2062,,,"['ɸ', 'u', 'e']"
WitotoMinica-173_toothfrontratherthanmolar-1,,WitotoMinica,173_toothfrontratherthanmolar,íθido,íθido,i θ i + d o,None,Huber2021,2874,,,,i θ i + d o,4860 545,,,"['i', 'θ', 'i', '+', 'd', 'o']"
WitotoMinica-106_nose-1,,WitotoMinica,106_nose,dóɸo,dóɸo,d o + ɸ o,None,Huber2021,1020,,,,d o + ɸ o,2264 1671,,,"['d', 'o', '+', 'ɸ', 'o']"
WitotoMinica-40_eye-1,,WitotoMinica,40_eye,uíhɯ,uíhɯ,u i h ɯ,None,Huber2021,3538,,,,u.i h ɯ,855,,,"['u.i', 'h', 'ɯ']"
WitotoMinica-36_ear-1,,WitotoMinica,36_ear,héɸo,héɸo,h e ɸ o,None,Huber2021,3454,,,,h e ɸ o,750,,,"['h', 'e', 'ɸ', 'o']"
WitotoMinica-68_head-1,,WitotoMinica,68_head,ɯɸókɯ,ɯɸókɯ,ɯ ɸ o + k ɯ,head-CLF:ROUND,Huber2021,381,,,,ɯ ɸ o + k ɯ,1485 1529,,,"['ɯ', 'ɸ', 'o', '+', 'k', 'ɯ']"
WitotoMinica-103_neck-1,,WitotoMinica,103_neck,kɯmóhɯ,kɯmóhɯ,k ɯ m o + h ɯ,neck-CLF,Huber2021,941,,,,k ɯ m o + h ɯ,2163 1650,,,"['k', 'ɯ', 'm', 'o', '+', 'h', 'ɯ']"
WitotoMinica-103_neck-2,,WitotoMinica,103_neck,kɯ́maɯ,kɯ́maɯ,k ɯ m a + ɯ,None,Huber2021,943,,,,k ɯ m a + ɯ,2163 2424,,,"['k', 'ɯ', 'm', 'a', '+', 'ɯ']"
WitotoMinica-103_neck-3,,WitotoMinica,103_neck,kɯ́moɯ,kɯ́moɯ,k ɯ m o + ɯ,None,Huber2021,943,,,,k ɯ m o + ɯ,2163 2424,,,"['k', 'ɯ', 'm', 'o', '+', 'ɯ']"
WitotoMinica-103_neck-4,,WitotoMinica,103_neck,kɯmókairo,kɯmókairo,k ɯ m o + k a i ɾ o,neck-CLF:LONGISH.FLEX,Huber2021,942,,,,k ɯ m o + k a i ɾ o,2163 1652,,,"['k', 'ɯ', 'm', 'o', '+', 'k', 'a', 'i', 'ɾ', 'o']"
WitotoMinica-10_belly-1,,WitotoMinica,10_belly,hébe,hébe,h e b e,None,Huber2021,1342,,,,h e b e,274,,,"['h', 'e', 'b', 'e']"
WitotoMinica-10_belly-2,,WitotoMinica,10_belly,hébekɯ,hébekɯ,h e b e + k ɯ,None,Huber2021,1343,,,,h e b e + k ɯ,274 279,,,"['h', 'e', 'b', 'e', '+', 'k', 'ɯ']"
WitotoMinica-10_belly-3,,WitotoMinica,10_belly,moi idu,moi idu,m o i + i d u,None,Huber2021,1405,,,,m o i + - i d u,284 275,,,"['m', 'o', 'i', '+', 'i', 'd', 'u']"
WitotoMinica-6_backpersons-1,,WitotoMinica,6_backpersons,emódo,emódo,e m o d o,None,Huber2021,511,,,,( - ) e m o d o,166,,,"['e', 'm', 'o', 'd', 'o']"
WitotoMinica-6_backpersons-2,,WitotoMinica,6_backpersons,heráɯkɯ,heráɯkɯ,h e ɾ aɯ + k ɯ,back-CLF:INHER,Huber2021,522,,,,h e ɾ aɯ + k ɯ,167 108,,,"['h', 'e', 'ɾ', 'aɯ', '+', 'k', 'ɯ']"
WitotoMinica-6_backpersons-3,,WitotoMinica,6_backpersons,ɸekániko,ɸekániko,ɸ e k a n i k o,None,Huber2021,565,,,,ɸ e k a n i k o,173,,,"['ɸ', 'e', 'k', 'a', 'n', 'i', 'k', 'o']"
WitotoMinica-66_hand-1,,WitotoMinica,66_hand,ónoɯ,ónoɯ,o n o + ɯ,None,Huber2021,308,,,,o n o + ɯ,1395 1496,,,"['o', 'n', 'o', '+', 'ɯ']"
WitotoMinica-88_leg-1,,WitotoMinica,88_leg,ɯdá kairo,ɯdá kairo,ɯ d a + k ai ɾ o,None,Huber2021,640,,,,ɯ d a + k ai ɾ o,1812 1813,,,"['ɯ', 'd', 'a', '+', 'k', 'ai', 'ɾ', 'o']"
WitotoMinica-57_foot-1,,WitotoMinica,57_foot,éɯba,éɯba,e ɯ + b a,None,Huber2021,149,,,,e ɯ + b a,1193 1194,,,"['e', 'ɯ', '+', 'b', 'a']"
WitotoMinica-18_bone-1,,WitotoMinica,18_bone,íkuru,íkuru,i k u ɾ u,None,Huber2021,2855,,,,i k u ɾ u,484,,,"['i', 'k', 'u', 'ɾ', 'u']"
WitotoMinica-16_blood-1,,WitotoMinica,16_blood,dɯ́e,dɯ́e,d ɯ + e,None,Huber2021,2391,,,,( - ) d ɯ + e,424 2240,,,"['d', 'ɯ', '+', 'e']"
WitotoMinica-70_heart-1,,WitotoMinica,70_heart,komékɯ,komékɯ,k o m e + k ɯ,None,Huber2021,409,,,,k o m e + k ɯ,1525 1530,,,"['k', 'o', 'm', 'e', '+', 'k', 'ɯ']"
WitotoMinica-195_woman-1,,WitotoMinica,195_woman,rɯìŋo,rɯìŋo,ɾ ɯ i + ŋ o,None,Huber2021,777,,,,ɾ ɯ.i + ŋ o,1981 1982,,,"['ɾ', 'ɯ.i', '+', 'ŋ', 'o']"
WitotoMinica-77_husband-1,,WitotoMinica,77_husband,ɯìni,ɯìni,ɯ i n i,None,Huber2021,493,,,,ɯ.i n i,1634,,,"['ɯ.i', 'n', 'i']"
WitotoMinica-190_wife-1,,WitotoMinica,190_wife,áɯ,áɯ,a ɯ,None,Huber2021,3122,,,,a.ɯ,5265,,,['a.ɯ']
WitotoMinica-44_father-1,,WitotoMinica,44_father,móo,móo,m oː,None,Huber2021,3601,,,,m oː,930,,,"['m', 'oː']"
WitotoMinica-97_mother-1,,WitotoMinica,97_mother,éi,éi,e i,None,Huber2021,792,,,,e.i,1996,,,['e.i']
WitotoMinica-97_mother-2,,WitotoMinica,97_mother,éiɲo,éiɲo,e i + ɲ o,mother-CLF:AN.F,Huber2021,793,,,,e.i + ɲ o,1996 1592,,,"['e.i', '+', 'ɲ', 'o']"
WitotoMinica-108_old-1,,WitotoMinica,108_old,éiroma,éiroma,e i + ɾ o + m a,None,Huber2021,1078,,,,e i + ɾ o + m a,2352 1674 1673,,,"['e', 'i', '+', 'ɾ', 'o', '+', 'm', 'a']"
WitotoMinica-108_old-2,,WitotoMinica,108_old,éikome,éikome,e i + k o m e,mature-? /kome/ really looks like Boran forms.,Huber2021,1079,,,,e i + k o m e,2352 1675,,,"['e', 'i', '+', 'k', 'o', 'm', 'e']"
WitotoMinica-181_water-1,,WitotoMinica,181_water,háɯnoi,háɯnoi,h a ɯ n o i,None,Huber2021,2947,,,,h a.ɯ n o.i,4993,,,"['h', 'a.ɯ', 'n', 'o.i']"
WitotoMinica-119_river-1,,WitotoMinica,119_river,imáni,imáni,i + m a n i,None,Huber2021,1218,,,,i + m a n i,2565 1697,,,"['i', '+', 'm', 'a', 'n', 'i']"
WitotoMinica-119_river-2,,WitotoMinica,119_river,íʤe,íʤe,i + dʒ e,None,Huber2021,1219,,,,i + dʒ e,2565 2577,,,"['i', '+', 'dʒ', 'e']"
WitotoMinica-84_lake-1,,WitotoMinica,84_lake,hórai,hórai,h o ɾ ai,None,Huber2021,561,,,,h o ɾ ai ( - - ),1725,,,"['h', 'o', 'ɾ', 'ai']"
WitotoMinica-49_fire-1,,WitotoMinica,49_fire,irai,irai,i ɾ ai,None,Huber2021,41,,,,i ɾ ai,1040,,,"['i', 'ɾ', 'ai']"
WitotoMinica-4_ashes-1,,WitotoMinica,4_ashes,híθeɸo,híθeɸo,h i θ e ɸ o,None,Huber2021,119,,,,h i θ e ɸ o,115,,,"['h', 'i', 'θ', 'e', 'ɸ', 'o']"
WitotoMinica-142_smokeoffire-1,,WitotoMinica,142_smokeoffire,úiʤɯe,úiʤɯe,ui + dʒ ɯ + e,None,Huber2021,1579,,,,ui + dʒ ɯ + e,3083 341 342,,,"['ui', '+', 'dʒ', 'ɯ', '+', 'e']"
WitotoMinica-138_sky-1,,WitotoMinica,138_sky,móna,móna,m o n a,None,Huber2021,1504,,,,m o n a,2984,,,"['m', 'o', 'n', 'a']"
WitotoMinica-191_wind-1,,WitotoMinica,191_wind,hairíɸo,hairíɸo,h a i ɾ i ɸ o,None,Huber2021,3145,,,,h a.i ɾ i ɸ o,5293,,,"['h', 'a.i', 'ɾ', 'i', 'ɸ', 'o']"
WitotoMinica-157_sun-1,,WitotoMinica,157_sun,hitóma,hitóma,h i t o m a,None,Huber2021,1752,,,,h i t o m a,3320,,,"['h', 'i', 't', 'o', 'm', 'a']"
WitotoMinica-152_star-1,,WitotoMinica,152_star,ukúdu,ukúdu,u k u + d u,None,Huber2021,1653,,,,u k u ( - - ) + d u,3180 378,,,"['u', 'k', 'u', '+', 'd', 'u']"
WitotoMinica-27_dayoppositeofnightratherthantimemeasure-1,,WitotoMinica,27_dayoppositeofnightratherthantimemeasure,móna,móna,m o n a,None,Huber2021,3312,,,,m o n a,562,,,"['m', 'o', 'n', 'a']"
WitotoMinica-105_night-1,,WitotoMinica,105_night,náɯɯo,náɯɯo,n a ɯː o,None,Huber2021,992,,,,( - - - ) n a ɯː o ( - - - - ),2228,,,"['n', 'a', 'ɯː', 'o']"
WitotoMinica-105_night-2,,WitotoMinica,105_night,náɯo,náɯo,n a ɯ o,None,Huber2021,992,,,,( - - - ) n a ɯ o ( - - - - ),2228,,,"['n', 'a', 'ɯ', 'o']"
WitotoMinica-37_earthsoil-1,,WitotoMinica,37_earthsoil,énɯe,énɯe,e n ɯ + e,None,Huber2021,3481,,,,e n ɯ + e,787 1451,,,"['e', 'n', 'ɯ', '+', 'e']"
WitotoMinica-154_stone-1,,WitotoMinica,154_stone,noɸɯkɯ,noɸɯkɯ,n o ɸ ɯ + k ɯ,None,Huber2021,1703,,,,n o ɸ ɯ + k ɯ,3257 412,,,"['n', 'o', 'ɸ', 'ɯ', '+', 'k', 'ɯ']"
WitotoMinica-126_sand-1,,WitotoMinica,126_sand,gúamae,gúamae,g u a m a + e,None,Huber2021,1339,,,,g u a m a + e,2737 243,,,"['g', 'u', 'a', 'm', 'a', '+', 'e']"
WitotoMinica-31_dog-1,,WitotoMinica,31_dog,hɯ́ko,hɯ́ko,h ɯ k o,None,Huber2021,3357,,,,h ɯ k o,629,,,"['h', 'ɯ', 'k', 'o']"
WitotoMinica-160_tail-1,,WitotoMinica,160_tail,óda,óda,o d a,None,Huber2021,1774,,,,o d a,3354,,,"['o', 'd', 'a']"
WitotoMinica-144_snake-1,,WitotoMinica,144_snake,háio,háio,h ai + o,None,Huber2021,1618,,,,h ai + o,3137 2456,,,"['h', 'ai', '+', 'o']"
WitotoMinica-13_bird-1,,WitotoMinica,13_bird,óɸokuiɲo,óɸokuiɲo,o ɸ o + k ui ɲ o,None,Huber2021,2002,,,,o ɸ o + k ui ɲ o,371 366,,,"['o', 'ɸ', 'o', '+', 'k', 'ui', 'ɲ', 'o']"
WitotoMinica-13_bird-2,,WitotoMinica,13_bird,ʤámaikuiɲo,ʤámaikuiɲo,dʒ a m ai + k ui ɲ o,None,Huber2021,337,,,,dʒ a m ai + k ui ɲ o,1423 366,,,"['dʒ', 'a', 'm', 'ai', '+', 'k', 'ui', 'ɲ', 'o']"
WitotoMinica-50_fish-1,,WitotoMinica,50_fish,ʤɯ́kɯaɯ,ʤɯ́kɯaɯ,dʒ ɯ k ɯ + aɯ,None,Huber2021,63,,,,dʒ ɯ k ɯ + aɯ,1073 1032,,,"['dʒ', 'ɯ', 'k', 'ɯ', '+', 'aɯ']"
WitotoMinica-93_louse-1,,WitotoMinica,93_louse,ɯbóma,ɯbóma,ɯ b o + m a,None,Huber2021,704,,,,ɯ b o + m a,1898 1578,,,"['ɯ', 'b', 'o', '+', 'm', 'a']"
WitotoMinica-174_tree-1,,WitotoMinica,174_tree,aména,aména,a m e + n a,None,Huber2021,2882,,,,a m e ( - - ) + n a,4885 1884,,,"['a', 'm', 'e', '+', 'n', 'a']"
WitotoMinica-86_leaf-1,,WitotoMinica,86_leaf,íibe,íibe,iː + b e,?-CLF:LEAF,Huber2021,436,,,,iː + b e,1556 1743,,,"['iː', '+', 'b', 'e']"
WitotoMinica-54_flower-1,,WitotoMinica,54_flower,θáɸia,θáɸia,θ a ɸ i + a,None,Huber2021,100,,,,θ a ɸ i + a,1129 1460,,,"['θ', 'a', 'ɸ', 'i', '+', 'a']"
WitotoMinica-124_torub-1,,WitotoMinica,124_torub,ría,ría,ɾ i a,None,Huber2021,2491,,,,ɾ i a,4361,,,"['ɾ', 'i', 'a']"
WitotoMinica-121_root-1,,WitotoMinica,121_root,háinao,háinao,h a i + n a + o,None,Huber2021,1259,,,,h a i + n a + o,2619 1702 1703,,,"['h', 'a', 'i', '+', 'n', 'a', '+', 'o']"
WitotoMinica-131_seed-1,,WitotoMinica,131_seed,íhɯ,íhɯ,i + h ɯ,None,Huber2021,1203,,,,i + h ɯ,255 2869,,,"['i', '+', 'h', 'ɯ']"
WitotoMinica-153_stickofwood-1,,WitotoMinica,153_stickofwood,ráda,ráda,ɾ a + d a,None,Huber2021,1672,,,,ɾ a + d a,3210 409,,,"['ɾ', 'a', '+', 'd', 'a']"
WitotoMinica-153_stickofwood-2,,WitotoMinica,153_stickofwood,radóθi,radóθi,ɾ a + d o θ i,None,Huber2021,1673,,,,ɾ a + d o θ i,3210 410,,,"['ɾ', 'a', '+', 'd', 'o', 'θ', 'i']"
