ID	WORD	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH
236	pater	1217	FATHER	3
239	paucus	1246	SMALL	1
240	pectus	1592	CHEST	1
245	pingo	3122	PAINT (SOMETHING)	1
246	pinguis	1279	FAT (OBESE)	1
247	piscis	227	FISH	4
759	pleiades			
250	planto			
251	pluma	1201	FEATHER	1
252	poples			
254	profundus			
255	puella			
256	puer	1366	BOY	1
761	pulcher			
259	radix	670	ROOT	2
260	remus			
261	ruber	156	RED	1
264	sagitta	977	ARROW	2
266	salto			
267	sanguis	946	BLOOD	4
270	scapula			
271	sebum			
272	semita, via			
273	senex	1229	OLD	2
768	sepelio			
276	sibilo			
771	sic, sane, recte			
772	sicera			
280	sol	1343	SUN	4
283	soror	1263	SISTER	2
285	stella	1430	STAR	4
776	supercilium			
290	sus	1337	PIG	1
777	sylva			
293	tabacum			
778	tempus matutinum			
296	terra	1300	COUNTRY	1
780	testiculi			
300	tonitru	1150	THUNDER	2
302	tu	1213	YOU	1
304	tugurium			
305	tugurium nostrum			
306	tuus	732	YOUR (SINGULAR)	1
307	veni huc!			
308	venor	1435	HUNT	1
309	venter	819	STOMACH	1
312	ventus	960	WIND	3
314	vesper	1629	EVENING	1
788	vespere			
316	video	1409	SEE	2
318	vir	1200	HUSBAND	1
319	viridis	1425	GREEN	2
320	vivo	1422	BE ALIVE	2
784	umbilicus			
785	unguis			
793	volo, velle			
794	1			
795	2			
332	3	492	THREE	1
335	4	1500	FOUR	1
338	5	493	FIVE	1
341	6	1703	SIX	1
343	7	1704	SEVEN	1
344	8	1705	EIGHT	1
345	9	1483	NINE	1
346	10	1515	TEN	1
809	tapirus americanus			
350	bos	1169	OX	1
352	cervus	1936	DEER	1
812	felis onça			
356	felis pardalis (maracaja)			
357	felis concolor (çuçuarana)			
358	canis	2009	DOG	4
359	canis azarae			
360	cebus fatuellus (prego)			
361	cebus gracilis (caiarara)			
362	callithrix torquato (oyapussá)			
363	lagothrix canus et Humboldti Geoffr. (barrigudo)			
364	pithecia hirsuta (paraoá)			
365	pithecia ouacary (simia melanocephalus Hb.)			
366	nyetipithecus felinus (yá)			
367	dasypus (tatu) major			
368	dasypus minor			
813	nasua			
814	hydrochoerus capivara			
815	dicotyles			
816	coelogenys paca			
817	dasyprocta aguti			
377	myrmecophaga jubata			
378	bradypus tridaetylus			
379	manatus			
380	delphinus			
381	crax globulosa (mutum de faba vel açu)			
382	crax tuberosa (mutum de vargem)			
383	crax urumutum			
384	gallus	1511	ROOSTER	1
385	gallina	1318	CHICKEN	1
642	psittacus macao			
387	psittacus ararauna			
388	psittacus (minor) perikito			
389	rhamphastos			
390	penelope aracuan (aracuan)			
391	penelope cumanensis (cuxuby)			
392	gallinula plumbea (saracura)			
393	anas brasiliensis			
394	emys amazonica			
395	agama (camaleâo)			
819	bufo agoa			
554	rana			
710	lacerta			
399	serpens	730	SNAKE	1
400	crocodilus niger			
820	scarabaeus			
821	fructus musae			
405	albus, a, um			
407	animal	619	ANIMAL	2
411	audire			
660	bibo, ere			
418	brachium	1673	ARM	1
663	brevis, e			
420	caeruleus, a, um			
426	connubo, ere			
681	digitus minimus			
438	dormio, ire			
684	edo, ere			
447	flavus, a, um			
449	fluvius	666	RIVER	3
696	frons, tis			
454	fructus	1507	FRUIT	3
456	genu	1371	KNEE	1
700	gusto, are			
458	guttur	1346	THROAT	1
703	homo (vir)			
469	longus, a, u			
715	lucifer (sidus)			
721	macer, a, um			
722	magnus, a, um			
479	mane	1339	MORNING	1
732	mingo, ere			
489	multus, a, um			
492	niger, a, um			
496	olfacio, ere			
747	oro, are			
750	parvus, a, um			
753	paucus, a, um			
506	pectus, oris			
755	pes, pedis			
757	pinguis, e			
511	pulcher, a, um			
513	ruber, a, um			
765	salto, are			
517	sapio, ere			
519	sepelio, ire			
521	sibilo, are			
786	venor, ari			
541	viridis, e			
542	volo	1441	FLY (MOVE THROUGH AIR)	2
546	felix onça			
818	crocodilus			
557	deus pronobis facit fluvium, sylvam, omnem aquam, omne!			
558	omne pronobis factum est, ut bene vivamus			
559	bonum esse oportet nos eliam			
560	bene et sine offensa vivere cum sociis			
567	capilli			
569	cilia	1540	EYELASH	1
574	cymba			
583	folia			
587	hasta			
591	lacus	624	LAKE	1
592	lignum	1803	WOOD	1
593	lumen			
596	mentum			
598	nares	1178	NOSTRIL	1
600	nidus			
602	nubes	1489	CLOUD	3
608	pluvia	658	RAIN (PRECIPITATION)	3
611	sabulum			
613	sidera			
615	supercilia	1173	EYEBROW	1
617	sic, sane			
619	tubulus pro sagittulis explodendis			
621	venenum sagittarum			
623	via, semita			
632	tigris			
633	simia (in genere)			
634	midas			
635	chrysothrix			
636	callithrix nigrifrons Sp.			
637	ateles paniscus			
638	mycetes			
639	lagothrix			
640	tapirus			
641	crax			
643	psittacus			
646	mandiocca			
661	bellum gerere			
664	caeruleus			
666	capio, ere (captivos)			
680	digitus pedis major (hallux)			
712	lactus, a, um			
714	longus, a, um			
731	meus, a, um			
737	mullue, a, um			
758	plantare			
770	sibilio, are			
783	tuus, a, um			
804	11			
805	12			
806	13			
807	14			
808	15			
822	Ego dux Joann Manoel, valens, alborum amicus, captivo omnes			
823	Deus fecit omne, coelum et fluvium et animalia pro nobis			
