ID	WORD	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH
138	Fledermaus	1793	BAT	5
139	Puma	1891	PUMA	2
140	Tigerkatze (trigillo)			
141	Buschhund			
142	Nasenbär (achuni)			
143	Otter			
144	Delphin (buféo)			
145	Seekuh			
146	Reh			
147	Weißbartpekari			
148	Halsbandpekari			
149	Wasserschwein (ronsoco)			
150	Aguti			
151	Paka (majás)			
152	Gr. Ameisenbär			
153	Faultier	2446	SLOTH	2
154	Kl. Gürteltier (carachupa)			
155	Hahn	1511	ROOSTER	5
157	Ei	744	EGG	9
158	Ara macao			
159	Ara chloroptera			
160	Ararauna			
161	Papagei	882	PARROT	4
162	Hokko			
163	Penelope jacutinga			
164	Penelope jacuacu (pucacunga L.)			
165	Arapaima (paiche L.)			
166	Reisenwels (súngaro)			
167	Landschildkröte			
168	Flußschildkröte			
169	Schlange	730	SNAKE	10
170	Eunectes (boa)			
171	Wespe	1517	WASP	4
172	Milbe (isangüe)			
173	Mücke	1509	MOSQUITO	5
174	Dinoponeraameise (isula)			
175	Ding,Sache			
176	Feuerholz			
177	Asche	646	ASH	12
178	Rauch	778	SMOKE (EXHAUST)	9
179	hart	1884	HARD	6
180	weich	1856	SOFT	6
181	lang	1203	LONG	7
182	kurz	1645	SHORT	7
183	groß	1202	BIG	6
184	klein	2484	SMALL (NOT TALL)	1
185	alt	2113	OLD (USED)	1
186	hübsch	1427	BEAUTIFUL	1
187	häßlich			
188	kalt	1287	COLD	7
189	heiß	1286	HOT	5
190	heute	1283	TODAY	6
191	gestern	1174	YESTERDAY	5
192	morgen	1329	TOMORROW	5
193	hier	136	HERE	4
194	dort	1937	THERE	4
195	ja	1268	YES	3
196	nein	1269	NO	3
197	viele	1198	MANY	1
198	wenig	2924	A LITTLE	2
199	vier	1500	FOUR	10
200	fünf	493	FIVE	10
201	sechs	1703	SIX	7
202	sieben	1704	SEVEN	6
203	acht	1705	EIGHT	7
204	neun	1483	NINE	7
205	zehn	1515	TEN	7
206	gut (?)			
207	schlect (?)			
208	Sohle (?)			
209	Sohn	1620	SON	6
210	mein Sohn			
211	Messer aus Stein oder Eisen			
212	Beil aus Stein oder Eisen			
213	Nadel	1382	NEEDLE (FOR SEWING)	7
214	Hemd	1622	SHIRT	5
215	Flinte	3948	SHOTGUN	2
216	Pulver (?)			
217	Milch	635	MILK	6
218	Kuh	1007	COW	8
219	Spinne, bissig			
220	rein (?)			
221	schmutzig (?)			
222	Löwenäffchen (pichico)			
223	Leptodactylusfrosch			
224	essen (Form?)			
225	schlafen (Form?)			
226	töten (Form?)			
