NUMBER,ENGLISH,(other gloss lgs),SegmentedForm,Variants,Comment,Source (key),CONCEPTICON_ID,CONCEPTICON_GLOSS,,
39,SNAKE,aʰkan̪ṹ,aʰ k a n̪ ṹ,,,ura_2002_lex_snake,730,SNAKE,,SERPIENTE
40,STAR,ad̺as̪ihié,a d̺ a s̪ i h i é,,,ura_2002_lex_star,1430,STAR,,ESTRELLA
41,RED,l̪an̪ãhiĩ́,l a n a + h a + i ,,'be.red-DER-NMLR',ura_2002_lex_red,156,RED,,ROJO
42,EAT,l̪en̪ũn̪iá,l e n u n e + a + k i + a ,,"eat-NMLR' + 'eat-NMLR'; lenune is a sort of 'general' eating verb, ki is used to refer to eating food that can be chew (like meat)",ura_2002_lex_eat,1336,EAT,,COMER
43,ROOT,hais̪í,h a i s̪ í,,,ura_2002_lex_root,670,ROOT,,RAÍZ
44,HAND,bihí,b i h í,,,ura_2002_lex_hand,1277,HAND,,MANO
45,DRY,haʰkuɹ̺ú,h aʰ k u ɹ̺ ú,,,ura_2002_lex_dry,1398,DRY,,SECO
46,LEG,an̪ããẽ́,a n̪ ã ã ẽ́,,,ura_2002_lex_leg,1297,LEG,,PIERNA
47,FOOT,t̪ihiá,t̪ i h i á,,,ura_2002_lex_foot,1301,FOOT,,PIE
48,WIND,kɨhɨan̪ã́,k ɨ h ɨ a n̪ ã́,,,ura_2002_lex_wind,960,WIND,,VIENTO
49,HOUSE,l̪ud̺ed̺í,l̪ u d̺ e d̺ í,,,ura_2002_lex_house,1252,HOUSE,,CASA
50,CLOUD,d̪ed̪e saʰkád̺i,d e d e + s a k á d̺ i ,, 'sky'+'resin',ura_2002_lex_cloud,1489,CLOUD,,NUBE
51,BAD,baas̪ú,b a a s̪ ú,,,ura_2002_lex_bad,1292,BAD,,MALO
52,HAIR,kuɨʰt̪ɨd̺uhí,k u ɨʰ t̪ ɨ d̺ u h í,,lexicalized form kuɨʰt̪ɨd̺i 'head'; ɨhɨi 'hair',ura_2002_lex_hair,1040,HAIR,,CABELLO
53,DRINK,kuʰkuwá,k u k u + a ,,drink-NMLR',ura_2002_lex_drink,1401,DRINK,,BEBER
54,TAIL,n̪ɨ̃s̪eéi,n̪ ɨ̃ s̪ e é i,,,ura_2002_lex_tail,1220,TAIL,,COLA
55,LONG,kaɾ̺aʰt̪í,k a d̺ a + t í ,,be.long-INTENS:NMLR',ura_2002_lex_long,1203,LONG,,LARGO
56,1S,kan̪ɨ̃́,k a n̪ ɨ̃́,,,ura_2002_lex_1S,1209,I,,YO
57,NAME,kɨd̺aá,k ɨ d̺ a á,,,ura_2002_lex_name,1405,NAME,,NOMBRE
58,BITE,kal̪aá,k a l a + á ,,bite-NMLR',ura_2002_lex_bite,1403,BITE,,MORDER
59,FALL,kumũũá,k u m ũ + á ,,fall-NMLR',ura_2002_lex_fall,1280,FALL,,CAER
60,WHAT,dʒa; dʒahé,dʒ a,dʒ a h é,,ura_2002_lex_what,1236,WHAT,,QUÉ
61,ASH,ahan̪ẽ́,a h a n̪ ẽ́,,,ura_2002_lex_ash,646,ASH,,CENIZA
62,MOSQUITO,un̪ũṹ,u n̪ ũ ṹ,,,ura_2002_lex_mosquito,1509,MOSQUITO,,MOSQUITO
63,LIVER,l̪ahá,l̪ a h á,,,ura_2002_lex_liver,1224,LIVER,,HÍGADO
64,PERSON,kadʒá,k a dʒ á,,,ura_2002_lex_person,683,PERSON,,PERSONA
65,WHO,dʒá,dʒ á,,,ura_2002_lex_who,1235,WHO,,QUIÉN
66,NEW,n̪ãdʒás̪iɲẽ,n̪ ã dʒ á s̪ i ɲ ẽ,,,ura_2002_lex_new,1231,NEW,,NUEVO
67,2S,ií,i í,,,ura_2002_lex_2S,1215,THOU,,TÚ
68,KILL,aʰt̪eiɲãã́,a t e i + n a a ,,kill-NMLR'; Olawsky (2006) registers the root satei.,ura_2002_lex_kill,1417,KILL,,MATAR
69,LAUGH,en̪ũãn̪ãã́,e n u a + n a a ,,laugh-NMLR'; Olawsky (2006) registers the root kweena.,ura_2002_lex_laugh,1355,LAUGH,,REÍR 
70,LOUSE,aʰt̪ad̺í́,aʰ t̪ a d̺ í́,,,ura_2002_lex_louse,1392,LOUSE,,PIOJO
71,SKY,d̪ed̪é,d̪ e d̪ é,,,ura_2002_lex_sky,1732,SKY,,CIELO
72,WET,s̪eʰt̪eẽ́t̪i,s eʰ t e ẽ́ + t i ,,be.wet-INTENS:NMLR',ura_2002_lex_wet,1726,WET,,HÚMEDO
73,HEAVY,an̪ããĩʰt̪í,a n a a iʰ + t í ,,be.heavy-INTENS:NMLR',ura_2002_lex_heavy,1210,HEAVY,,PESADO
74,WALK,amɨ̃n̪ã́ã,a m ɨ + n a a ,,walk-NMLR',ura_2002_lex_walk,1443,WALK,,CAMINAR
75,FLY (MOVE THROUGH AIR),hiaaɨl̪ɨn̪ã,h i a a ɨ l ɨ + n a ,,fly-NMLR',ura_2022_lex_fly,1441,FLY (MOVE THROUGH AIR),,VOLAR (MOVERSE POR EL AIRE)
76,YELLOW,fʷan̪ãɾ̺a kaʰtá tuʰkuʷan̪ĩ,f a n a d̺ a + k a t a + t u k u a n i ,,banana' + 'ripe' + 'be.like' ,ura_2022_lex_yellow,1424,YELLOW,,AMARILLO
77,CRY,dʒan̪ãã́,dʒ a n ã + ã́ ,,cry-NMLR',ura_2022_lex_cry,1839,CRY,,LLORAR
78,SIT,n̪ẽl̪aɨd̺iaá,n ẽ l a ɨ d̺ i a + á ,,sit-NMLR',ura_2022_lex_sit,1416,SIT,,SENTARSE
79,WING,it̪ad̺ú,i t̪ a d̺ ú,,,ura_2022_lex_wing,1257,WING,,ALA
80,FAR,kud̺iaaé,k u d̺ i a a é,,,ura_2022_lex_far,1406,FAR,,LEJOS
81,RAIN (PRECIPITATION),el̪ú,e l̪ ú,,,ura_2022_lex_rain,658,RAIN (PRECIPITATION),,LLUVIA
82,ROPE,en̪ũũé,e n̪ ũ ũ é,,,ura_2022_lex_rope,1218,ROPE,,SOGA
83,THIS,kaá,k a á,,,ura_2022_lex_this,1214,THIS,,ESTE
84,SUN,en̪ũt̪ú,e n̪ ũ t̪ ú,,,ura_2022_lex_sun,1343,SUN,,SOL
85,GRASS,fʷas̪t̪ú,fʷ a s̪ t̪ ú,,From Spanish pasto,ura_2022_lex_grass,606,GRASS,,PASTO
86,SHORT,s̪aɾ̺uʷeki,s̪ a ɾ̺ uʷ e k i,,,ura_2022_lex_short,1645,SHORT,,CORTO
87,TREE,n̪ɨ̃ɨ̃n̪ã́,n̪ ɨ̃ ɨ̃ n̪ ã́,,,ura_2022_lex_tree,906,TREE,,ÁRBOL
88,FIVE,s̪aukí,s̪ a u k í,,,ura_2022_lex_five,493,FIVE,,CINCO
89,STAND,n̪ĩtʃaaɨd̺án̪ã,n ĩ tʃ a a ɨ d̺ á + n ã ,,'stand-NMLR',ura_2022_lex_stand,1442,STAND,,PARARSE
90,SHOULDER,n̪ũhũʷãɨ̃́,n̪ ũ h ũʷ ã ɨ̃́,,,ura_2022_lex_shoulder,1482,SHOULDER,,HOMBRO
91,2PL,iɲad̺á,i ɲ a d̺ á,,,ura_2022_lex_2PL,1213,YOU,,USTEDES
92,DAY (NOT NIGHT),hiitʃuú,h i i tʃ u ú,,,ura_2022_lex_day,1225,DAY (NOT NIGHT),,DIA (NO NOCHE)
93,SWIM,fʷitʃun̪ã́,fʷ i tʃ u + n ã́ ,,swim-NMLR',ura_2022_lex_swim,1439,SWIM,,NADAR
94,SPIDER,t̪ihiʲán̪ã,t̪ i h iʲ á n̪ ã,,,ura_2022_lex_spider,843,SPIDER,,ARAÑA
95,BACK,han̪ũd̺í,h a n̪ ũ d̺ í,,,ura_2022_lex_back,1291,BACK,,ATRÁS
96,DIG,bahen̪ãã́,b a h e + n a á ,,dig-NMLR',ura_2022_lex_dig,1418,DIG,,EXCAVAR
97,NEAR,iʰtʃũṹ,iʰ tʃ ũ ṹ,,,ura_2022_lex_near,1942,NEAR,,CERCA
98,SAY,ait̪un̪ã́,a i t u + n ã́ ,,say-NMRL',ura_2022_lex_say,1458,SAY,,DECIR
99,EARTH (SOIL),aʰt̪án̪ẽ́,aʰ t̪ á n̪ ẽ́,,,ura_2022_lex_earth(soil),1228,EARTH (SOIL),,TIERRA (SUELO)
100,LEFT,n̪ãhaabihí,n a h a a + b i h i ,,"?-hand'; nahaa is possibly related to a locative naha in current Urarina, the term nahaabihi is lexicalized already",ura_2022_lex_left,244,LEFT,,IZQUIERDA
101,GIVE,t̪en̪ãã́,t e - n ã ã́,,,ura_2022_lex_give,1447,GIVE,,DAR
102,RIGHT,d̺aut̪un̪ṹ,d̺ a u t̪ u n̪ ṹ,,,ura_2022_lex_right,1019,RIGHT,,DERECHA
103,THUNDER,aɹ̺áɹ̺a,a ɹ̺ á ɹ̺ a,,,ura_2022_lex_thunder,1150,THUNDER,,TRUENO
104,WHERE,dʒɨ́,dʒ ɨ́,,,ura_2022_lex_where,1237,WHERE,,DÓNDE
105,FEAR (BE AFRAID),kasiɲãã́,k a s i + ɲ ã ã́ ,,be.afraid-NMLR',ura_2022_lex_fear (be afraid),1419,FEAR (BE AFRAID),,TENER MIEDO
106,SHARP,ahĩjãt̪í,a h ĩ j ã + t í ,,be.sharp-INTENS:NMLR,ura_2022_lex_sharp,1396,SHARP,,FILUDO
107,VOMIT,n̪aɾuʷaká,n a ɾ uʷ a + k á ,,'vomit-NMLR',ura_2022_lex_vomit,1278,VOMIT,,VOMITAR
108,FLOWER,ɨhɨɰan̪ẽ́,ɨ h ɨ ɰ a n̪ ẽ́,,,ura_2022_lex_flower,239,FLOWER,,FLOR
109,KNEE,kud̺ad̺uhué,k u d̺ a d̺ u h u é,,,ura_2022_lex_knee,1371,KNEE,,RODILLA
110,SALT,t̪ebé,t̪ e b é,,Prob. a wanderwort or a borrowing from Arawak (Cf. Ashaninka tibi 'salt'),ura_2022_lex_salt,1274,SALT,,SAL
111,THAT,n̪ĩĩ́,n̪ ĩ ĩ́,,,ura_2022_lex_that,78,THAT,,ESO
112,GREEN,beɾ̺aɨɾ̺isiiúhʷai,b e ɾ̺ a ɨ ɾ̺ i s i i ú + hʷ a + i ,,be.green-DER-NMLR',ura_2022_lex_green,1425,GREEN,,VERDE
113,OLD,biiɲãã́,b i i ɲ ã ã́,,,ura_2022_lex_old,1229,OLD,,VIEJO
114,DIRTY,baʰt̪aẽẽ́ti,b a t a ẽ ẽ́ + t i ,,be.dirty-INTENS:NMLR',ura_2022_lex_dirty,1230,DIRTY,,SUCIO
115,3PL,aʰkaaɨd̺ɨ́,a k a a + ɨ d̺ ɨ́ ,,that-PL',ura_2022_lex_3PL,817,THEY,,ELLOS
116,LIE DOWN,n̪ẽl̪ud̺án̪ã,n ẽ l u d̺ á + n ã ,,lie.down-NMLR',ura_2022_lex_lie down,215,LIE DOWN,,ACOSTARSE
117,FRUIT,iɲãã́,i ɲ ã ã́,,,ura_2022_lex_fruit,1507,FRUIT,,FRUTA
118,FEATHER,t̪ahaae ɨhɨí,t a h a a e + ɨ h ɨ í ,,bird' + 'hair',ura_2022_lex_feather,1201,FEATHER,,PLUMA
119,KNOW (SOMETHING),kuiʰt̪ɨkɨn̪ãã́,k u i t ɨ k ɨ + n ã ã́ ,,know-NMLR',ura_2022_lex_know,1410,KNOW (SOMETHING),,SABER
120,BLOW (OF WIND),fɨɰakaá,f ɨ ɰ a + k a á ,,blow-NMLR',ura_2022_lex_blow (of wind),175,BLOW (OF WIND),,SOPLAR (EL VIENTO)
121,THROW,s̪ijeit̪uʷá,s i j e i t u + á,,throw-NMLR,ura_2022_lex_throw,1456,THROW,,TIRAR
122,DIE,uʷá,u + á ,,'die-NMLR',ura_2022_lex_die,1494,DIE,,MORIR
123,BE ALIVE,iʰtʃauwá,iʰ tʃ a u + á ,,'be.alive-NMLR',ura_2022_lex_be alive,1422,BE ALIVE,,ESTAR VIVO
125,LIGHTNING,hiaʰkan̪ṹ,h i aʰ k a n̪ ṹ,,,ura_2022_lex_lightning,1654,LIGHTNING,,ILUMINACIÓN
126,FLESH,in̪ʲĩṹ,i n̪ʲ ĩ ṹ,,,ura_2022_lex_flesh,2259,FLESH,,CARNE
127,ALL,s̪at̪ĩ́ĩ́,s̪ a t̪ ĩ́ ĩ́,,,ura_2022_lex_all,98,ALL,,TODO
128,PATH OR ROAD,bed̪ú,b e d̪ ú,,,ura_2022_lex_path or road,2457,PATH OR ROAD,,CAMINO O TROCHA
129,THICK,t̪as̪iṹhũãĩ,t a s i ṹ + h ã + ĩ ,,'be.sick-DER-NMLR',ura_2022_lex_thick,1244,THICK,,GRUESO
130,TOMORROW,ed̺es̪í,e d̺ e s̪ í,,,ura_2022_lex_tomorrow,1329,TOMORROW,,MAÑANA
131,FAT (ORGANIC SUBSTANCE),ed̺en̪ẽ́,e d̺ e n̪ ẽ́,,,ura_2022_lex_fat,323,FAT (ORGANIC SUBSTANCE),,GRASA
132,DUST,buhuiɲaaú,b u h u i ɲ a a ú,,,ura_2022_lex_dust,2,DUST,,POLVO
133,WOMAN,en̪ẽ́,e n̪ ẽ́,,,ura_2022_lex_woman,962,WOMAN,,MUJER
134,HUNT,n̪ẽs̪ad̺ĩɲã́,n ẽ s a d̺ ĩ + ɲ ã́ ,,'hunt-NMLR',ura_2022_lex_hunt,1435,HUNT,,CAZAR
135,BREATHE,n̪ed̺aiɲãã́,n e d̺ a i + ɲ ã ã́ ,,breathe-NMLR',ura_2022_lex_breathe,1407,BREATHE,,RESPIRAR
136,HEART,mũhũẽ́,m ũ h ũ ẽ́,,,ura_2022_lex_heart,1223,HEART,,CORAZÓN
137,STEAL,basihʲaɨŋã́,b a s i hʲ a ɨ + ã́ ,,'steal-NMLR',ura_2022_lex_steal,713,STEAL,,ROBAR
138,HOLD,s̪iitʃaá,s i i tʃ a + á ,,hold-NMLR',ura_2022_lex_hold,1448,HOLD,,SOSTENER
139,CHILD,kan̪ããn̪ã́ĩ,k a n̪ ã ã n̪ ã́ ĩ,,,ura_2022_lex_child,2099,CHILD,,NIÑO(A)
140,YEAR,ahaan̪ã́ã́,a h a a n̪ ã́ ã́,,,ura_2022_lex_year,1226,YEAR,,AÑO
141,COOK (SOMETHING),n̪ẽʰkued̺ã́ĩã,n ẽ k u e d̺ ã́ ĩ + ã ,,cook-NMLR',ura_2022_lex_cook,1100,COOK (SOMETHING),,COCINAR
142,RAT,s̪áá,s̪ á á,,,ura_2022_lex_rat,1490,RAT,,RATA
143,SPIT,kuɨl̪ɨn̪ẽ́n̪ã́,k u ɨ l ɨ n ẽ́ + n ã́ ,,spit-NMLR',ura_2022_lex_spit,1440,SPIT,,ESCUPIR
144,YESTERDAY,d̺aʰká,d̺ aʰ k á,,,ura_2022_lex_yesterday,1174,YESTERDAY,,AYER
145,BURN,mũʰkuʷá,m ũ k u + á ,,burn-NMLR',ura_2022_lex_burn,2102,BURN,,QUEMAR
146,FOG,n̪ũʰkuʷen̪ã́,n̪ ũʰ k uʷ e n̪ ã́,,,ura_2022_lex_fog,249,FOG,,NIEBLA
147,INTESTINES,s̪ɨd̪i kuhuí,s ɨ d̪ i + k u h u í  ,,stomach' + 'rope',ura_2022_lex_intestines,1991,INTESTINES,,INTESTINO
148,ROTTEN,s̪eʰt̪ɨn̪ã́ã,s e t ɨ + n a a ,,be.rotten-NMLR',ura_2022_lex_rotten,1728,ROTTEN,,PODRIDO
149,SMELL (PERCEIVE),s̪aiɲẽ́,s̪ a i ɲ ẽ́,,,ura_2022_lex_smell (perceive),1586,SMELL (PERCEIVE),,OLER
150,COUNT,han̪iiɲã́,h a n i i + n ã́ ,,count-NMLR',ura_2022_lex_count,1420,COUNT,,CONTAR
151,CORRECT (RIGHT),kawatʃá,k a w a tʃ á,,,ura_2022_lex_correct (right),1725,CORRECT (RIGHT),,CORRECTO
152,WHEN,dʒa ban̪ã́,dʒ a + ban̪ã́  ,,INTERR' + 'TIME',ura_2022_lex_when,1238,WHEN,,CUANDO
153,BELOW OR UNDER,n̪ãs̪aaé,n̪ ã s̪ a a é,,,ura_2022_lex_below or under,1485,BELOW OR UNDER,,DEBAJO
154,SCRATCH,fʷaɨɰãn̪ã́,fʷ a ɨ ɰ ã + n ã́ ,,scratch-NMLR',ura_2022_lex_scratch,1436,SCRATCH,,RASCAR/ARAÑAR
155,SUCK,t̪uʰt̪uʷiká,t̪ uʰ t̪ uʷ i k á,,,ura_2022_lex_suck,1421,SUCK,,CHUPAR
156,HIT,t̪ijeit̪un̪ãã́,t i j e i t u + n ã ã́ ,,hit-NMLR',ura_2022_lex_hit,1433,HIT,,GOLPEAR
157,MAN,kiʰtʃá,k iʰ tʃ á,,,ura_2022_lex_man,1554,MAN,,HOMBRE
158,NAVEL,mĩs̪ĩ́,m ĩ s̪ ĩ́,,,ura_2022_lex_navel,1838,NAVEL,,OMBLIGO
159,FINGERNAIL,ɨs̪iʰtʃuʷé,ɨ s̪ iʰ tʃ uʷ é,,,ura_2022_lex_fingernail,1258,FINGERNAIL,,UÑA
160,FOREST,n̪ɨ̃ɨ̃n̪ã́,n̪ ɨ̃ ɨ̃ n̪ ã́,,,ura_2022_lex_forest,420,FOREST,,BOSQUE
161,HOT,ahaat̪í,a h a a + t i + i ,,be.hot-INTENS:NMLR',ura_2022_lex_hot,1286,HOT,,CALIENTE
162,BUY,kud̺et̪en̪ã́,k u d̺ e t e + n ã́ ,,buy-NMLR',ura_2022_lex_buy,1869,BUY,,COMPRAR
163,SEW,t̪uʰkuun̪ã́,t uʰ k u u + n ã́ ,,sew-NMLR',ura_2022_lex_sew,1457,SEW,,COSER
164,HOW,dʒat̪uʷan̪ẽ́ẽ́ĩ,dʒ a + t uʷ a n ẽ́ ẽ́ + ĩ ,,INT-be.how-NMLR'; From the root /tuane/ and the participle form -i,ura_2022_lex_how,1239,HOW,,CÓMO
165,ARM,n̪ũhũã́ɨ̃, n̪ ũ h ũ ã́ ɨ̃,,,ura_2022_lex_arm,1673,ARM,,BRAZO
166,STICK,en̪ɨ̃ᶭã́ ,e n̪ ɨ̃ᶭ ã́,,,ura_2022_lex_stick,1295,STICK,,PALO
167,SQUEEZE,t̪uʷakaá,t̪ u ʷ a k a + á ,,'squeeze-NMLR',ura_2022_lex_squeeze,1414,SQUEEZE,,ESTRUJAR
168,1PL,kan̪ãkaán̪ã,k a n̪ ã k a á n̪ ã,,This is the 1PL exclusive,ura_2022_lex_1PL,1212,WE,,NOSOTROS
169,GO,kɨᶭá,k ɨ + á ,,go-NMLR',ura_2022_lex_go,695,GO,,IR
170,SEED,n̪ũʰkɨᶭɨ́,n̪ ũʰ k ɨᶭ ɨ́,,,ura_2022_lex_seed,714,SEED,,SEMILLA
171,FLOW,mũũd̪ud̺un̪ã́,m ũ ũ d̪ u d̺ u + n̪ ã́ ,,flow-NMLR',ura_2022_lex_flow,2003,FLOW,,FLOTAR
172,BLUNT,ahit̪ijá,a h i t̪ i j á,,,ura_2022_lex_blunt,379,BLUNT,,DESAFILADO
173,BEARD,mãmĩ́ĩ,m ã m ĩ́ ĩ,,,ura_2022_lex_beard,678,BEARD,,BARBA
174,SEA,kɨʰkᶭan̪á,k ɨʰ kᶭ a n̪ á,,,ura_2022_lex_sea,1474,SEA,,MAR
175,OPEN,huaɹ̺ḁkan̪ãã́,h u a d̺ ḁ k a + n ã ã́ ,,open-NMLR',ura_2022_lex_open,1156,OPEN,,ABRIR
176,SING,n̪ẽn̪ãt̪én̪ã,n ẽ n ã t é + n ã ,,sing-NMLR',ura_2022_lex_sing,1261,SING,,CANTAR
177,LAKE,n̪ẽmɨ̃d̺í,n̪ ẽ m ɨ̃ d̺ í,,,ura_2022_lex_lake,624,LAKE,,LAGO
178,SPEAK,ed̺en̪ã́,e d̺ e + n á ,,speak-NMLR'; ed̺e also means 'language',ura_2022_lex_speak,1623,SPEAK,,HABLAR
179,THINK,kauɨn̪ã́,k a u ɨ + n ã́ ,,think-NMLR',ura_2022_lex_think,2271,THINK,,PENSAR
180,BRANCH,ɨɨn̪ẽ́,ɨ ɨ n̪ ẽ́,,,ura_2022_lex_branch,1531,BRANCH,,RAMA
181,FULL,mẽmṹʷã,m ẽ m ṹʷ ã,,,ura_2022_lex_full,1429,FULL,,LLENO
182,THIN,haɹe̥heéd̺iʲa,h a ɹ e h e é d̺ i + a ,,'be.thin-NMLR',ura_2022_lex_thin,2308,THIN,,DELGADO
183,DANCE,d̺aan̪s̪án̪ã,d a a n s á + n ã ,,dance-NMLR'; From Spanish 'danza',ura_2022_lex_dance,1879,DANCE,,BAILAR
184,BUTTERFLY,ihʲããt̪aáud̪i,i hʲ ã ã t̪ a á u d̪ i,,,ura_2022_lex_butterfly,1791,BUTTERFLY,,MARIPOSA
185,WARM,haad̪úʰt̪i; ahaad̺úʰt̪i,(a) h a a d̪ + t i ,,be.warm-INTENS:NMLR',ura_2022_lex_warm 1; ura_2022_lex_warm 2,1232,WARM,,CÁLIDO
186,SWELL,n̪ĩhĩĩɾ̺íɲã,n ĩ h ĩ ĩ ɾ í + n ã ,,'swell-NMLR',ura_2022_lex_swell,1573,SWELL,,HINCHAR
187,CHEST,n̪ãl̪aɾ̺ihʲá,n + ã l a ɾ i hʲ á ,,'3-chest',ura_2022_lex_chest,1592,CHEST,,PECHO
188,SHOOT,iʰtʃafʷan̪ã́,i tʃ a f a + n ã́ ,,shoot-NMLR',ura_2022_lex_shoot,1172,SHOOT,,DISPARAR
189,BOW,t̪en̪ɨ̃n̪ã́,t̪ e n̪ ɨ̃ n̪ ã́,,,ura_2022_lex_bow,994,BOW,,ARCO
190,MOUNTAIN,n̪ɨ̃n̪á,n̪ ɨ̃ n̪ á,,,ura_2002_lex_mountain,639,MOUNTAIN,,MONTAÑA
191,MILK,iʰt̪aad̺í,iʰ t̪ a a d̺ í,,,ura_2002_lex_milk,635,MILK,,LECHE
192,MANY,ad̺ahĩĩ́,a d̺ a h ĩ ĩ́,,,ura_2002_lex_many,1198,MANY,,MUCHOS
193,FINGER,bihi kuɨʰt̪ɨ́d̺i,b i h i + k u ɨʰ t̪ ɨ́ d̺ i ,,hand' + 'head',ura_2002_lex_finger,1303,FINGER,,DEDO
194,TODAY,en̪ẽn̪ẽ́,e n̪ ẽ n̪ ẽ́,,,ura_2002_lex_today,1283,TODAY,,HOY
195,SPEAR,d̺ehũṹ,d̺ e h ũ ṹ,,,ura_2002_lex_spear,945,SPEAR,,LANZA
197,IN,kɨ́,k ɨ́,,,ura_2002_lex_in,1460,IN,,EN
198,FROG,d̪ad̺í,d̪ a d̺ í,,,ura_2002_lex_frog,503,FROG,,RANA
199,SPLIT,n̪el̪ed̺ɨ́ᶭa,n̪ e l̪ e d̺ ɨ́ + a ,,split-NMLR',ura_2002_lex_split,1437,SPLIT,,DIVIDIR
200,MALE PERSON,kiʰʧá,k iʰ ʧ á,,,ura_2002_lex_male person,2106,MALE PERSON,,HOMBRE
201,UPPER LEG (THIGH),an̪ãẽ́,a n̪ ã ẽ́,,,ura_2002_lex_upper leg,471,UPPER LEG (THIGH),,MUSLO
202,OTHER,l̪eeúʧa,l̪ e e ú ʧ a,,,ura_2002_lex_other,197,OTHER,,OTRO
