Doculect	Concept	Form	Note	Gloss
Yanesha	WIND	mʲoɻ		wind (breeze)
Yanesha	SUN	atsneˀ		sun
Yanesha	STAR	ɾanto		star
Yanesha	DAY (NOT NIGHT)	jetʲ		day (daytime)
Yanesha	NIGHT	tsap		night
Yanesha	YEAR	tʃaɾ		year
Yanesha	ROPE	apetʂɾetʂ		rope (cord)
Yanesha	SALT	pos		salt
Yanesha	I	na		I
Yanesha	THOU	pʲa		thou (you)
Yanesha	HE	ɲa		he
Yanesha	THEY	ɲet		they
Yanesha	WE	ja		we
Yanesha	YOU	sa		ye (you all)
Yanesha	WHO	eseʃaˀt		who (interrog)
Yanesha	WHAT	esoˀt		what (interrog.)
Yanesha	THIS	aɲ		this
Yanesha	THAT	ɲeɲtʲ		that
Yanesha	BE ALIVE	koɻeɲets		live
Yanesha	DIE	ɻomʷeɲets		die
Yanesha	FREEZE	tʃeˀneɲets		freeze
Yanesha	SWELL	mʷeseɲets		swell
Yanesha	FALL	ateɲets		fall (drop)
Yanesha	BREATHE	oɻeɻeɲets		breathe
Yanesha	BLOW (OF WIND)	atʲoreɲets		blow (wind)
Yanesha	SLEEP	mʷeɲets		sleep
Yanesha	LIE (REST)	pʲaneɲets		lie (be lying down)
Yanesha	SIT	aneɲets		sit
Yanesha	STAND	tʲeɲets		stand
Yanesha	FLOAT	enopaˀɻteɲets		float
Yanesha	FLOW	mateɲets		flow
Yanesha	COME	weɲets		come
Yanesha	WALK			walk
Yanesha	FLY (MOVE THROUGH AIR)	aneɲets		fly (verb)
Yanesha	SWIM	patʲeɲets		swim
Yanesha	TURN AROUND	e'rramateñets		turn (intr. v.)
Yanesha	PLAY	jeʎʃeɲeˀtʃeɲets		play
Yanesha	SEE	enteɲets		see
Yanesha	SMELL (PERCEIVE)	mosjeɲets		smell (tr. v.)
Yanesha	EAR	eˀmʷeɲets		hear
Yanesha	HEAR	eˀmʷeɲets		hear
Yanesha	KNOW (SOMETHING)	eɲoteɲets		know (facts)
Yanesha	THINK	kotʲapeˀtʃeɲets		think
Yanesha	FEAR (BE AFRAID)	metʃaˀteɲets		fear (verb)
Yanesha	COUNT	eˀɲoteɲets		count (verb)
Yanesha	SAY	oteɲets		say
Yanesha	SING	moɻetʃeɲets		sing
Yanesha	LAUGH	tʃeˀteɲets		laugh
Yanesha	EAT	ɻeɲets		eat
Yanesha	DRINK	oɹeteɲet͡s		drink (verb)
Yanesha	SUCK	t͡sot͡soteɲet͡s		suck
Yanesha	BITE	at͡ʃɻeɲet͡s		bite
Yanesha	SPIT	akoʃeɲet͡s		spit (verb)
Yanesha	VOMIT	atat͡steɲet͡s		vomit (verb)
Yanesha	SCRATCH	waɻoteɲet͡s		scracth (itch)
Yanesha	HUNT	ʃoteɲet͡s		hunt
Yanesha	BURNING	et͡ʃomweɲet͡s		burn (tr. v.)
Yanesha	SEW	sept͡ʃat͡seteɲet͡s		sew
Yanesha	TIE	wankeɲet͡s		tie (verb)
Yanesha	PULL	t͡ʃetaɾeteɲet͡s		pull
Yanesha	THROW	wapoɾeteɲet͡s		throw
Yanesha	PUSH	ent͡ʃeɲet͡s		push
Yanesha	SQUEEZE	et͡ʃtateɲet͡s		squeeze
Yanesha	DIG	ent͡seteɲet͡s		dig
Yanesha	WASH	epanateɲet͡s		wash
Yanesha	WIPE	et͡ʃeɲet͡s		wipe
Yanesha	RUB	ajankoteɲet͡s		rub
Yanesha	GIVE	apweɲet͡s		give
Yanesha	HOLD	ɻemweɲet͡s		hold (in hand)
Yanesha	CUT	ʃoɾeɲet͡s		cut (verb)
Yanesha	SPLIT	t͡ʃɨteɲet͡s		split
Yanesha	FIGHT	t͡ʃetanneɲet͡s		fight
Yanesha	HIT	asöteɲet͡s		hit
Yanesha	STAB	öɾeteɲet͡s		stab (or pierce)
Yanesha	KILL	mɨseɲet͡s		kill
Yanesha	SMOOTH	aʎiɲ		smooth
Yanesha	WARM (OF WEATHER)	at͡seɾ		warm (hot weather)
Yanesha	COLD (OF WEATHER)	senet͡ʃ		cold (weather)
Yanesha	SHARP	et͡sötaɲ		sharp (knife)
Yanesha	BLUNT	ama t͡sotaɲiʎaʎe		dull (knife)
Yanesha	ROTTEN	potsaɲ		rotten (log)
Yanesha	STRAIGHT	patʂaɻ		straight
Yanesha	DIRTY	sosej		dirty
Yanesha	HEAVY	eɲeɻ		heavy
Yanesha	WET	poreˀ		wet
Yanesha	DRY	poɻaɻeˀ		dry (adj./v.)
Yanesha	BLACK	keʎʷe; jenanen		black
Yanesha	WHITE	waʎamaˀtʲ		white
Yanesha	RED	tsamaˀtʲ		red
Yanesha	YELLOW	ʃomaʃer		yellow
Yanesha	GREEN	aspan		green
Yanesha	NEW	etseɻa		new
Yanesha	OLD	poˀnmeneʃaˀ		old (adj)
Yanesha	GOOD	kowen		good
Yanesha	BAD	sosej		bad
Yanesha	HERE	aɻ		here
Yanesha	THERE	tʲaɻ		there
Yanesha	NEAR	aʎameˀtets		near
Yanesha	FAR	aʎapʲaɾ		far
Yanesha	RIGHT	patʂaɻ		right (side)
Yanesha	LEFT	etʃkotʲ		left (side)
Yanesha	BIG	ataɻ		big
Yanesha	THICK	βʲatʲ		wide
Yanesha	WIDE	βʲatʲ		wide
Yanesha	THICK	ɾakɪt		thick
Yanesha	SMALL	aɲetʲoʎ		small
Yanesha	THIN	pʷeˀpeɾ		thin
Yanesha	NARROW	ketʂko		narrow
Yanesha	LONG	aʎpotʃaʷpʲ		long
Yanesha	SHORT	koɲeˀtʲ		short
Yanesha	ONE			one
Yanesha	TWO	epa		two
Yanesha	THREE	maˀpa		three
Yanesha	FOUR	paˀtats		four
Yanesha	FIVE	amnar		five
Yanesha	MANY	paɻaɾen		many
Yanesha	FEW	koɲeˀtʲ		few
Yanesha	ALL	aʎowenet		all
Yanesha	SOME	patantaɻ		some
Yanesha	OTHER	poˀpoɲ		other
Yanesha	WHERE			where (interrog.)
Yanesha	WHEN	esempoˀt		when (interrog)
Yanesha	HOW	eɻotʲenaˀt		how (interrog)
Yanesha	IN	-o		in
Yanesha	CORRECT (RIGHT)	atetʲ		right (correct)
Yanesha	NOT	ama		not
Yanesha	AND	ɲamʲa		and
Yanesha	BECAUSE	ɲeɲtʲoˀmaɾ		because
Yanesha	IF	haː		if
Yanesha	AT	-o		at
Yanesha	WITH	-o		with (accompaniment)
