Doculect	Concept	Form	Notes
Omurano	FOOT	analṓ̠tθi	Tessmann: Fuß
Omurano	BONE	anaī́	Tessmann: Knochen
Omurano	BLOOD	lána	Tessmann: Blut
Omurano	HUSBAND	njiwā́na	Tessmann: Ehemann
Omurano	WIFE	njiwā́na	Tessmann: Ehefrau
Omurano	FLESH OR MEAT	aitša	Tessmann: Fleisch
Omurano	FISH	mā́ma	Tessmann: Fisch
Omurano	SKY	bā́al	Tessmann: Himmel
Omurano	STAR	θnn̄́	Tessmann: Stern
Omurano	WIND	bū́na	Tessmann: Wind
Omurano	NIGHT	nṓpei	Tessmann: Nacht
Omurano	DAY (NOT NIGHT)	báō	Tessmann: Tag
Omurano	FOREST	napápai	Tessmann: Wald
Omurano	TREE	á͜a	Tessmann: Baum
Omurano	LEAF	ápai	Tessmann: Blatt
Omurano	ROOT	yálĕ'	Tessmann: Wurzel
Omurano	EGG	ū͜ŭ́n	Tessmann: Ei
Omurano	SNAKE	r̥óma	Tessmann: Schlange
Omurano	ASH	n̄jótši	Tessmann: Asche
Omurano	SMOKE (EXHAUST)	niáuwitsŏ	Tessmann: Rauch
Omurano	LONG	ðaḗ̠ma	Tessmann: lang
Omurano	SHORT	atatṓi	Tessmann: kurz
Omurano	BIG	lē̠tḗ̠	Tessmann: groß
Omurano	HERE	ńtalo	Tessmann: hier
Omurano	THERE	ńtali	Tessmann: dort
Omurano	MANY	alē̠ē̠ma	Tessmann: viele
Omurano	FEW	atatī́u	Tessmann: wenig
Omurano	FOUR	natsononídza	Tessmann: vier
Omurano	FIVE	or̥ar̥ápa	Tessmann: fünf
Omurano	GOOD	ni'manei	Tessmann: gut (?)
Omurano	BAD	atšámani	Tessmann: schlect (?)
Omurano	DIRTY	aiðóamana	Tessmann: schmutzig (?)
Omurano	EAT	pḗ̠nē̠ĩn̊	Tessmann: essen (Form?)
Omurano	SLEEP	látšani	Tessmann: schlafen (Form?)
Omurano	KILL	napē̠tẽ́n̊ani	Tessmann: töten (Form?)
Tequiraca	TONGUE	axlī́ū	Tessmann: Zunge
Tequiraca	TOOTH	āka	Tessmann: Zahn
Tequiraca	EYE	atū́ka̯	Tessmann: Auge
Tequiraca	EAR	otoroã	Tessmann: Ohr
Tequiraca	HEAD	awarēkě	Tessmann: Kopf
Tequiraca	HAND	akokī́wǎ	Tessmann: Hand
Tequiraca	WATER	wā́ē	Tessmann: Wasser
Tequiraca	FIRE	yaha̯ó̄n̊	Tessmann: Feuer
Tequiraca	SUN	akro̯ā́k	Tessmann: Sonne
Tequiraca	STONE	noklo̯ā́xe̯	Tessmann: Stein
Tequiraca	WOMAN	aslanḗ	Tessmann: Frau
Tequiraca	STICK	áwa	Tessmann: Stock
Tequiraca	ONE	ismáwa	Tessmann: eins
Tequiraca	TWO	kisnáõ	Tessmann: zwei
Tequiraca	THREE	akū́wa	Tessmann: drei
Tequiraca	WHITE	sukḗe	Tessmann: weiß
Tequiraca	BLACK	lō'āk	Tessmann: schwarz
Tequiraca	RED	taxḗkiǎ	Tessmann: rot
Yameo	WATER	nan̊'wá	Tessmann: Wasser
Yameo	FIRE	ō̠lĕ̠	Tessmann: Feuer
Yameo	SUN	natĕ̠́ra	Tessmann: Sonne
Yameo	STONE	rŭšŭ' (ruwisu)	Tessmann: Stein
Yameo	WOMAN	wátrĕ	Tessmann: Frau
Yameo	DOG	niamĭ́	Tessmann: Hund
Yameo	STICK	ō̠ɣŭ́'	Tessmann: Stock
Yameo	ONE	pwitĕ́r	Tessmann: eins
Yameo	TWO	narámue̯	Tessmann: zwei
Yameo	THREE	kin̊sắ (von kimsa Ketsch.)	Tessmann: drei
Yameo	WHITE	pašelắ	Tessmann: weiß
Yameo	BLACK	kašelắ	Tessmann: schwarz
Yameo	RED	ntelắ	Tessmann: rot
Yameo	HAIR	yana'an̊se	Tessmann: Haar
Yameo	NOSE	inĭṛše'á	Tessmann: Nase
Yameo	MOUTH	ĭ́pĕ̠	Tessmann: Mund
Yameo	NECK	eren̊šamtitená	Tessmann: Hals
Yameo	BACK	išĕ̯n’á	Tessmann: Rücken
Yameo	BELLY	(ī)wē	Tessmann: Bauch
Yameo	LEG	ilī́	Tessmann: Bein
Yameo	FOOT	erē̠šamtínjo̯	Tessmann: Fuß
Yameo	BONE	elitē̠alŏ́	Tessmann: Knochen
Yameo	BLOOD	inē̠alá	Tessmann: Blut
Yameo	PERSON		Tessmann: Mensch
Yameo	HUSBAND	ilē̠yā́	Tessmann: Ehemann
Yameo	WIFE	ilē̠lö̆́'	Tessmann: Ehefrau
Yameo	FATHER	ī́yē̠	Tessmann: Vater
Yameo	MOTHER	yan̊ū́elö̯	Tessmann: Mutter
Yameo	FLESH OR MEAT	salái	Tessmann: Fleisch
Yameo	FISH	amī́n̊	Tessmann: Fisch
Yameo	SKY	ṛešiṍ'	Tessmann: Himmel
Yameo	STAR	kláṛeši	Tessmann: Stern
Yameo	CLOUD	wápŏ'	Tessmann: Wolke
Yameo	WIND	walĕnḗ̠	Tessmann: Wind
Yameo	NIGHT	nkṓ̠o̯ši	Tessmann: Nacht
Yameo	DAY (NOT NIGHT)	pā́pa	Tessmann: Tag
Yameo	YEAR		Tessmann: Jahr
Yameo	RIVER		Tessmann: Fluß
Yameo	FOREST	tṓ̠o̯la	Tessmann: Wald
Yameo	TREE	ṓɣun̊	Tessmann: Baum
Yameo	LEAF	nin̊ɣū́n̊	Tessmann: Blatt
Yameo	FLOWER	sisắ	Tessmann: Blume
Yameo	ROOT	ṛasā́laṇ	Tessmann: Wurzel
Yameo	EGG	waalán̊	Tessmann: Ei
Yameo	SNAKE	šatŭ́n̊	Tessmann: Schlange
Yameo	ASH	ō̠ṛšĕ́'	Tessmann: Asche
Yameo	SMOKE (EXHAUST)	wanḗ̠asi̯	Tessmann: Rauch
Yameo	LONG	pṛē̠alŭ́	Tessmann: lang
Yameo	SHORT	nīnlḗ̠ra	Tessmann: kurz
Yameo	BIG	stẽri	Tessmann: groß
Yameo	HERE	anṹlaṛa	Tessmann: hier
Yameo	THERE	lŏmā́tṛĕ	Tessmann: dort
Yameo	RIGHT	marī́n̊'ŭ	Tessmann: rechts
Yameo	LEFT	moná̠jŭ	Tessmann: links
Yameo	MANY	parī́n̊ṛĕ	Tessmann: viele
Yameo	FEW	tekar paṛinṛe	Tessmann: wenig
Yameo	FOUR	tšiúskō (Ket.)	Tessmann: vier
Yameo	FIVE	piški (Ket.)	Tessmann: fünf
