ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
61	227	FISH	chóʼni̋ 	 fish	 fish	fish-1
62	493	FIVE				
63	2615	FLESH OR MEAT				
64	1574	FLOAT				
65	2003	FLOW				
66	239	FLOWER				
67	1441	FLY (MOVE THROUGH AIR)	go̊ 	 fly;  rush (sg.);  grow (sg.)	 fly	fly-1
68	1441	FLY (MOVE THROUGH AIR)	mŭre̋nǖ 	 fly	 fly	fly-2
69	249	FOG				
70	1301	FOOT	-ku̽tǖ 	 foot	 foot	foot-1
71	420	FOREST				
72	1500	FOUR				
73	1431	FREEZE				
74	1447	GIVE				
75	1035	GOOD	mé 	 be good	 be good	begood-1
76	606	GRASS				
77	1425	GREEN	ya̰u  	 be blue or green	 be blue or green	beblueorgreen-1
78	1334	GUTS				
79	1040	HAIR	-ya̋ē 	 hair	 hair	hair-1
80	1277	HAND	-ʼmḛʼe ∼ -mḛ 	 [-tr.] hand	 [-tr.] hand	trhand-1
81	1211	HE				
82	1256	HEAD	-e̽rú 	 head	 head	head-1
83	1408	HEAR	iñ̄ ǖ  	 hear;  think	 hear	hear-1
84	1223	HEART				
85	1210	HEAVY				
86	136	HERE				
87	1433	HIT				
88	1448	HOLD	ngî 	 hold	 hold	hold-1
89	1239	HOW	ñùʼã̀kǜint.-ind. ad  	 how?	 how?	how-1
90	1435	HUNT	fènǖē 	 hunt	 hunt	hunt-1
91	1200	HUSBAND	-té 	 [-tr.] husband	 [-tr.] husband	trhusband-1
92	1209	I				
93	617	ICE				
94	1459	IF	ēgá∼ gá∼ ngēgá 	 if	 if	if-1
95	1460	IN				
96	1417	KILL	dài  	 kill (pl.)	 kill (pl.)	killpl-1
97	1417	KILL	ma̰ 	 kill (sg.);  be long	 kill (sg.)	killsg-1
98	1410	KNOW (SOMETHING)				
99	624	LAKE	-ʼtáʼa  	 [-tr.] lake	 [-tr.] lake	trlake-1
100	1355	LAUGH	kú 	 laugh	 laugh	laugh-1
101	628	LEAF	nāiʼa̋tǖ 	 tree leaf	 tree leaf	treeleaf-1
102	244	LEFT	tʼŏʼwe̋ 	 left	 left	left-1
103	1297	LEG	-pārà 	 [-tr.] leg	 [-tr.] leg	trleg-1
104	1411	LIE (REST)	kā 	 lie	 lie	lie-1
105	1224	LIVER				
106	1203	LONG	ma̰ 	 kill (sg.);  be long	 be long	belong-1
107	1392	LOUSE				
108	2106	MALE PERSON				
109	1198	MANY				
110	1216	MOTHER	bûʼi̋ ∼ biʼ̂i̋  	 mother	 mother	mother-1
111	1216	MOTHER	õ̀ʼe̋ 	 mother	 mother	mother-2
112	1216	MOTHER	-é 	 [-tr.] mother	 [-tr.] mother	trmother-1
113	639	MOUNTAIN				
114	674	MOUTH	-a̰ 	 [-tr.] mouth	 [-tr.] mouth	trmouth-1
115	674	MOUTH	-ʼchiń eʼ́ e  	 [-tr.] mouth (of a ri v.r)	 [-tr.] mouth (of a ri v.r)	trmouthofarivr-1
116	1405	NAME	-e̋gà 	 name	 name	name-1
117	1267	NARROW				
118	1942	NEAR				
119	1333	NECK	-náʼa  	 [-tr.] neck	 [-tr.] neck	trneck-1
120	1231	NEW				
121	1233	NIGHT				
122	1221	NOSE				
123	1240	NOT				
124	1229	OLD				
125	1493	ONE	wiʼ́á  	 one	 one	one-1
126	197	OTHER	na̋i m. 	 other (n)	 other (n)	othern-1
127	197	OTHER	nài m. 	 other (f/m)	 other (f/m)	otherfm-1
128	197	OTHER	tòm. 	 other (ns)	 other (ns)	otherns-1
129	683	PERSON	dùã̰  	 human	 human	human-1
130	1413	PLAY	iñ̄ ǖkà  	 play	 play	play-1
131	1413	PLAY	pāʼü  	 play;  ring	 play	play-2
132	1455	PULL	tȕ 	 pull	 pull	pull-1
133	1452	PUSH	kṵ 	 hide;  push	 push	push-1
134	1253	RAIN (RAINING)				
135	156	RED	dåu  	 be red	 be red	bered-1
136	1019	RIGHT	tǘgǖnè 	 right	 right	right-1
137	666	RIVER				
138	667	ROAD				
139	670	ROOT	-ma̰ 	 [+tr.] root	 [+tr.] root	trroot-1
140	1218	ROPE	-tṵ̈ 	 [+tr.] rope	 [+tr.] rope	trrope-1
141	1728	ROTTEN				
142	1449	RUB				
143	1274	SALT				
144	671	SAND				
145	1458	SAY	ū 	 say	 say	say-1
146	1436	SCRATCH	chůʼu  	 scratch	 scratch	scratch-1
147	1436	SCRATCH	wü̏ 	 scratch	 scratch	scratch-2
148	1474	SEA				
149	1409	SEE	dău  	 see;  bother	 see	see-1
150	714	SEED				
151	1457	SEW				
152	1396	SHARP				
153	1645	SHORT	nûʼu  	 be short	 be short	beshort-1
154	1261	SING	ă 	 sing	 sing	sing-1
155	1261	SING	wiȳ aē ̄  	 sing	 sing	sing-2
156	1416	SIT	tŏ 	 sit	 sit	sit-1
157	2613	SKIN (HUMAN)				
158	1732	SKY				
159	1585	SLEEP	pé 	 sleep	 sleep	sleep-1
160	1246	SMALL	ḭ 	 be small	 be small	besmall-1
161	1246	SMALL	iʼ̏rà  	 be small	 be small	besmall-2
162	1586	SMELL (PERCEIVE)				
163	778	SMOKE (EXHAUST)				
164	1234	SMOOTH				
165	730	SNAKE	ã̄ʼtápē 	 snake	 snake	snake-1
166	784	SNOW				
167	1241	SOME				
168	1440	SPIT	fàʼi  	 spit	 spit	spit-1
169	1437	SPLIT	bǘ 	 split	 split	split-1
170	1414	SQUEEZE				
171	1434	STAB	kă 	 stab	 stab	stab-1
172	1434	STAB	pài  	 prick	 prick	prick-1
173	1442	STAND	chi̊ 	 stand	 stand	stand-1
174	1430	STAR				
175	1295	STICK				
176	857	STONE				
177	1404	STRAIGHT	wī 	 be straight	 be straight	bestraight-1
178	1421	SUCK				
179	1343	SUN				
180	1573	SWELL	châ 	 swell	 swell	swell-1
181	1439	SWIM	w̃ēʼe  	 swim	 swim	swim-1
182	1220	TAIL				
183	78	THAT				
184	1937	THERE	chó 	 be there (pl.)	 be there (pl.)	betherepl-1
185	1937	THERE	ǘ 	 be there (sg.);  cook (by boiling);  put (sg.) (at an unstable;  temporary;  ad v.ntitious location)	 be there (sg.)	betheresg-1
186	817	THEY				
187	1244	THICK				
188	2308	THIN				
189	2271	THINK	iñ̄ ǖ  	 hear;  think	 think	think-1
190	1214	THIS				
191	1215	THOU				
192	492	THREE	tōma̋èpṵ̈m. 	 three	 three	three-1
193	1456	THROW	ñà 	 throw	 throw	throw-1
194	1917	TIE	g̃à  	 tie;  get down;  scold	 tie	tie-1
195	1917	TIE	na̰i  	 tie	 tie	tie-2
196	1917	TIE	w̃èʼe  	 bind	 bind	bind-1
197	1205	TONGUE	ko̊nǖ 	 tongue	 tongue	tongue-1
198	1380	TOOTH	-pǜtà 	 tooth	 tooth	tooth-1
199	906	TREE	nâi  	 tree;  fart	 tree	tree-1
200	1444	TURN AROUND				
201	1498	TWO	tăʼré 	 be two;  two	 be two	betwo-1
202	1498	TWO	tăʼré 	 be two;  two	 two	two-1
203	1278	VOMIT				
204	1443	WALK				
205	2110	WARM (OF WEATHER)				
206	1453	WASH	yàʼu  	 wash	 wash	wash-1
207	948	WATER	dêʼa̋ 	 water	 water	water-1
208	1212	WE				
209	1726	WET				
210	1236	WHAT	åkǘint.-ind.  	 what/who? (ns)	 what/who? (ns)	whatwhons-1
211	1236	WHAT	tèʼe̋int.-ind.  	 what/who? (s)	 what/who? (s)	whatwhos-1
212	1236	WHAT	tèʼèint.-ind.  	 what/who? (f/m)	 what/who? (f/m)	whatwhofm-1
213	1236	WHAT	tṵ̈ákǘint.-ind.  	 what? (ns)	 what? (ns)	whatns-1
214	1238	WHEN	ñùʼgùint.-ind. c. 	 when?	 when?	when-1
215	1237	WHERE	g̃èʼta̋int.-ind. c. 	 where? (aloc)	 where? (aloc)	wherealoc-1
216	1237	WHERE	g̃èʼtàint.-ind. c. 	 where? (ploc);  what state?	 where? (ploc)	whereploc-1
217	1335	WHITE	cho̰ 	 be white	 be white	bewhite-1
218	1335	WHITE	pŭʼu  	 be white	 be white	bewhite-2
219	1235	WHO				
220	1243	WIDE				
221	1199	WIFE	-ʼma̰(∼ -ma̰(?) ∼ -ma̽(?))  	 [-tr.]? wife	 [-tr.]? wife	trwife-1
222	960	WIND				
223	1257	WING	-ʼpac̄ hiʼ̰i  	 [?] wing	 [?] wing	wing-1
224	1454	WIPE	pi̊ 	 wipe	 wipe	wipe-1
225	1340	WITH				
226	962	WOMAN				
227	1219	WORM	ʼõ̆ʼmi̋ 	 worm	 worm	worm-1
228	1226	YEAR	tàunēkǖ 	 low water season;  year	 year	year-1
229	1424	YELLOW	de̊ʼe  	 be yellow	 be yellow	beyellow-1
230	1213	YOU				
