Doculect,Concept,Segments
bora1263,SKY,"['n', '!í/i', 'h', 'kʰʲ', 'e', '+', 'h', 'ɨ']"
muin1242,SKY,"['n', '!í/i', 'k', 'k', 'e', '+', 'h', 'e']"
bora1263,SUN,"['n', 'ɯ', 'ʔ', 'p', 'a']"
muin1242,SUN,"['n', '!ɨ́/ɨ', 'ʔ', 'ɨ', 'b', 'a']"
bora1263,STAR,"['m', '!ɨ́/ɨ', '!ɨ́/ɨ', 'kʰ', '!ɯ́/ɯ', 'r', 'ɯ', '+', 'kʷ', 'a']"
muin1242,STAR,"['m', '!é/e', '!é/e', 'k', 'ɨ', 'r', 'ɨ', '+', 'g', 'a', 'i']"
bora1263,DAY (NOT NIGHT),"['kʰ', '!ó/o', '!ó/o', 'h', 'ɨ', '!ɨ́/ɨ']"
muin1242,DAY (NOT NIGHT),"['k', '!ú/u', 'u', 'h', 'e']"
bora1263,NIGHT,"['pʰ', 'e', 'h', 'kʰ', 'o']"
muin1242,NIGHT,"['ɸ', '!ú/u', 'k', 'k', 'u']"
bora1263,EARTH (SOIL),"['!í/i', '!í/i', 'ɲ', 'ɯ', 'h', 'ɨ']"
muin1242,EARTH (SOIL),"['h', '!í/i', '!í/i', 'n', 'ɨ', '+', 'h', 'e']"
bora1263,SAND,"['n', '!é/e', 'kʷ', 'a', '+', 'j', '!ɯ́/ɯ', '!ɯ́/ɯ', 'ʔ', 'a']"
muin1242,SAND,"['h', '!í/i', '!í/i', 'n', 'ɨ', 'g', 'a', 'i', '+', 'j', 'ɨ', 'ʔ', 'a', 'i']"
bora1263,DOG,"['o', 'o', 'ʔ', '!í/i', '!í/i', '+', 'pʲ', 'e']"
muin1242,DOG,"['+', 'ʔ', 'u', 'i']"
bora1263,TAIL,"['p', '!ó/o', '+', 'kʷ', 'a', '!á/a']"
muin1242,TAIL,"['!í/i', '!í/i', '+', 'b', 'u', '+', 'ʔ', 'u']"
bora1263,SNAKE,"['!í/i', '!í/i', 'ɲ', 'i', 'mʲ', 'e']"
muin1242,SNAKE,"['h', '!í/i', 'i', 'n', 'i', 'm', 'o']"
bora1263,LOUSE,"['kʷ', '!á/a', '!á/a', 'n', 'i', '+', 'ʔʲ', 'o']"
muin1242,LOUSE,"['g', '!á/a', 'a', 'ɲ', 'i', '+', 'ʔ', 'u']"
bora1263,TREE,"['!ɯ́/ɯ', 'm', 'e', '+', 'ʔ', 'e']"
muin1242,TREE,"['!ɨ́/ɨ', 'm', 'o', '+', 'ʔ', 'o']"
bora1263,LEAF,"['ʔ', '!á/a', '!á/a', 'm', 'ɨ', '!ɨ́/ɨ']"
muin1242,LEAF,"['!á/a', 'a', 'm', 'e']"
bora1263,LEAF,"['!ɨ́/ɨ', 'n', 'a', 'ʔ', '!á/a', '!á/a', 'm', 'ɨ']"
muin1242,LEAF,"['!á/a', 'a', 'm', 'e']"
bora1263,ROOT,"['p', '!á/a', 'h', 'kʰʲ', 'e', '!é/e']"
muin1242,ROOT,"['b', 'a', 'k', '!ó/o', 'ʔ', 'o', 'k', 'o']"
bora1263,SEED,"['p', 'a', 'h', 'tsʰ', '!ó/o', '+', 'kʷ', 'a']"
muin1242,SEED,"['b', 'a', 's', '!ú/u', '+', 't', 'a']"
bora1263,STICK,"['!ɯ́/ɯ', 'm', '!é/e', '+', 'ʔ', 'e', '+', 'i']"
muin1242,STICK,"['!ɨ́/ɨ', 'm', 'e', 'e', '+', 'ʔ', 'i']"
bora1263,GRASS,"['tsʰ', '!ó/o', 'h', 'kʰ', '!ó/o', 'm', 'ɯ', '+', 'h', 'ɨ']"
muin1242,GRASS,"['s', '!ú/u', 'k', 'k', 'u', 'm', 'e', '+', 'h', 'e']"
bora1263,SALT,"['!ɯ́/ɯ', 'm', 'e']"
muin1242,SALT,"['!ɨ́/ɨ', 'm', 'u', 'ʔ', 'u']"
bora1263,ONE,"['tsʰ', 'a', '+', 'n', 'e']"
muin1242,ONE,"['s', '!á/a', '!á/a', '+', 'n', 'o']"
bora1263,TWO,"['m', '!í/i', '+', 'ɲ', '!é/e', '!é/e', '+', 'kʰ', 'ɯ', '!ɯ́/ɯ']"
muin1242,TWO,"['m', '!í/i', '!í/i', '+', 'n', 'o', '+', 'k', 'k', 'ɨ']"
bora1263,FIVE,"['tsʰ', '!á/a', '+', 'ʔ', 'o', 'h', 'tsʰ', '!ɨ́/ɨ']"
muin1242,FIVE,"['s', 'a', '+', 'ʔ', '!ú/u', 's', 'e']"
bora1263,I,"['o', '!ó/o']"
muin1242,I,"['!ú/u', '!ú/u', '+', 'h', '!ó/o', 'ʔ', 'o']"
bora1263,THOU,"['ɯ', '!ɯ́/ɯ']"
muin1242,THOU,"['!ɨ́/ɨ', '!ɨ́/ɨ', '+', 'h', '!ó/o', 'ʔ', 'o']"
bora1263,HE,"['!á/a', '!á/a', 'n', 'ɯ', '!ɯ́/ɯ']"
bora1263,HE,"['t', 'i', '!í/i', '+', 'pʲ', 'e']"
muin1242,HE,"['!á/a', 'h', '!á/a', 'a', 'n', 'ɨ']"
muin1242,HE,"['d', '!í/i', 'i', '+', 'b', 'o']"
bora1263,WE,"['m', 'ɯ', '!ɯ́/ɯ', 'ʔ', 'a']"
muin1242,WE,"['m', '!ɨ́/ɨ', '!ɨ́/ɨ', 'ʔ', 'a', 'i']"
bora1263,YOU,"['!á/a', 'm', 'ɯ', '!ɯ́/ɯ', 'ʔ', 'a']"
muin1242,YOU,"['a', 'm', '!ɨ́/ɨ', '!ɨ́/ɨ', 'ʔ', 'a', 'i']"
bora1263,THEY,"['t', 'i', '!í/i', '+', 'tʰʲ', 'e']"
muin1242,THEY,"['d', '!í/i', '!í/i', '+', 't', 'o']"
bora1263,BIG,"['m', 'i', 'tʰʲ', 'a', '+', 'n', 'e']"
muin1242,BIG,"['m', '!í/i', 'tʲ', 'a', '+', 'n', 'o']"
bora1263,SMALL,"['ɲ', 'o', 'm', 'ɨ']"
muin1242,SMALL,"['n', '!ú/u', 'm', '!é/e', 'n', '!é/e', 'n', 'e']"
bora1263,GOOD,"['i', 'm', '!í/i']"
muin1242,GOOD,"['!í/i', 'm', 'i', '+', 'n', 'o']"
bora1263,BAD,"['!í/i', 'm', 'i', '+', 'tʰʲ', '!ɯ́/ɯ', '+', 'n', 'e']"
muin1242,BAD,"['!í/i', 'm', 'i', '+', 't', 'ɨ', '+', 'n', 'o']"
bora1263,WHITE,"['tsʰ', 'ɨ', 'tsʰ', 'ɨ']"
muin1242,WHITE,"['s', '!é/e', 's', '!é/e', '!é/e', 'n', 'e']"
bora1263,BLACK,"['kʰ', 'ɯ', '!ɯ́/ɯ', 'β', 'e', '+', 'n', 'e']"
muin1242,BLACK,"['k', '!ɨ́/ɨ', 'β', 'o', '+', 'n', 'o']"
bora1263,THIS,"['!í/i', '+', 'ɲ', 'e', '!é/e']"
muin1242,THIS,"['h', '!í/i', '+', 'n', 'o']"
bora1263,THAT,"['!é/e', 'ʔ', '+', 'n', 'e', '!é/e']"
muin1242,THAT,"['h', '!ó/o', 'ʔ', 'o', '+', 'n', 'o']"
bora1263,WHO,"['m', '!ɯ́/ɯ', 'ʔ', 'a']"
bora1263,WHO,"['kʰ', 'a', 'a', 'tʰʲ', '!é/e', 'ʔ', 'a']"
muin1242,WHO,"['m', '!ɨ́/ɨ', 'h', '!ɨ́/ɨ']"
muin1242,WHO,"['k', '!á/a', 'h', '!á/a', '!á/a', 'n', 'ɨ']"
muin1242,WHO,"['k', '!á/a', 'h', '!á/a', '!á/a', 'm', 'o']"
bora1263,NOT,"['tsʰ', '!á/a', 'ʔ', 'a', '!á/a']"
bora1263,NOT,"['+', 'tʰ', 'ɯ']"
muin1242,NOT,"['tʃ', '!á/a', 'ʔ', 'a', 'n', 'o']"
muin1242,NOT,"['+', 't', 'ɨ']"
bora1263,ALL,"['pʰ', '!á/a', '+', 'n', 'e', '!é/e', '+', 'r', 'e']"
muin1242,ALL,"['ɸ', '!á/a', '!á/a', '+', 'n', 'o']"
bora1263,MANY,"['m', '!í/i', 'tʰʲ', 'a', '+', 'n', 'e']"
muin1242,MANY,"['m', '!í/i', 'tʲ', 'a']"
bora1263,LONG,"['kʰ', '!á/a', '!á/a', 'm', 'e', '+', 'n', 'e']"
muin1242,LONG,"['k', '!á/a', '!á/a', 'm', 'o', '+', 'β', 'o', '+', 'n', 'o']"
bora1263,BARK,"['+', 'm', '!ɨ́/ɨ', '!ɨ́/ɨ', 'ʔ', 'o']"
muin1242,BARK,"['k', 'u', 'u', '+', 'm', '!é/e', '!é/e', 'ʔ', 'u']"
bora1263,BLOOD,"['tʰ', '!ɯ́/ɯ', '+', 'h', 'pʰ', 'a', 'kʰʲ', 'o']"
muin1242,BLOOD,"['t', '!ɨ́/ɨ', '!ɨ́/ɨ', '+', 'h', '!ó/o', 'ʔ', 'o']"
bora1263,FAT (ORGANIC SUBSTANCE),"['t', '!ɯ́/ɯ', '!ɯ́/ɯ', 'r', 'ɯ', '+', 'p', 'a']"
muin1242,FAT (ORGANIC SUBSTANCE),"['d', '!ɨ́/ɨ', 'ɨ', 'r', 'ɨ', '+', 'b', 'a']"
bora1263,EGG,"['!í/i', '!í/i', 'ʔʲ', '!ɯ́/ɯ', 'ɯ', '+', '!ɯ́/ɯ']"
muin1242,EGG,"['!í/i', '!í/i', 'j', 'ɨ']"
bora1263,FEATHER,"['!ɨ́/ɨ', 'ʔ', 'h', 'ɨ', 'n', 'e']"
muin1242,FEATHER,"['!í/i', 'h', '!é/e', 'e', 'n', 'e']"
bora1263,BELLY,"['!í/i', 'ʔ', 'p', '!á/a', 'ɯ']"
muin1242,BELLY,"['!í/i', 'i', 'b', 'a']"
bora1263,LIVER,"['!í/i', 'ʔ', 'kʷ', '!á/a', 'n', 'e', '!é/e']"
muin1242,LIVER,"['!í/i', 'g', 'a', 'n', 'o']"
bora1263,DRINK,"['a', 't', 'o']"
muin1242,DRINK,"['!á/a', 'd', 'u', '+']"
bora1263,BITE,"['ɨ', 'ʔ', 't', 'o']"
muin1242,BITE,"['!é/e', '!é/e', 'd', 'u', '+']"
bora1263,SEE,"['a', 'h', 'tʰʲ', '!ɯ́/ɯ', 'm', 'ɨ']"
muin1242,SEE,"['!á/a', 't', 'tʲ', '!ɨ́/ɨ', 'm', 'e', '+']"
bora1263,HEAR,"['tʃ', 'e', '!é/e', 'p', 'o']"
muin1242,HEAR,"['g', '!ú/u', '!ú/u', 'b', 'u', '+']"
bora1263,SLEEP,"['kʰ', 'ɯ', 'kʷ', 'a']"
muin1242,SLEEP,"['k', '!ɨ́/ɨ', 'g', 'a', '+']"
bora1263,DIE,"['ts', 'ɨ', 'h', '!ɨ́/ɨ', '+', 'β', 'e']"
muin1242,DIE,"['g', '!í/i', 'h', '!é/e', '+', 'β', 'e', '+', 'ʔ', 'i']"
bora1263,KILL,"['ts', '!ɨ́/ɨ', 'h', 'ɨ', '+', 'β', '!é/e', '+', 'tsʰ', 'o']"
muin1242,KILL,"['g', '!í/i', 'h', '!é/e', 'β', 'e', 's', 'u', '+', 'ʔ', 'i']"
bora1263,SWIM,"['i', 'h', 'tʃʰ', 'i']"
muin1242,SWIM,"['!í/i', 's', 'i', '+']"
bora1263,FLY (MOVE THROUGH AIR),"['kʷ', 'a', 'ʔ', 'pʰ', 'e']"
muin1242,FLY (MOVE THROUGH AIR),"['g', '!á/a', 'ʔ', '!á/a', 'ɸ', 'e', '+', 'ʔ', 'i']"
bora1263,COME,"['tsʰ', 'a', '!á/a']"
muin1242,COME,"['s', '!á/a', '!á/a', '+', 'ʔ', 'i']"
bora1263,GIVE,"['a', 'h', 'kʰ', 'ɯ']"
muin1242,GIVE,"['!á/a', 'k', 'k', 'ɨ', '+', 'ʔ', 'i']"
bora1263,SAY,"['ɯ', 'ɯ', 'p', '!á/a', 'tʃ', 'e']"
bora1263,SAY,"['n', 'e', '!é/e']"
muin1242,SAY,"['h', '!ɨ́/ɨ', '!ɨ́/ɨ', 'b', 'e', 'g', 'e', '+', 'ʔ', 'i']"
muin1242,SAY,"['n', '!é/e', '!é/e', '+', 'ʔ', 'i']"
bora1263,MOUNTAIN,"['kʷ', '!á/a', 'h', 'ɯ', '!ɯ́/ɯ']"
bora1263,MOUNTAIN,"['p', '!á/a', 'ɯ', '!ɯ́/ɯ']"
muin1242,MOUNTAIN,"['g', '!á/a', 'h', 'ɨ']"
muin1242,MOUNTAIN,"['b', '!á/a', 'a', 'ɨ']"
bora1263,RED,"['tʰ', '!ɯ́/ɯ', '+', 'h', 'pʰ', 'a', '+', 'ɲ', 'e']"
muin1242,RED,"['t', '!ɨ́/ɨ', '+', 'ɸ', 'a', 'i', '+', 'ɲ', 'o']"
bora1263,GREEN,"['a', 'h', 'tʰʲ', '!ɯ́/ɯ', 'β', 'a']"
muin1242,GREEN,"['a', 't', 'tʲ', '!ɨ́/ɨ', 'β', 'a', '+', 'n', 'o']"
bora1263,YELLOW,"['tʃ', '!í/i', 'h', 'kʰʲ', '!á/a', 'n', 'e', '!ɯ́/ɯ', 'β', '!ɯ́/ɯ']"
muin1242,YELLOW,"['g', '!í/i', '!í/i', 'g', 'i', 'β', 'a', 'n', 'o']"
bora1263,NEW,"['p', '!é/e', 'ʔ', '+', 'n', 'e']"
muin1242,NEW,"['b', '!ó/o', 'ʔ', 'o', '+', 'n', 'o']"
bora1263,NAME,"['m', 'e', 'm', 'e']"
muin1242,NAME,"['m', '!ó/o', 'm', 'o']"
bora1263,HOW,"['m', 'ɯ', 'ʔ', 't', 'ɯ']"
muin1242,HOW,"['m', '!ɨ́/ɨ', 'dʒ', 'ɨ']"
bora1263,HERE,"['!í/i', '+', 'ɲ', 'e', '!é/e', '+', 'r', 'i']"
muin1242,HERE,"['h', 'i', '+', 'n', '!é/e', '!é/e', '+', 'r', 'i']"
bora1263,THERE,"['!é/e', '!é/e', '+', 'n', 'e']"
muin1242,THERE,"['!ó/o', '!ó/o', '+', 'n', 'o']"
bora1263,OTHER,"['tsʰ', 'i', '+', 'h', 'pʰ', 'i']"
muin1242,OTHER,"['s', '!í/i', '+', 'ɸ', 'i']"
bora1263,FOG,"['o', 'h', 'tsʰ', '!ó/o']"
muin1242,FOG,"['s', '!ú/u', 'ɨ']"
bora1263,FLOW,"['n', 'i', 'i', 'β', 'a']"
muin1242,FLOW,"['n', 'i', 'i', 'β', 'a', '+', 'ʔ', 'i']"
bora1263,SEA,"['m', 'o', '!ó/o', 'a']"
muin1242,SEA,"['m', '!ú/u', '!ú/u', 'a', 'i']"
bora1263,WET,"['m', 'a', 'h', '!á/a', '!á/a', 'β', 'e']"
bora1263,WET,"['pʰ', '!ɨ́/ɨ', '!ɨ́/ɨ', 'pʰ', '!á/a', '+', 'ɲ', 'e']"
muin1242,WET,"['m', '!á/a', '!á/a', 'ɲ', 'o']"
muin1242,WET,"['ɸ', '!é/e', '!é/e', 'ɸ', 'a', '+', 'ɲ', 'o']"
bora1263,WASH,"['n', 'i', 'h', 'tʰʲ', 'ɯ']"
muin1242,WASH,"['n', '!í/i', 't', 't', 'ɨ', '+', 'ʔ', 'i']"
bora1263,WORM,"['ɯ', '!ɯ́/ɯ', 'p', 'a']"
muin1242,WORM,"['h', '!ɨ́/ɨ', 'ʔ', 'ɨ', 'b', 'a']"
bora1263,WITH,"['+', 'm', 'a']"
muin1242,WITH,"['+', 'm', 'a']"
bora1263,IN,"['pʰ', 'a', 'ɲ', 'e']"
muin1242,IN,"['ɸ', 'a', 'ɲ', 'o']"
bora1263,AT,"['+', 'β', 'ɯ']"
muin1242,AT,"['+', 'β', 'ɨ']"
bora1263,IF,"['ʔ', 'a', 'h', 'tʃʰ', '!í/i', '!í/i', 'hʲ', 'ɯ']"
muin1242,IF,"['a', 'tʃ', 'tʃ', 'i', 'h', 'ɨ']"
bora1263,WIDE,"['kʰ', 'o', 'r', '!ɨ́/ɨ', '!ɨ́/ɨ', '+', 'n', '!é/e']"
muin1242,WIDE,"['k', '!á/a', 'r', '!é/e', 'k', 'u', 'n', 'o']"
bora1263,NARROW,"['ɨ', 'ɨ', 'h', '!ɨ́/ɨ']"
muin1242,NARROW,"['!í/i', '!í/i', 'h', 'e', '+', 'n', 'e']"
bora1263,THICK,"['pʰ', 'ɨ', '!ɨ́/ɨ', 'm', 'ɨ']"
muin1242,THICK,"['ɸ', '!é/e', '!é/e', 'm', 'e', '+', 'n', 'e']"
bora1263,THIN,"['a', 'n', 'i']"
bora1263,THIN,"['ɯ', 'h', 'tsʰ', 'i']"
muin1242,THIN,"['!ɨ́/ɨ', 's', 'i', 'n', 'o']"
muin1242,THIN,"['!á/a', 'ɲ', 'i', 'n', 'o']"
bora1263,SHORT,"['p', '!á/a', 'ʔ', 'r', '!í/i', 'ɲ', 'e', '!ɯ́/ɯ', 'β', '!ɯ́/ɯ']"
muin1242,SHORT,"['b', '!á/a', '!á/a', 'r', 'e', 'n', 'e']"
bora1263,BLUNT,"['tsʰ', '!ɯ́/ɯ', 'ʔ', 'h', '!ɨ́/ɨ', '+', 'β', 'a', '+', 'tʰ', '!ɯ́/ɯ', '+', 'n', 'e']"
muin1242,BLUNT,"['s', '!ɨ́/ɨ', '!ɨ́/ɨ', 'h', 'e', '+', 'β', 'a', '+', 't', 'ɨ', '+', 'n', 'o']"
bora1263,SHARP,"['tsʰ', '!ɯ́/ɯ', 'ʔ', 'h', 'ɨ', '+', 'β', '!á/a', '+', 'n', 'e']"
muin1242,SHARP,"['s', '!ɨ́/ɨ', '!ɨ́/ɨ', 'h', '!é/e', 'β', 'a', 'n', 'o']"
bora1263,DIRTY,"['i', 'i', 'ɲ', '!ɯ́/ɯ', '+', 'β', '!á/a', '+', 'n', 'e']"
muin1242,DIRTY,"['h', '!í/i', '!í/i', 'n', 'ɨ', 'β', 'a', 'n', 'o']"
muin1242,DIRTY,"['b', '!é/e', '!é/e', 'β', 'a', 'n', 'o']"
bora1263,ROTTEN,"['tʰ', '!ó/o', '!ó/o', 'kʰ', 'ɯ', '+', 'n', 'e']"
muin1242,ROTTEN,"['t', '!ú/u', '!ú/u', 'k', 'ɨ', '+', 'n', 'o']"
bora1263,SMOOTH,"['pʰ', '!ɨ́/ɨ', 'r', 'ɯ', 'ɯ', 'kʰ', '!ɯ́/ɯ', '+', 'n', 'e']"
bora1263,SMOOTH,"['m', '!é/e', '!é/e', 'β', 'a', '+', 'n', 'e']"
muin1242,SMOOTH,"['p', '!á/a', 'rʲ', '!ɨ́/ɨ', '!ɨ́/ɨ', 'k', 'ɨ', 'n', 'o']"
muin1242,SMOOTH,"['m', '!ó/o', '!ó/o', 'β', 'a', 'n', 'o']"
bora1263,STRAIGHT,"['tsʰ', 'a', '+', 'tʰ', '!ɯ́/ɯ', 'h', 'kʰ', 'e', '+', 'β', 'e']"
muin1242,STRAIGHT,"['s', '!á/a', '+', 't', '!ɨ́/ɨ', 'k', 'k', 'o', '+', 'β', 'o']"
bora1263,CORRECT (RIGHT),"['!ɨ́/ɨ', 'm', 'ɨ', '!á/a', '!á/a', '+', 'n', 'e']"
muin1242,CORRECT (RIGHT),"['m', '!í/i', 'j', '!á/a', '!á/a', '+', 'n', 'o']"
bora1263,LEFT,"['n', '!á/a', 'n', 'i', '+', 'ɲ', '!é/e', 'h', 'kʰ', 'ɯ']"
muin1242,LEFT,"['n', '!á/a', 'n', 'i', 'ʔ', 'ɨ', 'g', 'o']"
bora1263,RIGHT,"['!ɨ́/ɨ', 'm', 'ɨ', '!á/a', '+', 'n', '!é/e', 'h', 'kʰ', 'ɯ']"
muin1242,RIGHT,"['!í/i', 'm', '!í/i', 'j', 'a', '+', 'n', 'a', 'g', 'o', 'n', 'o']"
bora1263,OLD,"['tsʰ', '!ɯ́/ɯ', '!ɯ́/ɯ', 'kʰ', '!á/a', 'a', '+', 'n', 'e']"
bora1263,OLD,"['kʰ', 'e', '!é/e', 'm', 'e']"
muin1242,OLD,"['s', '!ɨ́/ɨ', 'k', '!ɨ́/ɨ', 'h', 'e', 'ʔ', 'ɨ', 'n', 'o']"
muin1242,OLD,"['k', '!ó/o', 'o', 'm', 'o', 'b', 'o']"
bora1263,PULL,"['tʃ', 'i', '!ɯ́/ɯ', 'kʰ', 'ɯ']"
muin1242,PULL,"['g', '!í/i', '!í/i', 'j', 'ɨ', 'k', 'ɨ', '+', 'ʔ', 'i']"
bora1263,THROW,"['pʰ', 'i', 'kʰʲ', 'o']"
muin1242,THROW,"['ɸ', '!í/i', 'k', '!ú/u', '+', 'ʔ', 'i']"
bora1263,HIT,"['!í/i', 'tʃ', 'a', '!á/a', 'j', 'o']"
muin1242,HIT,"['!í/i', 'dʒ', '!á/a', 'j', 'u', '+', 'ʔ', 'i']"
bora1263,SPLIT,"['kʷ', '!á/a', 'tʃʰ', '!é/e', 'r', 'e', '!á/a', 'kʰ', 'o']"
muin1242,SPLIT,"['g', '!á/a', 'dʒ', '!é/e', 'r', '!é/e', 'k', 'u', '+', 'ʔ', 'i']"
bora1263,DIG,"['tsʰ', 'e', 'ʔ', 't', 'i']"
muin1242,DIG,"['s', '!é/e', '!é/e', 'd', 'i', '+', 'ʔ', 'i']"
bora1263,TIE,"['tʃʰ', '!í/i', 'h', 'tʃʰ', 'ɯ']"
bora1263,TIE,"['t', 'o', 'ʔ', 'h', '!ɨ́/ɨ', '+', 'n', 'ɯ']"
muin1242,TIE,"['s', '!í/i', 's', 'ɨ', '+', 'ʔ', 'i']"
muin1242,TIE,"['d', '!ú/u', '!ú/u', 'h', '!é/e', '+', 'n', 'ɨ', '+', 'ʔ', 'i']"
bora1263,FALL,"['a', 'a', 'kʰ', '!í/i', 'tʰʲ', 'e']"
muin1242,FALL,"['!á/a', '!á/a', 'k', '!é/e', 't', 't', 'e', '+', 'ʔ', 'i']"
bora1263,SWELL,"['o', '!ó/o', 'r', 'i']"
muin1242,SWELL,"['h', '!ú/u', '!ú/u', 'r', 'i', '+', 'ʔ', 'i']"
bora1263,THINK,"['!ɨ́/ɨ', 'h', 'tsʰ', 'a', 'm', '!é/e', 'i']"
muin1242,THINK,"['!é/e', 's', '!á/a', 'm', '!á/a', '!á/a', 'i', '+', 'ʔ', 'i']"
bora1263,SING,"['m', 'a', 'h', 'tsʰ', '!í/i', 'β', 'a']"
muin1242,SING,"['m', '!á/a', 's', '!í/i', '+', 'β', 'a', '+', 'ʔ', 'i']"
bora1263,BLOW (OF WIND),"['ɨ', 'p', '!á/a', 'tsʰ', 'o']"
bora1263,BLOW (OF WIND),"['p', 'o', 'h', 'tsʰ', '!ó/o', 'kʰ', 'ɯ']"
muin1242,BLOW (OF WIND),"['!é/e', 'b', '!á/a', 's', 'u', '+', 'ʔ', 'i']"
muin1242,BLOW (OF WIND),"['b', '!ú/u', '!ú/u', 's', 'u', '+', 'ʔ', 'i']"
