# Wordlist

# DATA
ID	DOCULECT	VALUE	FORM	CONCEPT	TOKENS	COGID	MORPHEMES	ALIGNMENT	NOTE
2561	AchuarShiwiar	ashí	ashí	all (of a number)	a ʃ !í/i	14		- a ʃ !í/i	From the examples seems that this is the least used form: mash
2792	Canichana	mata	mata	all (of a number)	m a t a	14		m a t a	
3191	Shiwilu	iñer'	iñer'	all (of a number)	i ɲ ə ˀr	22		i ɲ ə ˀr	
3369	Shuar	másh’,mashi	másh’	all (of a number)	m !á/a ʃ i	14		m !á/a ʃ i	
3370	Shuar	másh’,mashi	mashi	all (of a number)	m a ʃ i	14		m a ʃ i	
3811	Urarina	s̪at̪ĩ́ĩ́	s̪at̪ĩ́ĩ́	all (of a number)	s a t !̪ĩ́/i !ĩ́/i	24		s a t !̪ĩ́/i !ĩ́/i	
3903	Wampis	ashi	ashi	all (of a number)	a ʃ i	14		- a ʃ i	
4468	Yanesha	aʎowenet	aʎowenet	all (of a number)	a ʎ o w e n e t	27		a ʎ o w e n e t	
4481	Zaparo	kawiryaha	kawiryaha	all (of a number)	k a w i rʲ a h a	28		k a w i rʲ a h a	
#
2	Iquito	músati	músati	and	m !ú/u s a t i	30		m !ú/u s a t i	and
2562	AchuarShiwiar	túrua	túrua	and	t !ú/u r ua	29		t !ú/u r ua	Because of order of the entries: túra
3192	Shiwilu	=lek	=lek	and	l ə ˀk	31		l ə ˀk	
3371	Shuar	-sha	-sha	and	ʃ a	32		ʃ a	
3855	Urarina	ʧããẽ́	ʧããẽ́	and	tʃ !ã/a !ã/a !ẽ́/e	33		tʃ !ã/a !ã/a !ẽ́/e	
4080	Wampis	tura	tura	and	t u r a	29		t u r a	
4258	Yagua	chi	chi	and	tʃ i	34		tʃ i	
4476	Yanesha	ɲamʲa	ɲamʲa	and	ɲ a mʲ a	35		ɲ a mʲ a	
#
3	Iquito	tasiitáani	tasiitáani	animal	t a s iː t !áa/aː n i	41		t a s iː t !áa/aː n i	animal
1256	Aguaruna	kuntin	kuntin	animal	k ʊ n t i n	37		k ʊ n t i n -	
1392	Arabela	kasaa	kasaa	animal	k a s aː	38		k a s aː	
1633	Chayahuita	maʔʃa	maʔʃa	animal	m a ʔ ʃ a	39		m a ʔ ʃ a	
1879	Taushiro	nijiʔi	nijiʔi	animal	n i j i ʔ i	44		n i j i ʔ i	
1981	Waorani	kæ̃dĩgã	kæ̃dĩgã	animal	k !æ̃/æ d !ĩ/i g !ã/a	37		k !æ̃/æ - d !ĩ/i g !ã/a	
2563	AchuarShiwiar	ikiámia páchim	ikiámia páchim	animal	i kʲ a mʲ a p !á/a tʃ i m	36		i kʲ a mʲ a p !á/a tʃ i m	wild animal
2564	AchuarShiwiar	tángku	tángku	animal	t !á/a ŋ k u	42		t !á/a ŋ k u	domesticated animal
3030	Coeruna	tschoaimá	tschoaimá	animal	dʒ o a i m !á/a	40		dʒ o a i m !á/a	Martius: animal
3127	MiranhaCarapana-Tapuya	thücke	thücke	animal	t ɨ k e	42		t ɨ - k e	Martius: animal
3193	Shiwilu	añimer	añimer	animal	a ɲ i m ə ɾ	43		a ɲ i m ə ɾ	Spanish
3372	Shuar	tanku	tanku	animal	t a ŋ k u	42		t a ŋ k u	animal doméstico
3878	Urarina	t̪aibin̪ããẽ́	t̪aibin̪ããẽ́	animal	t a i b i n !̪ã/a !ã/a !ẽ́/e	45		t a i b i n !̪ã/a !ã/a !ẽ́/e	
3931	Wampis	kuntin	kuntin	animal	k u n t i n	37		k u n t i n -	
4084	Yagua	jawada	jawada	animal	h a w a d a	46		h a w a d a	
4261	Yanesha	oʎwa	oʎwa	animal	o ʎ w a	47		o ʎ w a	
#
4	Iquito	pukiti	pukiti	ashes	p u k i t i	54		p u k i t i	ash
234	Ocaina	oʔtiiʔi	oʔtiiʔi	ashes	o ʔ t iː ʔ i	55		o ʔ t iː ʔ i	
473	Resigaro	ókóniigiʤíhú	ókóniigiʤíhú	ashes	!ó/o k !ó/o n iː g i dʒ !í/i h !ú/u	57		!ó/o k !ó/o n iː g i dʒ !í/i h !ú/u	
653	WitotoMinica	híθeɸo	híθeɸo	ashes	h !í/i θ e ɸ o	62		h !í/i θ e ɸ o	
870	WitotoMurui	huθeɸo	huθeɸo	ashes	h u θ e ɸ o	62		h u θ e ɸ o	
1076	WitotoNipode	hítuegɯ	hítuegɯ	ashes	h !í/i t u e g ɯ	63		h !í/i t u e g ɯ	
1257	Aguaruna	juku	juku	ashes	j ʊ k ʊ	48		j ʊ - k ʊ - - -	
1393	Arabela	j̃uaka	j̃uaka	ashes	!h̃/h u a k a	49		!h̃/h u a k a	
1523	Candoshi-Shapra	poʂatʃi	poʂatʃi	ashes	p o ʂ a tʃ i	51		p o ʂ a tʃ i	
1634	Chayahuita	waɾianoʔ	waɾianoʔ	ashes	w a ɾ i a n o ʔ	53		w a ɾ i a n o ʔ	
1880	Taushiro	tuʔka	tuʔka	ashes	t u ʔ k a	59		t u ʔ k a	
1982	Waorani	gõdãi	gõdãi	ashes	g !õ/o d !ã/a i	61		g !õ/o d !ã/a i	
2167	Proto-Bora-Muinane	bai-giihɨ	bai-giihɨ	ashes	b a i g i i h ɨ	50		b a i g i i h ɨ	
2168	Bora	pá-ʧiíhʲɯ	pá-ʧiíhʲɯ	ashes	p !á/a tʃ i !í/i hʲ ɯ	50		p !á/a - tʃ i !í/i hʲ ɯ	
2169	Muinane	bai-gííhɨ	bai-gííhɨ	ashes	b a i g !í/i !í/i h ɨ	50		b a i g !í/i !í/i h ɨ	
2565	AchuarShiwiar	yukú̃ũ	yukú̃ũ	ashes	j u k !ú̃ũ/uː	48		j u - k !ú̃ũ/uː - - -	
2793	Canichana	ni-chu’ku ku’napʰ	ni-chu’ku ku’napʰ	ashes	n i tʃ u k u k u n a pʰ	52		n i tʃ u k u k u n a pʰ	ni = ABS
3194	Shiwilu	pendalu'	pendalu'	ashes	pˀ ə n ð a l u ʔ	58		pˀ ə n ð a l u ʔ	
3373	Shuar	yunkúnim	yunkúnim	ashes	j u ŋ k !ú/u n i m	48		j u ŋ k !ú/u n i m	
3612	Omurano	n̄jótši	n̄jótši	ashes	ɲ !ó/o tʃ i	56		ɲ !ó/o tʃ i	Tessmann: Asche
3689	Yameo	ō̠ṛšĕ́'	ō̠ṛšĕ́'	ashes	!ō̠/o !ṛ/r ʃ !ĕ́/e	65		!ō̠/o !ṛ/r ʃ !ĕ́/e	Tessmann: Asche
3757	Urarina	ahan̪ẽ́	ahan̪ẽ́	ashes	a h a n !̪ẽ́/e	60		a h a n !̪ẽ́/e	
4042	Wampis	yunkunim	yunkunim	ashes	j u n k u n i m	48		j u n k u n i m	
4130	Yagua	pupo	pupo	ashes	p u p o	64		p u p o	
4328	Yanesha	sapoeɲ	sapoeɲ	ashes	s a p o e ɲ	66		s a p o e ɲ	
#
5	Iquito	=jina	=jina	at	h i n a	69		h i n a	at
573	Resigaro	ná	ná	at	n !á/a	70		n !á/a	
782	WitotoMinica	mo	mo	at	m o	72		m o	
990	WitotoMurui	mo	mo	at	m o	72		m o	
1194	WitotoNipode	mo	mo	at	m o	72		m o	
2433	Proto-Bora-Muinane	-βɨ	-βɨ	at	β ɨ	68		β ɨ	
2434	Bora	-βɯ	-βɯ	at	β ɯ	68		β ɯ	
2435	Muinane	-βɨ	-βɨ	at	β ɨ	68		β ɨ	
2566	AchuarShiwiar	-num	-num	at	n u m	67		n u m	From examples and order this is the second most used form: -nam
3195	Shiwilu	=k	=k	at	k	71		k -	
3374	Shuar	-nam	-nam	at	n a m	67		n a m	With consonant-ending nouns
3375	Shuar	-num	-num	at	n u m	67		n u m	With vowel-ending nouns
3867	Urarina	kɨ́	kɨ́	at	k !ɨ́/i	71		k !ɨ́/i	
4073	Wampis	-num / nam / -i	-num	at	n u m	67		n u m	locative postposition -num / nam /- i
4074	Wampis	-num / nam / -i	nam	at	n a m	67		n a m	locative postposition -num / nam /- i
4075	Wampis	-num / nam / -i	-i	at	i	74		i	locative postposition -num / nam /- i
4479	Yanesha	-o	-o	at	o	73		o	
4482	Zaparo	=hinya	=hinya	at	h i ɲ a	69		h i ɲ a	
#
6	Iquito	jiwíriku	jiwíriku	back (person's)	h i w !í/i r i k u	79		h i w !í/i r i k u	back
204	Ocaina	hɯɯʔxo	hɯɯʔxo	back (person's)	h ɯː ʔ x o	83		h ɯː ʔ x - - o	
205	Ocaina	hɯɯʔxomó	hɯɯʔxomó	back (person's)	h ɯː ʔ x o m !ó/o	83		h ɯː ʔ x o m !ó/o	
456	Resigaro	βán̥í	βán̥í	back (person's)	β !á/a n̥ !í/i	85		β !á/a n̥ !í/i	
631	WitotoMinica	emódo	emódo	back (person's)	e m !ó/o d o	88		e m !ó/o d o	
632	WitotoMinica	heráɯkɯ	heráɯkɯ	back (person's)	h e !r/ɾ !á/a ɯ k ɯ	89		h e !r/ɾ !á/a ɯ k ɯ	
633	WitotoMinica	ɸekániko	ɸekániko	back (person's)	ɸ e k !á/a n i k o	93		ɸ e k !á/a n i k o	
849	WitotoMurui	emodo	emodo	back (person's)	e m o d o	88		e m o d o	
1059	WitotoNipode	heráɯkɯ	heráɯkɯ	back (person's)	h e !r/ɾ !á/a ɯ k ɯ	89		h e !r/ɾ !á/a ɯ k ɯ	
1258	Aguaruna	tuntup	tuntup	back (person's)	t ʊ n t ʊ p	75		t ʊ n - t ʊ p -	
1524	Candoshi-Shapra	kooʃitʃ	kooʃitʃ	back (person's)	k oː ʃ i tʃ	76		k oː ʃ i tʃ	
1635	Chayahuita	pinɨn	pinɨn	back (person's)	p i n ɨ n	77		p i n ɨ n	
1760	Muniche	tumɾɨʔɨ	tumɾɨʔɨ	back (person's)	t u m ɾ ɨ ʔ ɨ	82		t u m ɾ ɨ ʔ ɨ	
1983	Waorani	tækæjabæ	tækæjabæ	back (person's)	t æ k æ j a b æ	75		t æ k æ j a b æ	
2567	AchuarShiwiar	tuntúp	tuntúp	back (person's)	t u n t !ú/u p	75		t u n - t !ú/u p -	
2918	Juri	tschu-ibaüh	tschu-ibaüh	back (person's)	dʒ u i b a ɨ ʔ	80		dʒ u i b a ɨ ʔ	Martius: dorsum
3046	Coeruna	coamoho	coamoho	back (person's)	k o a m o ʔ o	78		k o a m o ʔ o	Martius: dorsum
3142	MiranhaCarapana-Tapuya	göthzatüná	göthzatüná	back (person's)	g !ö/o dz a t ɨ n !á/a	81		g !ö/o dz a t ɨ n !á/a	Martius: dorsum
3196	Shiwilu	pitek	pitek	back (person's)	p i tˀ ə k	86		p i tˀ ə k	
3376	Shuar	tuntupe	tuntupe	back (person's)	t u n t u p ɨ	75		t u n - t u p ɨ	
3592	Omurano	anaθáb̯a	anaθáb̯a	back (person's)	a n a θ !á/a b a	84		a n a θ !á/a b a	Tessmann: Rücken
3664	Yameo	išĕ̯n’á	išĕ̯n’á	back (person's)	i ʃ !ĕ̯/e n !á/a	90		i ʃ !ĕ̯/e n !á/a	Tessmann: Rücken
3786	Urarina	han̪ũd̺í	han̪ũd̺í	back (person's)	h a n !̪ũ/u d !̺í/i	87		h a n !̪ũ/u d !̺í/i	
3971	Wampis	tuntup	tuntup	back (person's)	t u n t u p	75		t u n - t u p -	
4293	Yanesha	tʃeˀɲets	tʃeˀɲets	back (person's)	t ʃ e ʔ ɲ e ts	91		t ʃ e ʔ ɲ e ts	
4483	Zaparo	ushiawku	ushiawku	back (person's)	u ʃ i au k u	92		u ʃ i au k u	
#
7	Iquito	sɨɨ́sana	sɨɨ́sana	bad (deleterious or unsuitable)	s !ɨɨ́/ɨː s a n a	96		s !ɨɨ́/ɨː s a n a	bad
309	Ocaina	ɯìɯìra	ɯìɯìra	bad (deleterious or unsuitable)	ɯ !ì/i ɯ !ì/i r a	101		ɯ !ì/i ɯ !ì/i r a	
474	Resigaro	matsʰíβaʔnúʔ	matsʰíβaʔnúʔ	bad (deleterious or unsuitable)	m a tsʰ !í/i β a ʔ n !ú/u ʔ	103		m a tsʰ !í/i β a ʔ n !ú/u ʔ	
706	WitotoMinica	ɸɯénìde	ɸɯénìde	bad (deleterious or unsuitable)	ɸ ɯ !é/e n !ì/i d e	109		ɸ ɯ !é/e n !ì/i d e	
922	WitotoMurui	maraiɲede	maraiɲede	bad (deleterious or unsuitable)	m a r ai ɲ e d e	110		m a r ai ɲ e d e	
1128	WitotoNipode	puénìde	puénìde	bad (deleterious or unsuitable)	p u !é/e n !ì/i d e	109		p u !é/e n !ì/i d e	
1259	Aguaruna	katsɨk	katsɨk	bad (deleterious or unsuitable)	k a ts ɨ k	95		k a ts ɨ k	
1394	Arabela	sesaaka	sesaaka	bad (deleterious or unsuitable)	s e s aː k a	96		s e s aː k a	
1525	Candoshi-Shapra	jootaɾiita	jootaɾiita	bad (deleterious or unsuitable)	j oː t a ɾ iː t a	98		j oː t a ɾ iː t a	
1761	Muniche	smecu	smecu	bad (deleterious or unsuitable)	s m e c u	100		s m e c u	
1881	Taushiro	jaʔkantu	jaʔkantu	bad (deleterious or unsuitable)	j a ʔ k a n t u	106		j a ʔ k a n t u	
2267	Proto-Bora-Muinane	imi-tɨ-no	imi-tɨ-no	bad (deleterious or unsuitable)	i m i t ɨ n o	97		i m i t ɨ n o	
2268	Bora	ími-tʰʲɯ́-ne	ími-tʰʲɯ́-ne	bad (deleterious or unsuitable)	!í/i m i tʰʲ !ɯ́/ɯ n e	97		!í/i m i tʰʲ !ɯ́/ɯ n e	
2269	Muinane	ími-tɨ-no	ími-tɨ-no	bad (deleterious or unsuitable)	!í/i m i t ɨ n o	97		!í/i m i t ɨ n o	
2568	AchuarShiwiar	tunáu	tunáu	bad (deleterious or unsuitable)	t u n !áu/au	94		t u n !áu/au	From the semantics seems that the first form here is more related to EVIL and the secod form is discarted as main because of order: pasé,nápchau
2794	Canichana	itxmupse	itxmupse	bad (deleterious or unsuitable)	i t h m u p s e	99		i t h m u p s e	Because of order of entries, here is the variant: psemek
3197	Shiwilu	mukankinpu'	mukankinpu'	bad (deleterious or unsuitable)	m u k a n g i m b u ʔ	104		m u k a n g i m b u ʔ	
3377	Shuar	yajáuch’	yajáuch’	bad (deleterious or unsuitable)	j a h !áu/au tʃ i	105		j a h !áu/au tʃ i	
3624	Omurano	atšámani	atšámani	bad (deleterious or unsuitable)	a tʃ !á/a m a n i	102		a tʃ !á/a m a n i	Tessmann: schlect (?)
3746	Urarina	baas̪ú	baas̪ú	bad (deleterious or unsuitable)	b a a s !̪ú/u	107		b a a s !̪ú/u	
4058	Wampis	penkerchau	penkerchau	bad (deleterious or unsuitable)	p e n k e r tʃ a u	108		p e n k e r tʃ a u	
4446	Yanesha	sosej	sosej	bad (deleterious or unsuitable)	s o s e j	111		s o s e j	
4484	Zaparo	tsɨraniaka	tsɨraniaka	bad (deleterious or unsuitable)	ts ɨ r a n i a k a	112		ts ɨ r a n i a k a	
#
8	Iquito	ísɨkɨ	ísɨkɨ	bark	!í/i s ɨ k ɨ	116		!í/i s ɨ k ɨ	tree bark
328	Ocaina	dʲakã́	dʲakã́	bark	dʲ a k !ã́/a	119		dʲ a k !ã́/a	
329	Ocaina	xonɯ́ɯ́ʔka	xonɯ́ɯ́ʔka	bark	x o n !ɯ́ɯ́/ɯː ʔ k a	129		x o n !ɯ́ɯ́/ɯː ʔ k a	
531	Resigaro	daʔmí	daʔmí	bark	d a ʔ m !í/i	120		d a ʔ m !í/i	
720	WitotoMinica	igóraɯ	igóraɯ	bark	i g !ó/o !r/ɾ a ɯ	125		i g !ó/o !r/ɾ a ɯ	
935	WitotoMurui	igoraɯ	igoraɯ	bark	i g o r aɯ	125		i g o r aɯ -	
1141	WitotoNipode	igóraɯ	igóraɯ	bark	i g !ó/o !r/ɾ a ɯ	125		i g !ó/o !r/ɾ a ɯ	
1260	Aguaruna	saɨpɨ	saɨpɨ	bark	s əɨ p ɨ	113		s əɨ - p ɨ	
1526	Candoshi-Shapra	koɾotanaʂi	koɾotanaʂi	bark	k o ɾ o t a n a ʂ i	115		k o ɾ o t a n a ʂ i	
1762	Muniche	tʃatpiçɨ	tʃatpiçɨ	bark	tʃ a t p i ç ɨ	118		tʃ a t p i ç ɨ	
1882	Taushiro	awaʔitʃi	awaʔitʃi	bark	a w a ʔ i tʃ i	122		a w a ʔ i tʃ i	
1984	Waorani	õtapo	õtapo	bark	!õ/o t a p o	124		!õ/o t a p o	
2304	Proto-Bora-Muinane	-meeʔu	-meeʔu	bark	m e e ʔ u	114		- - - m e e ʔ u	
2305	Bora	-mɨ́ɨ́ʔo	-mɨ́ɨ́ʔo	bark	m !ɨ́/ɨ !ɨ́/ɨ ʔ o	114		- - - m !ɨ́/ɨ !ɨ́/ɨ ʔ o	
2306	Muinane	kuu-mééʔu	kuu-mééʔu	bark	k u u m !é/e !é/e ʔ u	114		k u u m !é/e !é/e ʔ u	
2569	AchuarShiwiar	sáap	sáap	bark	s !áa/aː p	113		s !áa/aː - p -	
2910	Juri	coinoá	coinoá	bark	c o i n o !á/a	117		c o i n o !á/a	Martius: cortex
3198	Shiwilu	chipitek	chipitek	bark	tʃ i p i tˀ ə k	121		tʃ i p i tˀ ə k	
3378	Shuar	saep	saep	bark	s a ɨ p	113		s a ɨ p -	
3856	Urarina	ʤɨhɨd̺aá	ʤɨhɨd̺aá	bark	dʒ ɨ h ɨ d a !á/a	123		dʒ ɨ h ɨ d a !á/a	
3944	Wampis	saepe	saepe	bark	s a e p e	113		s a e p e	possessed
4125	Yagua	jiway	jiway	bark	h i w a j	126		h i w a j	
4317	Yanesha	pataʝ	pataʝ	bark	p a t a ʝ	127		p a t a ʝ	
4485	Zaparo	nakuna ichawkɨ	nakuna ichawkɨ	bark	n a k u n a i tʃ au k ɨ	128		n a k u n a i tʃ au k ɨ	
#
10	Iquito	iyaamiaákuji	iyaamiaákuji	because	i j aː mʲ aː k u h i	131		i j aː mʲ aː k u h i	because
1261	Aguaruna	wagkapa	wagkapa	because	w a ŋ k a p a	130		w a ŋ k a p a	
1985	Waorani	bejæ̃	bejæ̃	because	b e j !æ̃/æ	134		b e j !æ̃/æ	
3199	Shiwilu	malek	malek	because	m a l ə ˀk	132		m a l ə ˀk	
4082	Wampis	-sa	-sa	because	s a	133		s a	a subordinator -sa (or other subordinators) is used
4259	Yagua	taraju̠	taraju̠	because	t a r a h !u̠/u	135		t a r a h !u̠/u	
4477	Yanesha	ɲeɲtʲoˀmaɾ	ɲeɲtʲoˀmaɾ	because	ɲ e ɲ tʲ o ʔ m a ɾ	136		ɲ e ɲ tʲ o ʔ m a ɾ	
#
11	Iquito	tanaka	tanaka	belly	t a n a k a	143		t a n a k a	belly
203	Ocaina	gáɸotʲo	gáɸotʲo	belly	g !á/a ɸ o tʲ o	145		g !á/a ɸ o tʲ o	
333	Ocaina	gááho	gááho	belly	g !áá/aː h o	157		g !áá/aː h o	
455	Resigaro	atʰéʔeemú	atʰéʔeemú	belly	a tʰ !é/e ʔ eː m !ú/u	147		a tʰ !é/e ʔ eː m !ú/u	
534	Resigaro	iiʔʃaú	iiʔʃaú	belly	iː ʔ ʃ a !ú/u	158		iː ʔ ʃ a !ú/u	
628	WitotoMinica	hébe	hébe	belly	h !é/e b e	152		h !é/e b - - e	
629	WitotoMinica	hébekɯ	hébekɯ	belly	h !é/e b e k ɯ	152		h !é/e b e k ɯ	
630	WitotoMinica	moi idu	moi idu	belly	m o i i d u	161		m o i i d u	
724	WitotoMinica	hébe	hébe	belly	h !é/e b e	152		h !é/e b - - e	
725	WitotoMinica	hébekɯ	hébekɯ	belly	h !é/e b e k ɯ	152		h !é/e b e k ɯ	
847	WitotoMurui	hébe	hébe	belly	h !é/e b e	152		h !é/e b - - e	
848	WitotoMurui	ɸenaɯ hiʤakɯ	ɸenaɯ hiʤakɯ	belly	ɸ e n aɯ h i dʒ a k ɯ	159		ɸ e n aɯ h i dʒ a k ɯ	
939	WitotoMurui	hebe	hebe	belly	h e b e	152		h e b - - e	
940	WitotoMurui	ɸenaɯ	ɸenaɯ	belly	ɸ e n aɯ	159		ɸ e n - - - - - - aɯ	
1057	WitotoNipode	hébe	hébe	belly	h !é/e b e	152		h !é/e b - - e	
1058	WitotoNipode	nemúigɯ	nemúigɯ	belly	n e m !ú/u i g ɯ	160		n e m !ú/u i g ɯ	
1145	WitotoNipode	hébe	hébe	belly	h !é/e b e	152		h !é/e b - - e	
1262	Aguaruna	tantan	tantan	belly	t a n t a n	138		t a n t a n	
1395	Arabela	saɾaka	saɾaka	belly	s a ɾ a k a	139		s a ɾ a k a	
1527	Candoshi-Shapra	tintiɾantʃitʃ	tintiɾantʃitʃ	belly	t i n t i ɾ a n tʃ i tʃ	141		t i n t i ɾ a n tʃ i tʃ	
1636	Chayahuita	pɨtoyoʔnan	pɨtoyoʔnan	belly	p ɨ t o j o ʔ n a n	142		p ɨ t o j o ʔ n a n	
1763	Muniche	pdisti	pdisti	belly	p d i s t i	144		p d i s t i	
1883	Taushiro	aʔkuɨntɨ	aʔkuɨntɨ	belly	a ʔ k u ɨ n t ɨ	149		a ʔ k u ɨ n t ɨ	
1986	Waorani	jãdeka	jãdeka	belly	j !ã/a d e k a	151		j !ã/a d e k a	
2117	Proto-Bora-Muinane	iiʔba	iiʔba	belly	i i ʔ b a	140		i i ʔ - b a -	
2118	Bora	íʔpá-ɯ	íʔpá-ɯ	belly	!í/i ʔ p !á/a ɯ	140		!í/i - ʔ - p !á/a ɯ	
2119	Muinane	ííba	ííba	belly	!í/i !í/i b a	140		!í/i - - !í/i b a -	
2319	Proto-Bora-Muinane	iiʔba	iiʔba	belly	i i ʔ b a	140		i i ʔ - b a -	
2320	Bora	íʔpáɯ	íʔpáɯ	belly	!í/i ʔ p !á/a ɯ	140		!í/i - ʔ - p !á/a ɯ	
2321	Muinane	íiba	íiba	belly	!í/i i b a	140		!í/i - - i b a -	
2570	AchuarShiwiar	wáke	wáke	belly	w !á/a k ɨ	137		w !á/a k ɨ	
3200	Shiwilu	merpi	merpi	belly	m ə ɾ p i	148		m ə ɾ p i	
3379	Shuar	tantán	tantán	belly	t a n t !á/a n	138		t a n t !á/a n	
3593	Omurano	anaθawuápa	anaθawuápa	belly	a n a θ a w u !á/a p a	146		a n a θ a w u !á/a p a	Tessmann: Bauch
3665	Yameo	(ī)wē	wē	belly	w !ē/e	154		w !ē/e	Tessmann: Bauch
3732	Urarina	s̪ɨd̺í	s̪ɨd̺í	belly	s ɨ d !̺í/i	150		s ɨ d !̺í/i	
3968	Wampis	tantan	tantan	belly	t a n t a n	138		t a n t a n	
4108	Yagua	pïde	pïde	belly	p !ï/i d e	153		p !ï/i d e	
4292	Yanesha	kotmat͡s	kotmat͡s	belly	k o t m a ts	155		k o t m a ts	
4486	Zaparo	tawaka	tawaka	belly	t a w a k a	156		t a w a k a	
#
4320	Yanesha	at͡ssomapó/  aʀapo / naɾmet͡s	at͡ssomapó	berry (or fruit)	a ts s o m a p !ó/o	162		a ts s o m a p !ó/o	
