ID	CONCEPT_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOCODE	CONCEPT_CONCEPTICON_ID	COMMENT	FAMILY	SUBGROUP	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	COGIDS	ALIGNMENT	MORPHEMES	STRUCTURE
1822	78_i	I	Chayahuita	Shawi	ka	ka	k a		1209		Cahuapanan	Cahuapanan	1 7	AX	KA	8	8.K.C 8.A.V	2.0 1.5	ka	0	2	2	k a - -	k a	c v
1948	78_i	I	Muniche	Muniche	aʔpaʔnɨ	aʔpaʔnɨ	a ʔ p a ʔ n ɨ		1209		Muniche	Isolate	7 1 1 7 1 4 7	XMBYBCZ	AHPAHNI	15	15.A.V 15.H.c 15.P.C 15.A.V 15.H.C 15.N.C 15.I.V	1.5 1.1 1.75 1.3 1.75 1.5 0.8	aʔpaʔnɨ	0	8	9	a ʔ p a ʔ n ɨ	a ʔ p a ʔ n ɨ	v c c v c c v
2066	78_i	I	Taushiro	Taushiro	ujo	ujo	u j o		1209		Taushiro	Isolate	7 6 7	XBZ	YJU	23	23.Y.V 23.J.C 23.U.V	1.5 1.75 0.8	ujo	0	11	12	u j o	u j o	v c v
2185	78_i	I	Waorani	Sabela	botõ	botõ	b o t o		1209		Waorani	Isolate	1 7 1 7	AXBZ	PUTU	28	28.P.C 28.U.V 28.T.C 28.U.V	2.0 1.5 1.75 0.8	boto	0	12	13	b o t o	b o t o	c v c v
2410	78_i	I	Bora	Bora	oó	oó	o o		1209		Boran	Boran	7 7	XZ	UU	5	5.U.V 5.U.V	1.5 0.8	oo	0	3	3	o o	o o	v v
2411	78_i	I	Muinane	Muinane	úú-hóʔo	úú-hóʔo	u u + h o ʔ o		1209		Boran	Boran	7 7 9 3 7 1 7	XZ_AXBZ	YY_HUHU	14	14.Y.V 14.Y.V 14._._ 14.H.C 14.U.V 14.H.C 14.U.V	1.5 0.8 0.0 2.0 1.5 1.75 0.8	uu+hoʔo	0	3	3 8	u u + h o ʔ o	u u + h o ʔ o	v v + c v c v
2809	78_i	I	AchuarShiwiar	Achuar	wi	wi	v i		1209		Chicham	Chicham	3 7	AX	BI	1	1.B.C 1.I.V	2.0 1.5	vi	0	1	1	v i	v i	c v
3430	78_i	I	Shiwilu	Jebero	kenmu’	kenmu’	kˀ ə n m u ʔ		1209	inclusive form	Cahuapanan	Cahuapanan	1 7 4 4 7 1	AXMBYN	KENMYH	21	21.K.C 21.E.V 21.N.c 21.M.C 21.Y.V 21.H.c	2.0 1.5 1.1 1.75 1.3 0.8	kˀənmuʔ	0	10	11	kˀ ə n m u ʔ	kˀ ə n m u ʔ	c v c c v c
3431	78_i	I	Shiwilu	Jebero	kua	kua	kʷ a		1209	exclusive form	Cahuapanan	Cahuapanan	1 7	AX	KA	21	21.K.C 21.A.V	2.0 1.5	kʷa	0	2	2	kʷ a - -	kʷ a	c v
3611	78_i	I	Shuar	Shuar	wi	wi	w i		1209		Chicham	Chicham	6 7	AX	WI	22	22.W.C 22.I.V	2.0 1.5	wi	0	1	1	w i	w i	c v
3924	78_i	I	Urarina	Urarina	kan̪ɨ̃́	kan̪ɨ̃́	k a n ɨ		1209		Urarina	Isolate	1 7 4 7	AXBZ	KANI	26	26.K.C 26.A.V 26.N.C 26.I.V	2.0 1.5 1.75 0.8	kanɨ	0	2	2	k a n ɨ	k a n ɨ	c v c v
4060	78_i	I	Wampis	Huambisa	wi	wi	w i		1209		Chicham	Chicham	6 7	AX	WI	27	27.W.C 27.I.V	2.0 1.5	wi	0	1	1	w i	w i	c v
4333	78_i	I	Yagua	Yagua	ra	ra	r a		1209		Peba-Yagua	Peba-Yagua	5 7	AX	RA	32	32.R.C 32.A.V	2.0 1.5	ra	0	13	14	r a	r a	c v
4543	78_i	I	Yanesha	Yanesha'	na	na	n a		1209		Arawakan	Arawakan	4 7	AX	NA	34	34.N.C 34.A.V	2.0 1.5	na	0	9	10	n a	n a	c v
4714	78_i	I	Zaparo	Záparo	kwihya	kwihya	kʷ i hʲ a		1209		Zaparoan	Zaparoan	1 7 3 7	AXBZ	KIHA	35	35.K.C 35.I.V 35.H.C 35.A.V	2.0 1.5 1.75 0.8	kʷihʲa	0	2	2	kʷ i hʲ a	kʷ i hʲ a	c v c v
1	1_allofanumber	all (of a number)	Iquito	Iquito	pɨyɨ́ɨni	pɨyɨ́ɨni	p ɨ j ɨː n i		98	all	Zaparoan	Zaparoan	1 7 6 7 4 7	AXBYBZ	PIJINI	11	11.P.C 11.I.V 11.J.C 11.I.V 11.N.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	pɨjɨːni	0	20	43	p ɨ j ɨː n i	p ɨ j ɨː n i	c v c v c v
452	1_allofanumber	all (of a number)	Ocaina	Ocaina	ʧíí	ʧíí	tʃ iː		98		Huitotoan	Huitotoan	1 7	AX	TI	16	16.T.C 16.I.V	2.0 1.5	tʃiː	0	21	44	- - tʃ iː - -	tʃ iː	c v
453	1_allofanumber	all (of a number)	Ocaina	Ocaina	ʧííβa	ʧííβa	tʃ iː β a		98		Huitotoan	Huitotoan	1 7 3 7	AXBZ	TIBA	16	16.T.C 16.I.V 16.B.C 16.A.V	2.0 1.5 1.75 0.8	tʃiːβa	0	21	44	- - tʃ iː β a	tʃ iː β a	c v c v
454	1_allofanumber	all (of a number)	Ocaina	Ocaina	hã́tiʔ	hã́tiʔ	h a t i ʔ		98		Huitotoan	Huitotoan	3 7 1 7 1	AXBYN	HATIH	16	16.H.C 16.A.V 16.T.C 16.I.V 16.H.c	2.0 1.5 1.75 1.3 0.8	hatiʔ	0	21	44	h a t i ʔ -	h a t i ʔ	c v c v c
657	1_allofanumber	all (of a number)	Resigaro	Resígaro	pʰéʔtóʔ	pʰéʔtóʔ	pʰ e ʔ t o ʔ		98		Arawakan	Arawakan	1 7 1 1 7 1	AXMBYN	PEHTUH	20	20.P.C 20.E.V 20.H.c 20.T.C 20.U.V 20.H.c	2.0 1.5 1.1 1.75 1.3 0.8	pʰeʔtoʔ	0	22	45	pʰ e ʔ t o ʔ	pʰ e ʔ t o ʔ	c v c c v c
845	1_allofanumber	all (of a number)	WitotoMinica	Minica Huitoto	nána	nána	n a n a		98		Huitotoan	Huitotoan	4 7 4 7	AXBZ	NANA	29	29.N.C 29.A.V 29.N.C 29.A.V	2.0 1.5 1.75 0.8	nana	0	27	50	n a n a	n a n a	c v c v
1061	1_allofanumber	all (of a number)	WitotoMurui	Murui Huitoto	nana	nana	n a n a		98		Huitotoan	Huitotoan	4 7 4 7	AXBZ	NANA	30	30.N.C 30.A.V 30.N.C 30.A.V	2.0 1.5 1.75 0.8	nana	0	27	50	n a n a	n a n a	c v c v
1267	1_allofanumber	all (of a number)	WitotoNipode	Nüpode Huitoto	nána	nána	n a n a		98		Huitotoan	Huitotoan	4 7 4 7	AXBZ	NANA	31	31.N.C 31.A.V 31.N.C 31.A.V	2.0 1.5 1.75 0.8	nana	0	27	50	n a n a	n a n a	c v c v
1384	1_allofanumber	all (of a number)	Aguaruna	Aguaruna	aʃi	aʃi	a ʃ i		98		Chicham	Chicham	7 3 7	XBZ	ASI	2	2.A.V 2.S.C 2.I.V	1.5 1.75 0.8	aʃi	0	14	35	- a ʃ i	a ʃ i	v c v
1524	1_allofanumber	all (of a number)	Arabela	Arabela	puetunuj̃uanaa	puetunuj̃uanaa	p u ɨ t u n u h u a n aː		98		Zaparoan	Zaparoan	1 7 7 1 7 4 7 3 7 7 4 7	AXYBYBYBYYBZ	PYITYNYHYANA	4	4.P.C 4.Y.V 4.I.V 4.T.C 4.Y.V 4.N.C 4.Y.V 4.H.C 4.Y.V 4.A.V 4.N.C 4.A.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	puɨtunuhuanaː	0	15	36	p u ɨ t u n u h u a n aː	p u ɨ t u n u h u a n aː	c v v c v c v c v v c v
1659	1_allofanumber	all (of a number)	Candoshi-Shapra	Candoshi-Shapra	itʃiŋkoɾo	itʃiŋkoɾo	i tʃ i ŋ k o ɾ o		98		Candoshi-Shapra	Isolate	7 1 7 4 1 7 5 7	XBYMBYBZ	ITINKURU	6	6.I.V 6.T.C 6.I.V 6.N.c 6.K.C 6.U.V 6.R.C 6.U.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	itʃiŋkoɾo	0	17	40	i tʃ i ŋ k o ɾ o	i tʃ i ŋ k o ɾ o	v c v c c v c v
1770	1_allofanumber	all (of a number)	Chayahuita	Shawi	yaʔipi	yaʔipi	j a ʔ i p i		98		Cahuapanan	Cahuapanan	6 7 1 7 1 7	AXBYBZ	JAHIPI	8	8.J.C 8.A.V 8.H.C 8.I.V 8.P.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jaʔipi	0	19	42	j a ʔ i p i	j a ʔ i p i	c v c v c v
2018	1_allofanumber	all (of a number)	Taushiro	Taushiro	awun	awun	a w u n		98		Taushiro	Isolate	7 6 7 4	XBYN	AWYN	23	23.A.V 23.W.C 23.Y.V 23.N.c	1.5 1.75 1.3 0.8	awun	0	24	47	a w u n	a w u n	v c v c
2129	1_allofanumber	all (of a number)	Waorani	Sabela	tõbãdãdi	tõbãdãdi	t o b a d a d i		98		Waorani	Isolate	1 7 1 7 1 7 1 7	AXBYBYBZ	TUPATATI	28	28.T.C 28.U.V 28.P.C 28.A.V 28.T.C 28.A.V 28.T.C 28.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tobadadi	0	26	49	t o b a d a d i	t o b a d a d i	c v c v c v c v
2469	1_allofanumber	all (of a number)	Bora	Bora	pʰá-neé-re	pʰá-neé-re	pʰ a + n ɛ ɛ + ɾ ɛ		98		Boran	Boran	1 7 9 4 7 7 9 5 7	AX_AXZ_AX	PA_NEE_RE	5	5.P.C 5.A.V 5._._ 5.N.C 5.E.V 5.E.V 5._._ 5.R.C 5.E.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5	pʰa+nɛɛ+ɾɛ	0	16	37 38 39	pʰ a - + n ɛ ɛ + ɾ ɛ	pʰ a + n ɛ ɛ + ɾ ɛ	c v + c v v + c v
2470	1_allofanumber	all (of a number)	Muinane	Muinane	ɸáá-no	ɸáá-no	ɸ a a + n o		98		Boran	Boran	3 7 7 9 4 7	AXZ_AX	BAA_NU	14	14.B.C 14.A.V 14.A.V 14._._ 14.N.C 14.U.V	2.0 1.5 0.8 0.0 2.0 1.5	ɸaa+no	0	16	37 38	ɸ a a + n o -	ɸ a a + n o	c v v + c v
2734	1_allofanumber	all (of a number)	AchuarShiwiar	Achuar	ashí	ashí	a ʃ i		98	From the examples seems that this is the least used form: mash	Chicham	Chicham	7 3 7	XBZ	ASI	1	1.A.V 1.S.C 1.I.V	1.5 1.75 0.8	aʃi	0	14	35	- a ʃ i	a ʃ i	v c v
3364	1_allofanumber	all (of a number)	Shiwilu	Jebero	iñer'	iñer'	i ɲ ə ˀr		98		Cahuapanan	Cahuapanan	7 4 7 5	XBYN	INER	21	21.I.V 21.N.C 21.E.V 21.R.c	1.5 1.75 1.3 0.8	iɲəˀr	0	23	46	i ɲ ə ˀr	i ɲ ə ˀr	v c v c
3542	1_allofanumber	all (of a number)	Shuar	Shuar	másh’,mashi	másh’	m a ʃ i		98		Chicham	Chicham	4 7 3 7	AXBZ	MASI	22	22.M.C 22.A.V 22.S.C 22.I.V	2.0 1.5 1.75 0.8	maʃi	0	14	35	m a ʃ i	m a ʃ i	c v c v
3543	1_allofanumber	all (of a number)	Shuar	Shuar	másh’,mashi	mashi	m a ʃ i		98		Chicham	Chicham	4 7 3 7	AXBZ	MASI	22	22.M.C 22.A.V 22.S.C 22.I.V	2.0 1.5 1.75 0.8	maʃi	1	14	35	m a ʃ i	m a ʃ i	c v c v
3984	1_allofanumber	all (of a number)	Urarina	Urarina	s̪at̪ĩ́ĩ́	s̪at̪ĩ́ĩ́	s a t i i		98		Urarina	Isolate	3 7 1 7 7	AXBYZ	SATII	26	26.S.C 26.A.V 26.T.C 26.I.V 26.I.V	2.0 1.5 1.75 1.3 0.8	satii	0	25	48	s a t i i	s a t i i	c v c v v
4076	1_allofanumber	all (of a number)	Wampis	Huambisa	ashi	ashi	a ʃ i		98		Chicham	Chicham	7 3 7	XBZ	ASI	27	27.A.V 27.S.C 27.I.V	1.5 1.75 0.8	aʃi	0	14	35	- a ʃ i	a ʃ i	v c v
4651	1_allofanumber	all (of a number)	Yanesha	Yanesha'	aʎowenet	aʎowenet	a ʎ o w e n e t		98		Arawakan	Arawakan	7 5 7 6 7 4 7 1	XBYBYBYN	ALUWENET	34	34.A.V 34.L.C 34.U.V 34.W.C 34.E.V 34.N.C 34.E.V 34.T.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	aʎowenet	0	28	51	a ʎ o w e n e t	a ʎ o w e n e t	v c v c v c v c
4664	1_allofanumber	all (of a number)	Zaparo	Záparo	kawiryaha	kawiryaha	k a w i rʲ a h a		98		Zaparoan	Zaparoan	1 7 6 7 5 7 3 7	AXBYBYBZ	KAWIRAHA	35	35.K.C 35.A.V 35.W.C 35.I.V 35.R.C 35.A.V 35.H.C 35.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kawirʲaha	0	29	52	k a w i rʲ a h a	k a w i rʲ a h a	c v c v c v c v
2	2_and	and	Iquito	Iquito	músati	músati	m u s a t i		1577	and	Zaparoan	Zaparoan	4 7 3 7 1 7	AXBYBZ	MYSATI	11	11.M.C 11.Y.V 11.S.C 11.A.V 11.T.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	musati	0	31	67	m u s a t i	m u s a t i	c v c v c v
195	2_and	and	Ticuna	Ticuna	ka̰	ka̰	k a		1577	and	Ticuna-Yuri	Ticuna-Yuri	1 7	AX	KA	25	25.K.C 25.A.V	2.0 1.5	ka	0	34	70	k a	k a	c v
196	2_and	and	Ticuna	Ticuna	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	ñṵã́chi̋	ɲ u a tɕ i		1577	and	Ticuna-Yuri	Ticuna-Yuri	4 7 7 2 7	AXYBZ	NYACI	25	25.N.C 25.Y.V 25.A.V 25.C.C 25.I.V	2.0 1.5 1.3 1.75 0.8	ɲuatɕi	0	33	69	ɲ u a tɕ i	ɲ u a tɕ i	c v v c v
197	2_and	and	Ticuna	Ticuna	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	rṵ̈ã́chi̋	ɾ ɯ a tɕ i		1577	and	Ticuna-Yuri	Ticuna-Yuri	5 7 7 2 7	AXYBZ	RIACI	25	25.R.C 25.I.V 25.A.V 25.C.C 25.I.V	2.0 1.5 1.3 1.75 0.8	ɾɯatɕi	0	33	69	ɾ ɯ a tɕ i	ɾ ɯ a tɕ i	c v v c v
198	2_and	and	Ticuna	Ticuna	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	chi̋	tɕ i		1577	and	Ticuna-Yuri	Ticuna-Yuri	2 7	AX	CI	25	25.C.C 25.I.V	2.0 1.5	tɕi	0	33	69	- - - tɕ i	tɕ i	c v
199	2_and	and	Ticuna	Ticuna	rǜ(∼ dǜ)	rǜ	ɾ ɯ		1577	and	Ticuna-Yuri	Ticuna-Yuri	5 7	AX	RI	25	25.R.C 25.I.V	2.0 1.5	ɾɯ	0	33	69	ɾ - - - ɯ	ɾ ɯ	c v
2735	2_and	and	AchuarShiwiar	Achuar	túrua	túrua	t u r ua		1577	Because of order of the entries: túra	Chicham	Chicham	1 7 5 7	AXBZ	TYRY	1	1.T.C 1.Y.V 1.R.C 1.Y.V	2.0 1.5 1.75 0.8	turua	0	30	66	t u r ua	t u r ua	c v c v
3365	2_and	and	Shiwilu	Jebero	=lek	=lek	l ə ˀk		1577		Cahuapanan	Cahuapanan	5 7 1	AXN	LEK	21	21.L.C 21.E.V 21.K.c	2.0 1.5 0.8	ləˀk	0	32	68	l ə ˀk	l ə ˀk	c v c
3544	2_and	and	Shuar	Shuar	-sha	-sha	ʃ a		1577		Chicham	Chicham	3 7	AX	SA	22	22.S.C 22.A.V	2.0 1.5	ʃa	0	33	69	- - - ʃ a	ʃ a	c v
4028	2_and	and	Urarina	Urarina	ʧããẽ́	ʧããẽ́	tʃ a a e		1577		Urarina	Isolate	1 7 7 7	AXYZ	TAAE	26	26.T.C 26.A.V 26.A.V 26.E.V	2.0 1.5 1.3 0.8	tʃaae	0	35	71	tʃ a a e	tʃ a a e	c v v v
4253	2_and	and	Wampis	Huambisa	tura	tura	t u r a		1577		Chicham	Chicham	1 7 5 7	AXBZ	TYRA	27	27.T.C 27.Y.V 27.R.C 27.A.V	2.0 1.5 1.75 0.8	tura	0	30	66	t u r a	t u r a	c v c v
4440	2_and	and	Yagua	Yagua	chi	chi	tʃ i		1577		Peba-Yagua	Peba-Yagua	1 7	AX	TI	32	32.T.C 32.I.V	2.0 1.5	tʃi	0	36	72	tʃ i	tʃ i	c v
4659	2_and	and	Yanesha	Yanesha'	ɲamʲa	ɲamʲa	ɲ a mʲ a		1577		Arawakan	Arawakan	4 7 4 7	AXBZ	NAMA	34	34.N.C 34.A.V 34.M.C 34.A.V	2.0 1.5 1.75 0.8	ɲamʲa	0	37	73	ɲ a mʲ a	ɲ a mʲ a	c v c v
3	3_animal	animal	Iquito	Iquito	tasiitáani	tasiitáani	t a s iː t aː n i		619	animal	Zaparoan	Zaparoan	1 7 3 7 1 7 4 7	AXBYBYBZ	TASITANI	11	11.T.C 11.A.V 11.S.C 11.I.V 11.T.C 11.A.V 11.N.C 11.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tasiːtaːni	0	43	86	t a s iː t aː n i	t a s iː t aː n i	c v c v c v c v
200	3_animal	animal	Ticuna	Ticuna	-ēʼü̃̀	-ēʼü̃̀	e ʔ ɯ		619	[+tr.] animal	Ticuna-Yuri	Ticuna-Yuri	7 1 7	XBZ	EHI	25	25.E.V 25.H.C 25.I.V	1.5 1.75 0.8	eʔɯ	0	47	90	e ʔ ɯ	e ʔ ɯ	v c v
1385	3_animal	animal	Aguaruna	Aguaruna	kuntin	kuntin	k ʊ n t i n		619		Chicham	Chicham	1 7 4 1 7 4	AXMBYN	KYNTIN	2	2.K.C 2.Y.V 2.N.c 2.T.C 2.I.V 2.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kʊntin	0	39	82	k ʊ n t i n	k ʊ n t i n	c v c c v c
1525	3_animal	animal	Arabela	Arabela	kasaa	kasaa	k a s aː		619		Zaparoan	Zaparoan	1 7 3 7	AXBZ	KASA	4	4.K.C 4.A.V 4.S.C 4.A.V	2.0 1.5 1.75 0.8	kasaː	0	40	83	k a s aː	k a s aː	c v c v
1771	3_animal	animal	Chayahuita	Shawi	maʔʃa	maʔʃa	m a ʔ ʃ a		619		Cahuapanan	Cahuapanan	4 7 1 3 7	AXBCZ	MAHSA	8	8.M.C 8.A.V 8.H.C 8.S.C 8.A.V	2.0 1.5 1.75 1.5 0.8	maʔʃa	0	41	84	m a ʔ ʃ a	m a ʔ ʃ a	c v c c v
2019	3_animal	animal	Taushiro	Taushiro	nijiʔi	nijiʔi	n i j i ʔ i		619		Taushiro	Isolate	4 7 6 7 1 7	AXBYBZ	NIJIHI	23	23.N.C 23.I.V 23.J.C 23.I.V 23.H.C 23.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nijiʔi	0	46	89	n i j i ʔ i	n i j i ʔ i	c v c v c v
2130	3_animal	animal	Waorani	Sabela	kæ̃dĩgã	kæ̃dĩgã	k æ d i g a		619		Waorani	Isolate	1 7 1 7 1 7	AXBYBZ	KETIKA	28	28.K.C 28.E.V 28.T.C 28.I.V 28.K.C 28.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kædiga	0	49	92	k æ d i g a	k æ d i g a	c v c v c v
2736	3_animal	animal	AchuarShiwiar	Achuar	ikiámia páchim	ikiámia páchim	i kʲ a mʲ a + p a tʃ i m		619	wild animal	Chicham	Chicham	7 1 7 4 7 9 1 7 1 7 4	XBYBZ_AXBYN	IKAMA_PATIM	1	1.I.V 1.K.C 1.A.V 1.M.C 1.A.V 1._._ 1.P.C 1.A.V 1.T.C 1.I.V 1.M.c	1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8	ikʲamʲa+patʃim	0	38	80 81	i kʲ a mʲ a + p a tʃ i m	i kʲ a mʲ a + p a tʃ i m	v c v c v + c v c v c
2737	3_animal	animal	AchuarShiwiar	Achuar	tángku	tángku	t a ŋ k u		619	domesticated animal	Chicham	Chicham	1 7 4 1 7	AXMBZ	TANKY	1	1.T.C 1.A.V 1.N.c 1.K.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	taŋku	0	44	87	t a ŋ k u	t a ŋ k u	c v c c v
3366	3_animal	animal	Shiwilu	Jebero	añimer	añimer	a ɲ i m ə ɾ		619	Spanish	Cahuapanan	Cahuapanan	7 4 7 4 7 5	XBYBYN	ANIMER	21	21.A.V 21.N.C 21.I.V 21.M.C 21.E.V 21.R.c	1.5 1.75 1.3 1.75 1.3 0.8	aɲiməɾ	0	45	88	a ɲ i m ə ɾ	a ɲ i m ə ɾ	v c v c v c
3545	3_animal	animal	Shuar	Shuar	tanku	tanku	t a ŋ k u		619	animal doméstico	Chicham	Chicham	1 7 4 1 7	AXMBZ	TANKY	22	22.T.C 22.A.V 22.N.c 22.K.C 22.Y.V	2.0 1.5 1.1 1.75 0.8	taŋku	0	44	87	t a ŋ k u	t a ŋ k u	c v c c v
4051	3_animal	animal	Urarina	Urarina	t̪aibin̪ããẽ́	t̪aibin̪ããẽ́	t a i b i n a a e		619		Urarina	Isolate	1 7 7 1 7 4 7 7 7	AXYBYBYYZ	TAIPINAAE	26	26.T.C 26.A.V 26.I.V 26.P.C 26.I.V 26.N.C 26.A.V 26.A.V 26.E.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.3 0.8	taibinaae	0	48	91	t a i b i n a a e	t a i b i n a a e	c v v c v c v v v
4104	3_animal	animal	Wampis	Huambisa	kuntin	kuntin	k u n t i n		619		Chicham	Chicham	1 7 4 1 7 4	AXMBYN	KYNTIN	27	27.K.C 27.Y.V 27.N.c 27.T.C 27.I.V 27.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kuntin	0	39	82	k u n t i n	k u n t i n	c v c c v c
4257	3_animal	animal	Yagua	Yagua	jawada	jawada	h a w a d a		619		Peba-Yagua	Peba-Yagua	3 7 6 7 1 7	AXBYBZ	HAWATA	32	32.H.C 32.A.V 32.W.C 32.A.V 32.T.C 32.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hawada	0	50	93	h a w a d a	h a w a d a	c v c v c v
4444	3_animal	animal	Yanesha	Yanesha'	oʎwa	oʎwa	o ʎ w a		619		Arawakan	Arawakan	7 5 6 7	XBCZ	ULWA	34	34.U.V 34.L.C 34.W.C 34.A.V	1.5 1.75 1.5 0.8	oʎwa	0	51	94	o ʎ w a	o ʎ w a	v c c v
4	4_ashes	ashes	Iquito	Iquito	pukiti	pukiti	p u k i t i		646	ash	Zaparoan	Zaparoan	1 7 1 7 1 7	AXBYBZ	PYKITI	11	11.P.C 11.Y.V 11.K.C 11.I.V 11.T.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	pukiti	0	58	107	p u k i t i	p u k i t i	c v c v c v
363	4_ashes	ashes	Ocaina	Ocaina	oʔtiiʔi	oʔtiiʔi	o ʔ t iː ʔ i		646		Huitotoan	Huitotoan	7 1 1 7 1 7	XMBYBZ	UHTIHI	16	16.U.V 16.H.c 16.T.C 16.I.V 16.H.C 16.I.V	1.5 1.1 1.75 1.3 1.75 0.8	oʔtiːʔi	0	59	108	o ʔ t iː ʔ i	o ʔ t iː ʔ i	v c c v c v
602	4_ashes	ashes	Resigaro	Resígaro	ókóniigiʤíhú	ókóniigiʤíhú	o k o n iː g i dʒ i h u		646		Arawakan	Arawakan	7 1 7 4 7 1 7 1 7 3 7	XBYBYBYBYBZ	UKUNIKITIHY	20	20.U.V 20.K.C 20.U.V 20.N.C 20.I.V 20.K.C 20.I.V 20.T.C 20.I.V 20.H.C 20.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.75 0.8	okoniːgidʒihu	0	61	110	o k o n iː g i dʒ i h u	o k o n iː g i dʒ i h u	v c v c v c v c v c v
782	4_ashes	ashes	WitotoMinica	Minica Huitoto	híθeɸo	híθeɸo	h i θ e ɸ o		646		Huitotoan	Huitotoan	3 7 3 7 3 7	AXBYBZ	HIDEBU	29	29.H.C 29.I.V 29.D.C 29.E.V 29.B.C 29.U.V	2.0 1.5 1.75 1.3 1.75 0.8	hiθeɸo	0	66	115	h i θ e ɸ o	h i θ e ɸ o	c v c v c v
