Source Doculect	Target Doculect	Doculects Distance
Bora	Muniche	0.3675595238095237
Muinane	Muniche	0.32886904761904767
Muniche	Taushiro	0.5386904761904762
Muniche	Zaparo	0.34375
Taushiro	Zaparo	0.43675595238095233
Shiwilu	Taushiro	0.36458333333333326
AchuarShiwiar	Taushiro	0.6319444444444444
Shuar	Taushiro	0.6319444444444444
Taushiro	Urarina	0.34895833333333326
Taushiro	Wampis	0.32986111111111116
Omurano	Taushiro	0.45238095238095233
Wampis	Waorani	0.3366677689594356
AchuarShiwiar	Waorani	0.3388310185185185
Shuar	Waorani	0.345775462962963
Shiwilu	Waorani	0.25416666666666665
Bora	Proto-Bora-Muinane	0.4209585354228371
Muinane	Proto-Bora-Muinane	0.5395396795974952
Bora	Muinane	0.3886271028855365
Andoa	Proto-Bora-Muinane	0.31822503306878314
Proto-Bora-Muinane	Tequiraca	0.3569609788359789
Andoa	Bora	0.2622685185185186
Bora	Tequiraca	0.25851521164021163
Andoa	Muinane	0.34222056878306883
Muinane	Tequiraca	0.34037698412698414
Juri	Proto-Bora-Muinane	0.2645833333333333
Bora	Juri	0.25148809523809523
Juri	Muinane	0.25148809523809523
Proto-Bora-Muinane	Zaparo	0.3488095238095238
Bora	Zaparo	0.26781580687830686
Muinane	Zaparo	0.31667493386243384
MiranhaCarapana-Tapuya	Proto-Bora-Muinane	0.33333333333333337
Bora	MiranhaCarapana-Tapuya	0.29761904761904767
MiranhaCarapana-Tapuya	Muinane	0.29761904761904767
Omurano	Proto-Bora-Muinane	0.3964120370370371
Bora	Omurano	0.35127314814814814
Muinane	Omurano	0.35416666666666663
Chibito	Proto-Bora-Muinane	0.2284722222222222
Bora	Chibito	0.29261363636363635
Chibito	Muinane	0.30486111111111114
AchuarShiwiar	Proto-Bora-Muinane	0.26041666666666663
Proto-Bora-Muinane	Shuar	0.39583333333333326
Proto-Bora-Muinane	Wampis	0.26041666666666663
Bora	Shuar	0.44999999999999996
Muinane	Shuar	0.53125
Proto-Bora-Muinane	Yameo	0.30486111111111114
Bora	Yameo	0.2343749999999999
Muinane	Yameo	0.30486111111111114
AchuarShiwiar	Canichana	0.33958333333333335
AchuarShiwiar	Shuar	0.6072975163339747
AchuarShiwiar	Wampis	0.6094576468217774
AchuarShiwiar	MiranhaCarapana-Tapuya	0.48363095238095244
AchuarShiwiar	Juri	0.8333333333333334
AchuarShiwiar	Shiwilu	0.41277281746031746
AchuarShiwiar	Yanesha	0.35380015432098777
AchuarShiwiar	Yagua	0.5298611111111111
AchuarShiwiar	Zaparo	0.416046626984127
AchuarShiwiar	Andoa	0.42559523809523814
AchuarShiwiar	Coeruna	0.26631944444444433
AchuarShiwiar	Urarina	0.36458333333333337
AchuarShiwiar	Chibito	0.2749999999999999
Andoa	Zaparo	0.4771424755799756
Andoa	Yagua	0.4508928571428572
Andoa	MiranhaCarapana-Tapuya	0.32291666666666663
Andoa	Shiwilu	0.44999999999999996
Andoa	Urarina	0.29761904761904756
Andoa	Shuar	0.4196428571428572
Andoa	Wampis	0.39360119047619047
Andoa	Tequiraca	0.3506944444444444
Canichana	Shuar	0.43194444444444446
Canichana	Wampis	0.3187500000000001
Canichana	Yagua	0.4159722222222222
Coeruna	Juri	0.460218253968254
Juri	Urarina	0.3582386363636363
Juri	Yagua	0.4598439754689755
Juri	Zaparo	0.4164186507936508
Juri	Shuar	0.8333333333333334
Juri	Wampis	0.6979166666666667
Juri	Tequiraca	0.3772321428571429
Juri	Pebas	0.50625
Juri	Shiwilu	0.33958333333333335
Juri	Yanesha	0.23503787878787885
Coeruna	MiranhaCarapana-Tapuya	0.41814373897707224
Coeruna	Urarina	0.34043560606060597
Coeruna	Yagua	0.4520833333333333
Coeruna	Zaparo	0.5580357142857143
Coeruna	Pebas	0.26875000000000004
Coeruna	Wampis	0.2559027777777778
Pebas	Yagua	0.5868675595238095
Pebas	Yanesha	0.27083333333333337
Pebas	Shiwilu	0.32152777777777775
Pebas	Yameo	0.4508928571428572
MiranhaCarapana-Tapuya	Shuar	0.48363095238095244
MiranhaCarapana-Tapuya	Shiwilu	0.53125
MiranhaCarapana-Tapuya	Urarina	0.2366071428571428
MiranhaCarapana-Tapuya	Zaparo	0.3303571428571428
MiranhaCarapana-Tapuya	Yagua	0.44999999999999996
MiranhaCarapana-Tapuya	Yameo	0.36197916666666674
Shiwilu	Urarina	0.3516865079365079
Shiwilu	Wampis	0.4632440476190476
Shiwilu	Shuar	0.43253968253968256
Shiwilu	Yanesha	0.3571428571428572
Shiwilu	Zaparo	0.43898809523809523
Shiwilu	Tequiraca	0.46875
Shuar	Wampis	0.6802959292949531
Shuar	Yanesha	0.28052662037037035
Shuar	Yagua	0.44791666666666674
Shuar	Zaparo	0.40392967372134037
Shuar	Urarina	0.38764880952380953
Chibito	Shuar	0.2749999999999999
Chibito	Wampis	0.25416666666666665
Chibito	Urarina	0.31845238095238093
Chibito	Yagua	0.46875
Omurano	Urarina	0.36755952380952384
Omurano	Yagua	0.3609733245149912
Tequiraca	Zaparo	0.34970238095238104
Yagua	Yameo	0.519808201058201
Yameo	Yanesha	0.404265873015873
Urarina	Yagua	0.2927669552669553
Urarina	Zaparo	0.32683794793169796
Urarina	Yanesha	0.27569444444444446
Urarina	Wampis	0.24548611111111107
Wampis	Yagua	0.5868055555555556
Wampis	Yanesha	0.335084071021571
Wampis	Zaparo	0.4475446428571429
Yagua	Zaparo	0.41961598875661377
Yagua	Yanesha	0.29861111111111116
Yanesha	Zaparo	0.29293447036502596
