ID	STRUCTURE	FREQUENCY	AchuarShiwiar	Aguaruna	Andoa	Arabela	Bora	Candoshi-Shapra	Chayahuita	Chibito	Coeruna	Iquito	Juri	MiranhaCarapana-Tapuya	Muinane	Muniche	Ocaina	Omurano	Pebas	Proto-Bora-Muinane	Resigaro	Shiwilu	Shuar	Taushiro	Tequiraca	Ticuna	Urarina	Wampis	Waorani	WitotoMinica	WitotoMurui	WitotoNipode	Yagua	Yameo	Yanesha	Zaparo	COGNATESETS	CONCEPTS
130	V	6	Ø	Ø	Ø	Ø	a.a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.a	Ø	Ø	Ø	o	a.a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	a	Ø	Ø	569:1, 1267:1, 3115:1, 3613:1, 2327:1, 2918:1	father / leaf / rope / to hunt (game) / two / wife
65	V	5	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u.i	u.i	u.i	Ø	Ø	Ø	Ø	663:1, 2605:2, 2755:1, 3022:4, 3538:0	eye / to push / to squeeze / to tie / when?
59	V	4	Ø	Ø	Ø	Ø	ɯ.ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ.ɨ	Ø	Ø	Ø	Ø	ɨ.ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	23:1, 2955:1, 3242:2, 3580:1	fat (organic substance) / fire / we / ye
61	V	4	Ø	Ø	Ø	Ø	ɯ.ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	842:3, 2747:4, 2901:7, 3413:3	bone / dust / mouth / two
74	V	4	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	a.ʔ	a	Ø	Ø	Ø	Ø	a.i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	530:1, 1388:0, 2978:3, 1247:1	in / root / see / wet
71	V	3	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	oː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	o	o	o	Ø	Ø	Ø	Ø	1020:1, 1673:4, 3312:1	day (opposite of night rather than time measure) / nose / stick (of wood)
76	V	3	Ø	Ø	Ø	Ø	ɨ.ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e.e	Ø	Ø	Ø	Ø	e.e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	397:1, 797:1, 2978:1	heart / mother / wet
89	V	3	Ø	Ø	o	iu	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	1387:5, 2276:5, 3490:5	egg / see / to hear
95	V	3	Ø	Ø	a	a	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	77:3, 1093:7, 2859:4	I / one / tooth (front rather than molar)
127	V	3	Ø	Ø	o	o	Ø	Ø	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	217:3, 2570:4, 1289:1	grass / rotten (especially log) / to spit
128	V	3	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i.i	Ø	Ø	Ø	Ø	i	i.ʔ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	2901:1, 3282:1, 2720:1	to throw / two / yellow
146	V	3	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	Ø	iː	Ø	Ø	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	a	Ø	ɨ	2918:6, 3061:3, 567:1	leaf / two / white
149	V	3	Ø	Ø	Ø	Ø	ɛ.ɛ	Ø	Ø	Ø	e.i	Ø	Ø	i	o	Ø	i	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	672:2, 1247:3, 2901:4	long / root / two
96	V	2	Ø	Ø	Ø	Ø	i.i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i.i	Ø	Ø	Ø	Ø	i.i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	12:4, 3468:1	ashes / earth (soil)
100	V	2	Ø	Ø	Ø	Ø	ɯ.ɯ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɨ	Ø	Ø	Ø	Ø	ɨ.ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	350:3, 826:2	he / mountain
102	V	2	Ø	Ø	Ø	Ø	ɨ.ɨ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	569:3, 3306:4	day (opposite of night rather than time measure) / leaf
103	V	2	Ø	Ø	Ø	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a.a	Ø	Ø	Ø	Ø	a.a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	826:1, 1089:1	mountain / one
106	V	2	Ø	Ø	Ø	Ø	ɛ.ɛ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e.e	Ø	Ø	Ø	Ø	o.o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1107:4, 1210:1	here / river
108	V	2	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1141:5, 1325:9	red / sand
109	V	2	Ø	Ø	Ø	Ø	o.o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u.u	Ø	Ø	Ø	Ø	u.u	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1229:1, 1368:1	river / sea (ocean)
110	V	2	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	1387:1, 1932:3	see / to bite
111	V	2	Ø	Ø	Ø	Ø	ɛ	Ø	Ø	Ø	Ø	Ø	Ø	Ø	e	Ø	Ø	Ø	Ø	o	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	1498:3, 3636:6	feather (larger feathers rather than down) / sky
112	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ui	ui	ui	Ø	Ø	Ø	Ø	1579:0, 3179:0	cloud / smoke (of fire)
113	V	2	Ø	Ø	Ø	i.u	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	1997:4, 2407:4	to come / to live
114	V	2	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	aː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	a	2302:0, 2345:0	to hit / to kill
115	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	a	Ø	Ø	3061:7, 3360:2	dog / white
116	V	2	Ø	Ø	i	-	Ø	Ø	Ø	Ø	Ø	i	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	i	77:1, 2407:0	I / to live
120	V	2	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	oː	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	ɯ.i	ɯ	ɯ.i	Ø	Ø	Ø	Ø	493:0, 777:1	husband / woman
122	V	2	Ø	Ø	Ø	u	Ø	Ø	Ø	Ø	Ø	iː	Ø	a	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	u	2092:3, 2737:1	bone / to drink
