ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	STRUCTURE
3549	Shuar	belly	tantán	tantán	t a n t a n	None	Chicham	t a n t a n	1234	258	Pellizzaro2005	C V C C V C
4137	Wampis	belly	tantan	tantan	t a n t a n	None	Chicham	t a n t a n	1234	258	Peña2023	C V C C V C
2740	AchuarShiwiar	belly	wáke	wáke	w a k ɨ	Seems that this word is better suited for 'stomach'.	Chicham	w a k ɨ	1224	257	Fast2008	C V C V
4844	Aguaruna	belly	wakɨ	wakɨ	w a k ɨ	None	Chicham	w a k ɨ	1224	257	Overall2007	C V C V
4843	Shuar	belly	wake	wake	w a k ɨ	'Belly'	Chicham	w a k ɨ	1224	257	Pellizzaro2005	C V C V
4845	Wampis	belly	wakɨ	wakɨ	w a k ɨ	'Stomach'	Chicham	w a k ɨ	1224	257	Peña2015	C V C V
831	WitotoMinica	big	áiʤue	áiʤue	ai dʒ u + e	None	Huitotoan	ai dʒ u + e	1717	328 1421	Huber2021	V C V + V
1048	WitotoMurui	big	aiʤue	aiʤue	ai dʒ u + e	big-CLF:G	Huitotoan	ai dʒ u + e	1717	328 1421	Huber2021	V C V + V
1254	WitotoNipode	big	áiʤue	áiʤue	ai dʒ u + e	None	Huitotoan	ai dʒ u + e	1717	328 1421	Huber2021	V C V + V
2741	AchuarShiwiar	big	juun	juun	h uː n	In other examples the main form appears, but this form has no other appearance: juunt	Chicham	h uː n	1560	306	Fast2008	C V C
1392	Aguaruna	big	muun	muun	m ʊː n	None	Chicham	m ʊː n	1560	306	Johansson2021	C V C
3550	Shuar	big	úunt	úunt	uː n.t	None	Chicham	- uː n.t	1560	306	Pellizzaro2005	V C
4082	Wampis	big	uun	uun	uː n	None	Chicham	- uː n	1560	306	Peña2023	V C
2429	Bora	big	mitʰʲa-ne	mitʰʲa-ne	m i tʰʲ a + n ɛ	None	Boran	m i tʰʲ a + n ɛ	1582	309 310	Seifart2024	C V C V + C V
2430	Muinane	big	mítʲa-no	mítʲa-no	m i tʲ a + n o	None	Boran	m i tʲ a + n o	1582	309 310	Seifart2024	C V C V + C V
2427	Proto-Bora-Muinane	big	mita-no	mita-no	m i t a + n o	None	Boran	m i t a + n o	1582	309 310	Seifart2024	C V C V + C V
2742	AchuarShiwiar	bird	nanámtin	nanámtin	n a n a m t i n	None	Chicham	n a n a m t i n	1826	347	Fast2008	C V C V C C V C
3551	Shuar	bird	nanamtin	nanamtin	n a n a m t i n	None	Chicham	n a n a m t i n	1826	347	Pellizzaro2005	C V C V C C V C
4102	Wampis	bird	nanamtin	nanamtin	n a n a m t i n	None	Chicham	n a n a m t i n	1826	347	Peña2023	C V C V C C V C
4848	Aguaruna	bird	tʃíŋki	tʃíŋki	tʃ i ŋ k i	None	Chicham	tʃ i ŋ k i	3514	830	Overall2007	C V C C V
4846	Shuar	bird	chiŋki	chiŋki	tʃ i ŋ k i	None	Chicham	tʃ i ŋ k i	3514	830	Saad2014	C V C C V
4847	Wampis	bird	t͡ʃinki	t͡ʃinki	tʃ i n k i	None	Chicham	tʃ i n k i	3514	830	Peña2015	C V C C V
837	WitotoMinica	black	hítɯrede	hítɯrede	h i t ɯ + ɾ e + d e	None	Huitotoan	h i t ɯ + ɾ e + d e	2263	405 1426 1427	Huber2021	C V C V + C V + C V
1053	WitotoMurui	black	hitɯrede	hitɯrede	h i t ɯ + r e + d e	black-ATT-LK.3	Huitotoan	h i t ɯ + r e + d e	2263	405 1426 1427	Huber2021	C V C V + C V + C V
1259	WitotoNipode	black	híɗɯrede	híɗɯrede	h i ɗ ɯ + ɾ e + d e	None	Huitotoan	h i ɗ ɯ + ɾ e + d e	2263	405 1426 1427	Huber2021	C V C V + C V + C V
1395	Aguaruna	black	bukusɨa	bukusɨa	b ʊ k ʊ s ɨ.a	None	Chicham	b ʊ k ʊ s ɨ.a	2070	381	Johansson2021	C V C V C V
3553	Shuar	black	mukusa	mukusa	m u k u s a	None	Chicham	m u k u s a	2070	381	Pellizzaro2005	C V C V C V
4219	Wampis	black	mukusa	mukusa	m u k u s a	None	Chicham	m u k u s a	2070	381	Peña2023	C V C V C V
1533	Arabela	blood	nanaka	nanaka	n a n a k a	None	Zaparoan	n a n a k a	2382	423	Johansson2021	C V C V C V
16	Iquito	blood	májaaka	májaaka	m a h aː k a	blood	Zaparoan	m a h aː k a	2382	423	Michael2022	C V C V C V
4669	Zaparo	blood	nanaka	nanaka	n a n a k a	None	Zaparoan	n a n a k a	2382	423	Beier2014	C V C V C V
767	WitotoMinica	blood	dɯ́e	dɯ́e	d ɯ + e	None	Huitotoan	d ɯ + e	2391	424 2240	Huber2021	C V + V
984	WitotoMurui	blood	dɯe	dɯe	d ɯ + e	According to Wotjylak (2017), seems to be a Tucanoan borrowing (dii).	Huitotoan	d ɯ + e	2391	424 2240	Huber2021	C V + V
1193	WitotoNipode	blood	dɯ́e	dɯ́e	d ɯ + e	None	Huitotoan	d ɯ + e	2391	424 2240	Huber2021	C V + V
2745	AchuarShiwiar	blood	númpa	númpa	n u m p a	None	Chicham	n u m p a	2374	422	Fast2008	C V C C V
1396	Aguaruna	blood	numpa	numpa	n ʊ m p a	None	Chicham	n ʊ m p a	2374	422	Johansson2021	C V C C V
3554	Shuar	blood	numpa	numpa	n u m p a	None	Chicham	n u m p a	2374	422	Pellizzaro2005	C V C C V
