ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
454	Ocaina	all (of a number)	hã́tiʔ	hã́tiʔ	h a + t i ʔ	None	Huitotoan	h a + t i.ʔ	3112	525 2402	Huber2021	3 7 9 1 7 1	AX_AXN	HA_TIH	16	16.H.C 16.A.V 16._._ 16.T.C 16.I.V 16.H.c	2.0 1.5 0.0 2.0 1.5 0.8	ha+tiʔ	0
657	Resigaro	all (of a number)	pʰéʔtóʔ	pʰéʔtóʔ	pʰ e ʔ + t o ʔ	None	Arawakan	pʰ e.ʔ + t o ʔ	1991	37 45	Huber2021	1 7 1 9 1 7 1	AXN_AXN	PEH_TUH	20	20.P.C 20.E.V 20.H.c 20._._ 20.T.C 20.U.V 20.H.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	pʰeʔ+toʔ	0
845	WitotoMinica	all (of a number)	nána	nána	n a n a	None	Huitotoan	n a n a	2952	50	Huber2021	4 7 4 7	AXBZ	NANA	29	29.N.C 29.A.V 29.N.C 29.A.V	2.0 1.5 1.75 0.8	nana	0
1061	WitotoMurui	all (of a number)	nana	nana	n a n a	None	Huitotoan	n a n a	2952	50	Huber2021	4 7 4 7	AXBZ	NANA	30	30.N.C 30.A.V 30.N.C 30.A.V	2.0 1.5 1.75 0.8	nana	0
1267	WitotoNipode	all (of a number)	nána	nána	n a n a	None	Huitotoan	n a n a	2952	50	Huber2021	4 7 4 7	AXBZ	NANA	31	31.N.C 31.A.V 31.N.C 31.A.V	2.0 1.5 1.75 0.8	nana	0
1384	Aguaruna	all (of a number)	aʃi	aʃi	a ʃ i	None	Chicham	- a ʃ i	1851	35	Johansson2021	7 3 7	XBZ	ASI	2	2.A.V 2.S.C 2.I.V	1.5 1.75 0.8	aʃi	0
1523	Arabela	all (of a number)	puetunuj̃uanaa	puetunuj̃uanaa	p u ɨ t u n u h u a n aː	None	Zaparoan	p u ɨ t u n u h u a n aː	1920	36	Johansson2021	1 7 7 1 7 4 7 3 7 7 4 7	AXYBYBYBYYBZ	PYITYNYHYANA	4	4.P.C 4.Y.V 4.I.V 4.T.C 4.Y.V 4.N.C 4.Y.V 4.H.C 4.Y.V 4.A.V 4.N.C 4.A.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	puɨtunuhuanaː	0
1658	Candoshi-Shapra	all (of a number)	itʃiŋkoɾo	itʃiŋkoɾo	i tʃ i ⁿk o ɾ o	None	Isolate	i tʃ i ⁿk o ɾ o	2216	40	Johansson2021	7 1 7 1 7 5 7	XBYBYBZ	ITIKURU	6	6.I.V 6.T.C 6.I.V 6.K.C 6.U.V 6.R.C 6.U.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	itʃiⁿkoɾo	0
1769	Chayahuita	all (of a number)	yaʔipi	yaʔipi	j a ʔ i p i	None	Cahuapanan	j a ʔ i p i	2362	42	Johansson2021	6 7 1 7 1 7	AXBYBZ	JAHIPI	8	8.J.C 8.A.V 8.H.C 8.I.V 8.P.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	jaʔipi	0
2017	Taushiro	all (of a number)	awun	awun	a w u n	None	Isolate	a w u n	2756	47	Johansson2021	7 6 7 4	XBYN	AWYN	23	23.A.V 23.W.C 23.Y.V 23.N.c	1.5 1.75 1.3 0.8	awun	0
2128	Waorani	all (of a number)	tõbãdãdi	tõbãdãdi	t o b a d a d i	None	Isolate	t o b a d a d i	2896	49	Johansson2021	1 7 1 7 1 7 1 7	AXBYBYBZ	TUPATATI	28	28.T.C 28.U.V 28.P.C 28.A.V 28.T.C 28.A.V 28.T.C 28.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tobadadi	0
2465	Proto-Bora-Muinane	all (of a number)	pa-no	pa-no	p a + n o	None	Boran	p a + n o	1989	37 38	Seifart2024	1 7 9 4 7	AX_AX	PA_NU	19	19.P.C 19.A.V 19._._ 19.N.C 19.U.V	2.0 1.5 0.0 2.0 1.5	pa+no	0
2466	Bora	all (of a number)	pʰá-neé-re	pʰá-neé-re	pʰ a + n ɛː + ɾ ɛ	None	Boran	pʰ a + n ɛː + ɾ ɛ	1990	37 38 39	Seifart2024	1 7 9 4 7 9 5 7	AX_AX_AX	PA_NE_RE	5	5.P.C 5.A.V 5._._ 5.N.C 5.E.V 5._._ 5.R.C 5.E.V	2.0 1.5 0.0 2.0 1.5 0.0 2.0 1.5	pʰa+nɛː+ɾɛ	0
2467	Muinane	all (of a number)	ɸáá-no	ɸáá-no	ɸ aː + n o	None	Boran	ɸ aː + n o	1989	37 38	Seifart2024	3 7 9 4 7	AX_AX	BA_NU	14	14.B.C 14.A.V 14._._ 14.N.C 14.U.V	2.0 1.5 0.0 2.0 1.5	ɸaː+no	0
2731	AchuarShiwiar	all (of a number)	ashí	ashí	a ʃ i	From the examples seems that this is the least used form: mash	Chicham	- a ʃ i	1851	35	Fast2008	7 3 7	XBZ	ASI	1	1.A.V 1.S.C 1.I.V	1.5 1.75 0.8	aʃi	0
2962	Canichana	all (of a number)	mata	mata	m a t a	None	Isolate	m a t a	2298	41	Crevels2012	4 7 1 7	AXBZ	MATA	7	7.M.C 7.A.V 7.T.C 7.A.V	2.0 1.5 1.75 0.8	mata	0
3361	Shiwilu	all (of a number)	iñer'	iñer'	i ɲ ə ˀr	None	Cahuapanan	i ɲ ə ˀr	2684	46	Valenzuela2012	7 4 7 5	XBYN	INER	21	21.I.V 21.N.C 21.E.V 21.R.c	1.5 1.75 1.3 0.8	iɲəˀr	0
3539	Shuar	all (of a number)	másh’,mashi	másh’	m a ʃˀ	None	Chicham	m a ʃˀ -	1851	35	Pellizzaro2005	4 7 3	AXN	MAS	22	22.M.C 22.A.V 22.S.c	2.0 1.5 0.8	maʃˀ	0
3540	Shuar	all (of a number)	másh’,mashi	mashi	m a ʃ i	None	Chicham	m a ʃ i	1851	35	Pellizzaro2005	4 7 3 7	AXBZ	MASI	22	22.M.C 22.A.V 22.S.C 22.I.V	2.0 1.5 1.75 0.8	maʃi	0
3980	Urarina	all (of a number)	s̪at̪ĩ́ĩ́	s̪at̪ĩ́ĩ́	s a t i i	lexicalizado de sa 'fin' + -ti 'intensificador' + -i 'nominalizador'	Isolate	s a t i i	2823	48	Peña2023	3 7 1 7 7	AXBYZ	SATII	26	26.S.C 26.A.V 26.T.C 26.I.V 26.I.V	2.0 1.5 1.75 1.3 0.8	satii	0
4072	Wampis	all (of a number)	ashi	ashi	a ʃ i	None	Chicham	- a ʃ i	1851	35	Peña2023	7 3 7	XBZ	ASI	27	27.A.V 27.S.C 27.I.V	1.5 1.75 0.8	aʃi	0
4646	Yanesha	all (of a number)	aʎowenet	aʎowenet	a ʎ o w e n e t	None	Arawakan	a ʎ o w e n e t	3009	51	Peña2024	7 5 7 6 7 4 7 1	XBYBYBYN	ALUWENET	34	34.A.V 34.L.C 34.U.V 34.W.C 34.E.V 34.N.C 34.E.V 34.T.c	1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	aʎowenet	0
4659	Zaparo	all (of a number)	kawiryaha	kawiryaha	k a w i rʲ a h a	None	Zaparoan	k a w i rʲ a h a	3072	52	Beier2014	1 7 6 7 5 7 3 7	AXBYBYBZ	KAWIRAHA	35	35.K.C 35.A.V 35.W.C 35.I.V 35.R.C 35.A.V 35.H.C 35.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	kawirʲaha	0
2	Iquito	and	músati	músati	m u s a t i	and	Zaparoan	m u s a t i	3391	67	Michael2022	4 7 3 7 1 7	AXBYBZ	MYSATI	11	11.M.C 11.Y.V 11.S.C 11.A.V 11.T.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	musati	0
195	Ticuna	and	ka̰	ka̰	k a	and	Ticuna-Yuri	k a	3408	70	Bertet2020	1 7	AX	KA	25	25.K.C 25.A.V	2.0 1.5	ka	0
196	Ticuna	and	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	ñṵã́chi̋	ɲ u + a tɕ i	and	Ticuna-Yuri	ɲ u + a tɕ i	3406	69 762	Bertet2020	4 7 9 7 2 7	AX_XBZ	NY_ACI	25	25.N.C 25.Y.V 25._._ 25.A.V 25.C.C 25.I.V	2.0 1.5 0.0 1.5 1.75 0.8	ɲu+atɕi	0
197	Ticuna	and	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	rṵ̈ã́chi̋	ɾ ɯ + a tɕ i	and	Ticuna-Yuri	ɾ ɯ + a tɕ i	3406	69 762	Bertet2020	5 7 9 7 2 7	AX_XBZ	RI_ACI	25	25.R.C 25.I.V 25._._ 25.A.V 25.C.C 25.I.V	2.0 1.5 0.0 1.5 1.75 0.8	ɾɯ+atɕi	0
198	Ticuna	and	ñṵã́chi̋∼ rṵ̈ã́chi̋∼ chi̋	chi̋	tɕ i	and	Ticuna-Yuri	- tɕ i	3462	762	Bertet2020	2 7	AX	CI	25	25.C.C 25.I.V	2.0 1.5	tɕi	0
199	Ticuna	and	rǜ(∼ dǜ)	rǜ	ɾ ɯ	and	Ticuna-Yuri	ɾ ɯ	3405	69	Bertet2020	5 7	AX	RI	25	25.R.C 25.I.V	2.0 1.5	ɾɯ	0
2732	AchuarShiwiar	and	túrua	túrua	t u r u a	Because of order of the entries: túra	Chicham	t u r u.a	3381	66	Fast2008	1 7 5 7 7	AXBYZ	TYRYA	1	1.T.C 1.Y.V 1.R.C 1.Y.V 1.A.V	2.0 1.5 1.75 1.3 0.8	turua	0
3362	Shiwilu	and	=lek	=lek	l ə ˀk	None	Cahuapanan	l ə ˀk	3396	68	Valenzuela2012	5 7 1	AXN	LEK	21	21.L.C 21.E.V 21.K.c	2.0 1.5 0.8	ləˀk	0
3541	Shuar	and	-sha	-sha	ʃ a	-sha es un aditivo, la forma tura también existe en shuar	Chicham	ʃ a	3461	761	Pellizzaro2005	3 7	AX	SA	22	22.S.C 22.A.V	2.0 1.5	ʃa	0
4024	Urarina	and	ʧããẽ́	ʧããẽ́	tʃ a a e	None	Isolate	tʃ a a e	3419	71	Peña2023	1 7 7 7	AXYZ	TAAE	26	26.T.C 26.A.V 26.A.V 26.E.V	2.0 1.5 1.3 0.8	tʃaae	0
4248	Wampis	and	tura	tura	t u r a	None	Chicham	t u r a	3381	66	Peña2023	1 7 5 7	AXBZ	TYRA	27	27.T.C 27.Y.V 27.R.C 27.A.V	2.0 1.5 1.75 0.8	tura	0
4435	Yagua	and	chi	chi	ʃ i	None	Peba-Yagua	ʃ i	3430	72	Gonzales2023	3 7	AX	SI	32	32.S.C 32.I.V	2.0 1.5	ʃi	0
4654	Yanesha	and	ɲamʲa	ɲamʲa	ɲ a mʲ a	None	Arawakan	ɲ a mʲ a	3435	73	Peña2024	4 7 4 7	AXBZ	NAMA	34	34.N.C 34.A.V 34.M.C 34.A.V	2.0 1.5 1.75 0.8	ɲamʲa	0
3	Iquito	animal	tasiitáani	tasiitáani	t a s iː t aː n i	animal	Zaparoan	t a s iː t aː n i	3541	86	Michael2022	1 7 3 7 1 7 4 7	AXBYBYBZ	TASITANI	11	11.T.C 11.A.V 11.S.C 11.I.V 11.T.C 11.A.V 11.N.C 11.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tasiːtaːni	0
200	Ticuna	animal	-ēʼü̃̀	-ēʼü̃̀	e ʔ ɯ	[+tr.] animal	Ticuna-Yuri	e ʔ ɯ	3575	90	Bertet2020	7 1 7	XBZ	EHI	25	25.E.V 25.H.C 25.I.V	1.5 1.75 0.8	eʔɯ	0
1385	Aguaruna	animal	kuntin	kuntin	k ʊ n t i n	None	Chicham	k ʊ n t i n	3505	82	Johansson2021	1 7 4 1 7 4	AXMBYN	KYNTIN	2	2.K.C 2.Y.V 2.N.c 2.T.C 2.I.V 2.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kʊntin	0
1524	Arabela	animal	kasaa	kasaa	k a s aː	None	Zaparoan	k a s aː	3513	83	Johansson2021	1 7 3 7	AXBZ	KASA	4	4.K.C 4.A.V 4.S.C 4.A.V	2.0 1.5 1.75 0.8	kasaː	0
1770	Chayahuita	animal	maʔʃa	maʔʃa	m a ʔ ʃ a	Maybe related in some way to Arawakan /maʔjaz/ 'puma' as a wanderwort	Cahuapanan	m a ʔ ʃ a	3522	84	Johansson2021	4 7 1 3 7	AXBCZ	MAHSA	8	8.M.C 8.A.V 8.H.C 8.S.C 8.A.V	2.0 1.5 1.75 1.5 0.8	maʔʃa	0
2018	Taushiro	animal	nijiʔi	nijiʔi	n i j i ʔ i	None	Isolate	n i j i ʔ i	3567	89	Johansson2021	4 7 6 7 1 7	AXBYBZ	NIJIHI	23	23.N.C 23.I.V 23.J.C 23.I.V 23.H.C 23.I.V	2.0 1.5 1.75 1.3 1.75 0.8	nijiʔi	0
2129	Waorani	animal	kæ̃dĩgã	kæ̃dĩgã	k æ d i g a	None	Isolate	k æ d i g a	3591	92	Johansson2021	1 7 1 7 1 7	AXBYBZ	KETIKA	28	28.K.C 28.E.V 28.T.C 28.I.V 28.K.C 28.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kædiga	0
2733	AchuarShiwiar	animal	ikiámia páchim	ikiámia páchim	i kʲ a mʲ a + p a tʃ i m	wild animal	Chicham	i kʲ a mʲ a + p a tʃ i m	3488	80 81	Fast2008	7 1 7 4 7 9 1 7 1 7 4	XBYBZ_AXBYN	IKAMA_PATIM	1	1.I.V 1.K.C 1.A.V 1.M.C 1.A.V 1._._ 1.P.C 1.A.V 1.T.C 1.I.V 1.M.c	1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 1.3 0.8	ikʲamʲa+patʃim	0
2734	AchuarShiwiar	animal	tángku	tángku	t !á/a ŋ k u	domesticated animal	Chicham	t !á/a ŋ k u	3546	87	Fast2008	1 7 4 1 7	AXMBZ	TANKY	1	1.T.C 1.A.V 1.N.c 1.K.C 1.Y.V	2.0 1.5 1.1 1.75 0.8	t!á/aŋku	0
3200	Coeruna	animal	tschoaimá	tschoaimá	dʒ o a i m a	Martius: animal	Huitotoan	dʒ o a i m a	3532	85	Martius1867	1 7 7 7 4 7	AXYYBZ	TUAIMA	10	10.T.C 10.U.V 10.A.V 10.I.V 10.M.C 10.A.V	2.0 1.5 1.3 1.3 1.75 0.8	dʒoaima	0
3297	MiranhaCarapana-Tapuya	animal	thücke	thücke	t ɨ k e	Martius: animal	Huitotoan	t ɨ - k e	3546	87	Martius1867	1 7 1 7	AXBZ	TIKE	13	13.T.C 13.I.V 13.K.C 13.E.V	2.0 1.5 1.75 0.8	tɨke	0
3363	Shiwilu	animal	añimer	añimer	a ɲ i m ə ɾ	Spanish	Cahuapanan	a ɲ i m ə ɾ	3556	88	Valenzuela2012	7 4 7 4 7 5	XBYBYN	ANIMER	21	21.A.V 21.N.C 21.I.V 21.M.C 21.E.V 21.R.c	1.5 1.75 1.3 1.75 1.3 0.8	aɲiməɾ	0
3542	Shuar	animal	tanku	tanku	t a ŋ k u	animal doméstico	Chicham	t a ŋ k u	3546	87	Pellizzaro2005	1 7 4 1 7	AXMBZ	TANKY	22	22.T.C 22.A.V 22.N.c 22.K.C 22.Y.V	2.0 1.5 1.1 1.75 0.8	taŋku	0
4047	Urarina	animal	t̪aibin̪ããẽ́	t̪aibin̪ããẽ́	t a i b i n a a e	None	Isolate	t a i b i n a a e	3584	91	Peña2023	1 7 7 1 7 4 7 7 7	AXYBYBYYZ	TAIPINAAE	26	26.T.C 26.A.V 26.I.V 26.P.C 26.I.V 26.N.C 26.A.V 26.A.V 26.E.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.3 0.8	taibinaae	0
4100	Wampis	animal	kuntin	kuntin	k u n t i n	None	Chicham	k u n t i n	3505	82	Peña2023	1 7 4 1 7 4	AXMBYN	KYNTIN	27	27.K.C 27.Y.V 27.N.c 27.T.C 27.I.V 27.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kuntin	0
4252	Yagua	animal	jawada	jawada	h a w a d a	None	Peba-Yagua	h a w a d a	3600	93	Gonzales2023	3 7 6 7 1 7	AXBYBZ	HAWATA	32	32.H.C 32.A.V 32.W.C 32.A.V 32.T.C 32.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hawada	0
4439	Yanesha	animal	oʎwa	oʎwa	o ʎ w a	None	Arawakan	o ʎ w a	3614	94	Peña2024	7 5 6 7	XBCZ	ULWA	34	34.U.V 34.L.C 34.W.C 34.A.V	1.5 1.75 1.5 0.8	oʎwa	0
4832	Aguaruna	animal	tágku	tágku	t !á/a ŋ k u	None	Chicham	t !á/a ŋ k u	3546	87	Paati2020	1 7 4 1 7	AXMBZ	TANKY	2	2.T.C 2.A.V 2.N.c 2.K.C 2.Y.V	2.0 1.5 1.1 1.75 0.8	t!á/aŋku	0
4833	AchuarShiwiar	animal	kuntinʲ	kuntinʲ	k u n t i nʲ	None	Chicham	k u n t i nʲ	3505	82	Kohlberger2020	1 7 4 1 7 4	AXMBYN	KYNTIN	1	1.K.C 1.Y.V 1.N.c 1.T.C 1.I.V 1.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kuntinʲ	0
4834	Shuar	animal	kuntin	kuntin	k u n t i n	None	Chicham	k u n t i n	3505	82	Pellizzaro2005	1 7 4 1 7 4	AXMBYN	KYNTIN	22	22.K.C 22.Y.V 22.N.c 22.T.C 22.I.V 22.N.c	2.0 1.5 1.1 1.75 1.3 0.8	kuntin	0
4835	Wampis	animal	tanku	tanku	t a n k u	animal doméstico	Chicham	t a n k u	3546	87	Peña2015	1 7 4 1 7	AXMBZ	TANKY	27	27.T.C 27.A.V 27.N.c 27.K.C 27.Y.V	2.0 1.5 1.1 1.75 0.8	tanku	0
4	Iquito	ashes	pukiti	pukiti	p u k i t i	ash	Zaparoan	p u k i t i	59	107	Michael2022	1 7 1 7 1 7	AXBYBZ	PYKITI	11	11.P.C 11.Y.V 11.K.C 11.I.V 11.T.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	pukiti	0
363	Ocaina	ashes	oʔtiiʔi	oʔtiiʔi	o ʔ t iː ʔ i	None	Huitotoan	( o ʔ ) t iː ʔ i	20	102	Huber2021	7 1 1 7 1 7	XMBYBZ	UHTIHI	16	16.U.V 16.H.c 16.T.C 16.I.V 16.H.C 16.I.V	1.5 1.1 1.75 1.3 1.75 0.8	oʔtiːʔi	0
602	Resigaro	ashes	ókóniigiʤíhú	ókóniigiʤíhú	o k o n iː g i + dʒ i h u	None	Arawakan	o k o n iː g i + ( - - ) dʒ i h u	78	110 102	Huber2021	7 1 7 4 7 1 7 9 1 7 3 7	XBYBYBZ_AXBZ	UKUNIKI_TIHY	20	20.U.V 20.K.C 20.U.V 20.N.C 20.I.V 20.K.C 20.I.V 20._._ 20.T.C 20.I.V 20.H.C 20.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8 0.0 2.0 1.5 1.75 0.8	okoniːgi+dʒihu	0
782	WitotoMinica	ashes	híθeɸo	híθeɸo	h i θ e ɸ o	None	Huitotoan	h i θ e ɸ o	119	115	Huber2021	3 7 3 7 3 7	AXBYBZ	HIDEBU	29	29.H.C 29.I.V 29.D.C 29.E.V 29.B.C 29.U.V	2.0 1.5 1.75 1.3 1.75 0.8	hiθeɸo	0
