ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	FAMILY	COGID	COGIDS	MORPHEMES	BORROWING
652	WitotoMinica	fire	irai	irai	i !r/ɾ a i		Huitotoan	0			
869	WitotoMurui	fire	irai	irai	i r ai		Huitotoan	0			
1075	WitotoNipode	fire	iráikɯ	iráikɯ	i !r/ɾ !á/a i k ɯ		Huitotoan	0			
1424	Arabela	fire	mani	mani	m a n i		Zaparoan	0			
1551	Candoshi-Shapra	fire	somaasi	somaasi	s o m aː s i		Candoshi-Shapra	0			
1789	Muniche	fire	tʃusɨ	tʃusɨ	tʃ u s ɨ		Muniche	0			
1906	Taushiro	fire	hontoʔ	hontoʔ	h o n t o ʔ		Taushiro	0			
2011	Waorani	fire	gõga	gõga	g !õ/o g a		Waorani	0			
2164	Proto-Bora-Muinane	fire	kɨɨhɨ-gai	kɨɨhɨ-gai	k ɨ ɨ h ɨ + g a i			0			
2165	Bora	fire	kʰɯ́ɯ́hɯ-kʷa	kʰɯ́ɯ́hɯ-kʷa	kʰ !ɯ́/ɯ !ɯ́/ɯ h ɯ + kʷ a		Boran	0			
2166	Muinane	fire	kɨ́ɨhɨ-gai	kɨ́ɨhɨ-gai	k !ɨ́/ɨ ɨ h ɨ + g a i		Boran	0			
2608	AchuarShiwiar	fire	ji	ji	h i		Chicham	0			
2766	Andoa	fire	omaní	omaní	o m a n !í/i		Zaparoan	0			
2812	Canichana	fire	ni-chucu	ni-chucu	n i + tʃ u k u	ni = ABS	Canichana	0			
2931	Juri	fire	ji	ji	h i	Martius: ignis	Ticuna-Yuri	0			
2932	Juri	fire	yy	yy	j j	Martius: ignis	Ticuna-Yuri	0			
2933	Juri	fire	ii	ii	i i	Martius: ignis	Ticuna-Yuri	0			
3053	Coeruna	fire	aeithá	aeithá	a e i t !á/a	Martius: ignis	Huitotoan	0			
3103	Pebas	fire	feula	feula	f e u l a	Martius: ignis	Peba-Yagua	0			
3149	MiranhaCarapana-Tapuya	fire	thiíhtzĕhŏ	thiíhtzĕhŏ	t i !í/i ʔ dz !ĕ/e ʔ !ŏ/o	Martius: ignis	Huitotoan	0			
3233	Shiwilu	fire	pen	pen	pˀ ə n		Cahuapanan	0			
3411	Shuar	fire	ji	ji	h i		Chicham	0			
3556	Chibito	fire	olho' (utšj)	olho'	o l h o	Tessmann: Feuer	Hibito-Cholon	0			
3576	Omurano	fire	ínjo	ínjo	!í/i ɲ o	Tessmann: Feuer	Omurano	0			
3636	Tequiraca	fire	yaha̯ó̄n̊	yaha̯ó̄n̊	j a h !a̯/a !ó̄/o !n̊/n	Tessmann: Feuer	Aewa	0			
3648	Yameo	fire	ō̠lĕ̠	ō̠lĕ̠	!ō̠/o l !ĕ̠/e	Tessmann: Feuer	Peba-Yagua	0			
3704	Urarina	fire	iʰs̪í	iʰs̪í	!iʰ/i̤ s !̪í/i		Urarina	0			
4041	Wampis	fire	jii	jii	h i i		Chicham	0			
4137	Yagua	fire	jida	jida	h i d a		Peba-Yagua	0			
4340	Yanesha	fire	tsoˀ	tsoˀ	ts o ʔ		Arawakan	0			
51	Iquito	fish	paápaaraja	paápaaraja	p !aá/aː p aː r a h a	fish (general term)	Zaparoan	0			
259	Ocaina	fish	ĩhããm̥a	ĩhããm̥a	!ĩ/i h !ãã/aː m̥ a		Huitotoan	0			
489	Resigaro	fish	ámoogí	ámoogí	!á/a m oː g !í/i		Arawakan	0			
670	WitotoMinica	fish	ʤɯ́kɯaɯ	ʤɯ́kɯaɯ	dʒ !ɯ́/ɯ k ɯ a ɯ		Huitotoan	0			
888	WitotoMurui	fish	ʤɯkɯaɯ	ʤɯkɯaɯ	dʒ ɯ k ɯ aɯ		Huitotoan	0			
1094	WitotoNipode	fish	ahumado	ahumado	a h u m a d o		Huitotoan	0			
1095	WitotoNipode	fish	ʧámu	ʧámu	tʃ !á/a m u		Huitotoan	0			
1291	Aguaruna	fish	namak	namak	n a m a k		Chicham	0			
1425	Arabela	fish	sapitiaaj̃a	sapitiaaj̃a	s a p i t i aː !h̃/h a		Zaparoan	0			
1663	Chayahuita	fish	sami	sami	s a m i		Cahuapanan	0			
1790	Muniche	fish	ima	ima	i m a		Muniche	0			
2012	Waorani	fish	gæjæ	gæjæ	g æ j æ		Waorani	0			
2609	AchuarShiwiar	fish	namák	namák	n a m !á/a k		Chicham	0			
2767	Andoa	fish	imyáno	imyáno	i m j !á/a n o		Zaparoan	0			
2813	Canichana	fish	ni-cacu	ni-cacu	n i + k a k u	ni = ABS	Canichana	0			
2983	Juri	fish	oöó	oöó	o !ö/o !ó/o	Martius: piscis	Ticuna-Yuri	0			
3234	Shiwilu	fish	samer	samer	s a m ə ɾ		Cahuapanan	0			
3412	Shuar	fish	jarump’	jarump’	h a ɾ u m p i	Because of order of entries, here are the variants: kasur,kuserú	Chicham	0			
3600	Omurano	fish	mā́ma	mā́ma	m !ā́/a m a	Tessmann: Fisch	Omurano	0			
3675	Yameo	fish	amī́n̊	amī́n̊	a m !ī́/i !n̊/n	Tessmann: Fisch	Peba-Yagua	0			
3709	Urarina	fish	aʰt̪é	aʰt̪é	!aʰ/a̤ t !̪é/e		Urarina	0			
3932	Wampis	fish	namak	namak	n a m a k		Chicham	0			
4088	Yagua	fish	kïwa̠	kïwa̠	k !ï/i w !a̠/a		Peba-Yagua	0			
4265	Yanesha	fish	kak	kak	k a k		Arawakan	0			
282	Ocaina	five	tʲaʔɸɯ́ɯ́ɸoroʔ	tʲaʔɸɯ́ɯ́ɸoroʔ	tʲ a ʔ ɸ !ɯ́ɯ́/ɯː ɸ o r o ʔ		Huitotoan	0			
506	Resigaro	five	sáʔosí	sáʔosí	s !á/a ʔ o s !í/i		Arawakan	0			
690	WitotoMinica	five	hubekuiro	hubekuiro	h u b e k u i !r/ɾ o		Huitotoan	0			
907	WitotoMurui	five	dabekuiro	dabekuiro	d a b e k ui r o		Huitotoan	0			
1113	WitotoNipode	five	hubéba	hubéba	h u b !é/e b a		Huitotoan	0			
1664	Chayahuita	five	aʔnatɨɾapoʔ	aʔnatɨɾapoʔ	a ʔ n a t ɨ ɾ a p o ʔ		Cahuapanan	0			
1791	Muniche	five	tsaaʃowa	tsaaʃowa	ts a a ʃ o w a		Muniche	0			
1907	Taushiro	five	uʔkontawa	uʔkontawa	u ʔ k o n t a w a		Taushiro	0			
2233	Proto-Bora-Muinane	five	sa-ʔuʦʦe	sa-ʔuʦʦe	s a + ʔ u ts ts e			0			
2234	Bora	five	ʦʰá-ʔohʦʰɨ́	ʦʰá-ʔohʦʰɨ́	tsʰ !á/a + ʔ o h tsʰ !ɨ́/ɨ		Boran	0			
2235	Muinane	five	sa-ʔúse	sa-ʔúse	s a + ʔ !ú/u s e		Boran	0			
2610	AchuarShiwiar	five	jũ ũwé̃jka mash	jũ ũwé̃jka mash	h !ũ/u + !ũ/u w !é̃/ɨ h k a + m a ʃ		Chicham	0			
3024	Juri	five	ghomen-apa	ghomen-apa	g o m e n + a p a	Martius: 5	Ticuna-Yuri	0			
3025	Juri	five	ticomenáueba	ticomenáueba	t i c o m e n !á/a u e b a	Martius: 5	Ticuna-Yuri	0			
3026	Juri	five	wenóri	wenóri	w e n !ó/o ɾ i	Martius: 5	Ticuna-Yuri	0			
3124	Pebas	five	taonella	taonella	t a o n e ʎ a	Martius: 5	Peba-Yagua	0			
3190	MiranhaCarapana-Tapuya	five	jantzücka	jantzücka	h a n dz ɨ k a	Martius: 5	Huitotoan	0			
3235	Shiwilu	five	alei’teklun	alei’teklun	a l ə i ʔ tˀ ə k l u n		Cahuapanan	0			
3622	Omurano	five	or̥ar̥ápa	or̥ar̥ápa	o !r̥/r a !r̥/r !á/a p a	Tessmann: fünf	Omurano	0			
3701	Yameo	five	piški (Ket.)	piški	p i ʃ k i	Tessmann: fünf	Peba-Yagua	0			
3781	Urarina	five	s̪aukí	s̪aukí	s a u k !í/i		Urarina	0			
3912	Wampis	five	uwej amua	uwej amua	u w e h + a m u a		Chicham	0			
4250	Yagua	five	tadajyo	tadajyo	t a d a h j o		Peba-Yagua	0			
4465	Yanesha	five	amnar	amnar	a m n a ɾ		Arawakan	0			
55	Iquito	flower	itiyɨki	itiyɨki	i t i j ɨ k i	a flower	Zaparoan	0			
263	Ocaina	flower	tsĩ́ĩ́	tsĩ́ĩ́	ts !ĩ́ĩ́/iː		Huitotoan	0			
493	Resigaro	flower	giiβí	giiβí	g iː β !í/i		Arawakan	0			
674	WitotoMinica	flower	θáɸia	θáɸia	θ !á/a ɸ i a		Huitotoan	0			
892	WitotoMurui	flower	θaɸia	θaɸia	θ a ɸ i a		Huitotoan	0			
1099	WitotoNipode	flower	tápia	tápia	t !á/a p i a		Huitotoan	0			
1100	WitotoNipode	flower	múʤiaʤeba	múʤiaʤeba	m !ú/u dʒ i a dʒ e b a		Huitotoan	0			
1292	Aguaruna	flower	jagkug	jagkug	j a ŋ k ʊ ŋ		Chicham	0			
1426	Arabela	flower	ʃuu	ʃuu	ʃ uː		Zaparoan	0			
1552	Candoshi-Shapra	flower	tʃapo	tʃapo	tʃ a p o		Candoshi-Shapra	0			
1665	Chayahuita	flower	yanko	yanko	j a n k o		Cahuapanan	0			
1792	Muniche	flower	tʃatʃapɨʔɨ	tʃatʃapɨʔɨ	tʃ a tʃ a p ɨ ʔ ɨ		Muniche	0			
1908	Taushiro	flower	awanɨʔkɨ	awanɨʔkɨ	a w a n ɨ ʔ k ɨ		Taushiro	0			
2013	Waorani	flower	õgaĩ	õgaĩ	!õ/o g a !ĩ/i		Waorani	0			
2612	AchuarShiwiar	flower	yangkúr	yangkúr	j a ŋ k !ú/u r		Chicham	0			
2814	Canichana	flower	ni-platsu	ni-platsu	n i + p l a ts u	ni = ABS	Canichana	0			
2925	Juri	flower	noohwü	noohwü	n o o ʔ w ɨ	Martius: flos	Ticuna-Yuri	0			
3050	Coeruna	flower	aeeäé	aeeäé	a e e !ä/a !é/e	Martius: flos	Huitotoan	0			
3099	Pebas	flower	susaman	susaman	s u s a m a n	Martius: flos	Peba-Yagua	0			
3146	MiranhaCarapana-Tapuya	flower	nahiúma	nahiúma	n a ʔ i !ú/u m a	Martius: flos	Huitotoan	0			
3237	Shiwilu	flower	danku	danku	ð a n g u		Cahuapanan	0			
3415	Shuar	flower	yankuj’	yankuj’	j a ŋ k u h i		Chicham	0			
3685	Yameo	flower	sisắ	sisắ	s i s !ắ/a	Tessmann: Blume	Peba-Yagua	0			
3798	Urarina	flower	ɨhɨɰan̪ẽ́	ɨhɨɰan̪ẽ́	ɨ h ɨ ɰ a n !̪ẽ́/e		Urarina	0			
3945	Wampis	flower	yankur	yankur	j a n k u r		Chicham	0			
4127	Yagua	flower	rabï	rabï	r a b !ï/i		Peba-Yagua	0			
4319	Yanesha	flower	ɾoɾ	ɾoɾ	ɾ o ɾ		Arawakan	0			
4512	Zaparo	flower	nukawiku	nukawiku	n u k a w i k u		Zaparoan	0			
57	Iquito	fog	panakaja	panakaja	p a n a k a h a	mist or falling damp	Zaparoan	0			
563	Resigaro	fog	iítsʰú	iítsʰú	!ií/iː tsʰ !ú/u		Arawakan	0			
767	WitotoMinica	fog	róʤi	róʤi	!r/ɾ !ó/o dʒ i		Huitotoan	0			
768	WitotoMinica	fog	róθi	róθi	!r/ɾ !ó/o θ i		Huitotoan	0			
769	WitotoMinica	fog	úiʤɯe	úiʤɯe	!ú/u i dʒ ɯ e		Huitotoan	0			
977	WitotoMurui	fog	hɯʤerue	hɯʤerue	h ɯ dʒ e r u e		Huitotoan	0			
978	WitotoMurui	fog	uiʤɯe	uiʤɯe	ui dʒ ɯ e		Huitotoan	0			
1182	WitotoNipode	fog	úɯʤɯe	úɯʤɯe	!ú/u ɯ dʒ ɯ e		Huitotoan	0			
2406	Proto-Bora-Muinane	fog	tʦu-	tʦu-	t ts u			0			
2407	Bora	fog	ohʦʰó	ohʦʰó	o h tsʰ !ó/o		Boran	0			
2408	Muinane	fog	súɨ	súɨ	s !ú/u ɨ		Boran	0			
2614	AchuarShiwiar	fog	yurángkim	yurángkim	j u r !á/a ŋ k i m		Chicham	0			
3417	Shuar	fog	yuránkim	yuránkim	j u ɾ !á/a ŋ k i m		Chicham	0			
3822	Urarina	fog	n̪ũʰkuʷen̪ã́	n̪ũʰkuʷen̪ã́	n !̪ũʰ/ṳ k !uʷ/u e n !̪ã́/a		Urarina	0			
4037	Wampis	fog	yurankim	yurankim	j u r a n k i m		Chicham	0			
4146	Yagua	fog	ririjurya	ririjurya	r i r i h u rʲ a		Peba-Yagua	0			
4349	Yanesha	fog	oʰsaːɾets	oʰsaːɾets	o h s aː ɾ e ts		Arawakan	0			
58	Iquito	foot	tiitiwa	tiitiwa	t iː t i w a	foot (plural)	Zaparoan	0			
210	Ocaina	foot	ɯʔjóó	ɯʔjóó	ɯ ʔ j !óó/oː		Huitotoan	0			
211	Ocaina	foot	ɯʔjóóga	ɯʔjóóga	ɯ ʔ j !óó/oː g a		Huitotoan	0			
459	Resigaro	foot	hiiʔpú	hiiʔpú	h iː ʔ p !ú/u		Arawakan	0			
636	WitotoMinica	foot	éɯba	éɯba	!é/e ɯ b a		Huitotoan	0			
853	WitotoMurui	foot	eɯʤɯ	eɯʤɯ	e ɯ dʒ ɯ		Huitotoan	0			
1062	WitotoNipode	foot	eɯ́ba	eɯ́ba	e !ɯ́/ɯ b a		Huitotoan	0			
1294	Aguaruna	foot	dawɨ	dawɨ	d a w ɨ		Chicham	0			
1428	Arabela	foot	niowaka	niowaka	n i o w a k a		Zaparoan	0			
1554	Candoshi-Shapra	foot	kotsitʃ	kotsitʃ	k o ts i tʃ		Candoshi-Shapra	0			
1667	Chayahuita	foot	nantɨʔ	nantɨʔ	n a n t ɨ ʔ		Cahuapanan	0			
1794	Muniche	foot	htatɨnɨ	htatɨnɨ	h t a t ɨ n ɨ		Muniche	0			
2015	Waorani	foot	õdõwa	õdõwa	!õ/o d !õ/o w a		Waorani	0			
2123	Proto-Bora-Muinane	foot	ttɨʔaai	ttɨʔaai	t t ɨ ʔ a a i			0			
2124	Bora	foot	htʰɯ́-ʔaá	htʰɯ́-ʔaá	h tʰ !ɯ́/ɯ + ʔ a !á/a		Boran	0			
2125	Muinane	foot	tɨ́-ʔai	tɨ́-ʔai	t !ɨ́/ɨ + ʔ a i		Boran	0			
2615	AchuarShiwiar	foot	náwẽ	náwẽ	n !á/a w !ẽ/ɨ		Chicham	0			
2815	Canichana	foot	eu-axts	eu-axts	e u + a h ts	eu = 1SG	Canichana	0			
2980	Juri	foot	tschu-óti	tschu-óti	dʒ u + !ó/o t i	Martius: pes	Ticuna-Yuri	0			
2981	Juri	foot	su-uty	su-uty	s u + u tʲ	Martius: pes	Ticuna-Yuri	0			
2982	Juri	foot	(tscho) u-óti	u-óti	u + !ó/o t i	Martius: pes	Ticuna-Yuri	0			
3073	Coeruna	foot	coëráhe	coëráhe	k o !ë/e ɾ !á/a ʔ e	Martius: pes, pedis	Huitotoan	0			
3114	Pebas	foot	vinimotay	vinimotay	v i n i m o t a j	Martius: pes	Peba-Yagua	0			
3170	MiranhaCarapana-Tapuya	foot	coitébo	coitébo	k o i t !é/e b o	Martius: pes, pedis	Huitotoan	0			
3239	Shiwilu	foot	lantek	lantek	l a n d ə ˀk		Cahuapanan	0			
3418	Shuar	foot	nawe	nawe	n a w ɨ		Chicham	0			
3594	Omurano	foot	analṓ̠tθi	analṓ̠tθi	a n a l !ṓ̠/o t θ i	Tessmann: Fuß	Omurano	0			
3667	Yameo	foot	erē̠šamtínjo̯	erē̠šamtínjo̯	e r !ē̠/e ʃ a m t !í/i ɲ !o̯/o	Tessmann: Fuß	Peba-Yagua	0			
3743	Urarina	foot	t̪ihiá	t̪ihiá	t i h i !á/a		Urarina	0			
3964	Wampis	foot	nawe	nawe	n a w e		Chicham	0			
4111	Yagua	foot	sanumutu	sanumutu	s a n u m u t u		Peba-Yagua	0			
4296	Yanesha	foot	tekat͡s patek	tekat͡s patek	t e k a ts + p a t e k		Arawakan	0			
4514	Zaparo	foot	inyawka	inyawka	i ɲ au k a		Zaparoan	0			
60	Iquito	four	suwaramaajɨtáami	suwaramaajɨtáami	s u w a r a m aː h ɨ t !áa/aː m i	four	Zaparoan	0			
281	Ocaina	four	nahɯ̃ʔxanó	nahɯ̃ʔxanó	n a h !ɯ̃/ɯ ʔ x a n !ó/o		Huitotoan	0			
505	Resigaro	four	poʔtsááβágaahí	poʔtsááβágaahí	p o ʔ td !áá/aː β !á/a g aː h !í/i		Arawakan	0			
688	WitotoMinica	four	naga ámade	naga ámade	n a g a + !á/a m a d e		Huitotoan	0			
689	WitotoMinica	four	ɸɯ́goménariede	ɸɯ́goménariede	ɸ !ɯ́/ɯ g o m !é/e n a !r/ɾ i e d e		Huitotoan	0			
906	WitotoMurui	four	naga amaga	naga amaga	n a g a + a m a g a		Huitotoan	0			
1112	WitotoNipode	four	pɯgoménarie	pɯgoménarie	p ɯ g o m !é/e n a !r/ɾ i e		Huitotoan	0			
1555	Candoshi-Shapra	four	iponponaɾo	iponponaɾo	i p o n p o n a ɾ o		Candoshi-Shapra	0			
1668	Chayahuita	four	katapini	katapini	k a t a p i n i		Cahuapanan	0			
1795	Muniche	four	tsaʔfa	tsaʔfa	ts a ʔ f a		Muniche	0			
1909	Taushiro	four	nɨʔkɨnɨnɨ	nɨʔkɨnɨnɨ	n ɨ ʔ k ɨ n ɨ n ɨ		Taushiro	0			
2616	AchuarShiwiar	four	chintúk chintúk	chintúk chintúk	tʃ i n t !ú/u k + tʃ i n t !ú/u k		Chicham	0			
3021	Juri	four	tariooma	tariooma	t a ɾ i o o m a	Martius: 4	Ticuna-Yuri	0			
3022	Juri	four	tărăaóba	tărăaóba	t !ă/a ɾ !ă/a a !ó/o b a	Martius: 4	Ticuna-Yuri	0			
3023	Juri	four	cominó púh	cominó púh	c o m i n !ó/o + p !ú/u ʔ	Martius: 4	Ticuna-Yuri	0			
3123	Pebas	four	namerayo	namerayo	n a m e ɾ a j o	Martius: 4	Peba-Yagua	0			
3189	MiranhaCarapana-Tapuya	four	zahihnwá	zahihnwá	z a ʔ i ʔ n w !á/a	Martius: 4	Huitotoan	0			
3240	Shiwilu	four	ínkatu’	ínkatu’	!í/i n g a t u ʔ		Cahuapanan	0			
3419	Shuar	four	aíntiuk	aíntiuk	a !í/i n t i u k		Chicham	0			
3621	Omurano	four	natsononídza	natsononídza	n a ts o n o n !í/i dz a	Tessmann: vier	Omurano	0			
3700	Yameo	four	tšiúskō (Ket.)	tšiúskō	tʃ i !ú/u s k !ō/o	Tessmann: vier	Peba-Yagua	0			
3911	Wampis	four	aintuk aintuk	aintuk aintuk	a i n t u k + a i n t u k		Chicham	0			
4249	Yagua	four	darajuyu	darajuyu	d a r a h u j u		Peba-Yagua	0			
4464	Yanesha	four	paˀtats	paˀtats	p a ʔ t a ts		Arawakan	0			
62	Iquito	good	suwáani	suwáani	s u w !áa/aː n i	good	Zaparoan	0			
230	Ocaina	good	ɸṍhɯ̃	ɸṍhɯ̃	ɸ !ṍ/o h !ɯ̃/ɯ		Huitotoan	0			
517	Resigaro	good	kaʃóʔ	kaʃóʔ	k a ʃ !ó/o ʔ		Arawakan	0			
705	WitotoMinica	good	ɲúera	ɲúera	ɲ !ú/u e !r/ɾ a		Huitotoan	0			
921	WitotoMurui	good	mare	mare	m a r e		Huitotoan	0			
1127	WitotoNipode	good	ɲúera	ɲúera	ɲ !ú/u e !r/ɾ a		Huitotoan	0			
1296	Aguaruna	good	pɨgkɨg	pɨgkɨg	p ɨ ŋ k ɨ ŋ		Chicham	0			
1430	Arabela	good	maninia	maninia	m a n i n i a		Zaparoan	0			
1670	Chayahuita	good	noya	noya	n o j a		Cahuapanan	0			
1797	Muniche	good	tʃu	tʃu	tʃ u		Muniche	0			
1911	Taushiro	good	jaʔtuʔa	jaʔtuʔa	j a ʔ t u ʔ a		Taushiro	0			
2017	Waorani	good	wa	wa	w a		Waorani	0			
2264	Proto-Bora-Muinane	good	imi	imi	i m i			0			
2265	Bora	good	imí	imí	i m !í/i		Boran	0			
2266	Muinane	good	ími-no	ími-no	!í/i m i + n o		Boran	0			
2618	AchuarShiwiar	good	péngker	péngker	p !é/ɨ ŋ k ɨ r		Chicham	0			
2817	Canichana	good	ererets	ererets	e ɾ e ɾ e ts		Canichana	0			
3242	Shiwilu	good	makanka	makanka	m a k a n g a		Cahuapanan	0			
3422	Shuar	good	pénker	pénker	p !é/ɨ ŋ k ɨ ɾ		Chicham	0			
3623	Omurano	good	ni'manei	ni'manei	n i m a n e i	Tessmann: gut (?)	Omurano	0			
3713	Urarina	good	kawatʃá	kawatʃá	k a w a tʃ !á/a		Urarina	0			
4057	Wampis	good	penker	penker	p e n k e r		Chicham	0			
4232	Yagua	good	samïrya	samïrya	s a m !ï/i rʲ a		Peba-Yagua	0			
4445	Yanesha	good	kowen	kowen	k o w e n		Arawakan	0			
4516	Zaparo	good	wɨtsaka	wɨtsaka	w ɨ ts a k a		Zaparoan	0			
63	Iquito	grass	iyásììka	iyásììka	i j !á/a s !ìì/iː k a		Zaparoan	0			
272	Ocaina	grass	tʲohã́ã́	tʲohã́ã́	tʲ o h !ã́ã́/aː		Huitotoan	0			
273	Ocaina	grass	tʲohã́ã́hã	tʲohã́ã́hã	tʲ o h !ã́ã́/aː h !ã/a		Huitotoan	0			
498	Resigaro	grass	himiítsí	himiítsí	h i m !ií/iː td !í/i		Arawakan	0			
681	WitotoMinica	grass	ráitɯaɯ	ráitɯaɯ	!r/ɾ !á/a i t ɯ a ɯ		Huitotoan	0			
899	WitotoMurui	grass	raitɯkɯɲo	raitɯkɯɲo	r ai t ɯ k ɯ ɲ o		Huitotoan	0			
1106	WitotoNipode	grass	ráiɗɯaɯ	ráiɗɯaɯ	!r/ɾ !á/a i ɗ ɯ a ɯ		Huitotoan	0			
1297	Aguaruna	grass	dupa	dupa	d ʊ p a		Chicham	0			
1431	Arabela	grass	j̃ijasokwa	j̃ijasokwa	!h̃/h i h a s o k ua		Zaparoan	0			
1557	Candoshi-Shapra	grass	tʃiɾitʃiɾi	tʃiɾitʃiɾi	tʃ i ɾ i tʃ i ɾ i		Candoshi-Shapra	0			
1671	Chayahuita	grass	pakatɨɾoʔ	pakatɨɾoʔ	p a k a t ɨ ɾ o ʔ		Cahuapanan	0			
1798	Muniche	grass	mamça	mamça	m a m ç a		Muniche	0			
1912	Taushiro	grass	itʃuntuʔ	itʃuntuʔ	i tʃ u n t u ʔ		Taushiro	0			
2018	Waorani	grass	gagĩbæ̃	gagĩbæ̃	g a g !ĩ/i b !æ̃/æ		Waorani	0			
2221	Proto-Bora-Muinane	grass	ʦukkume-he	ʦukkume-he	ts u k k u m e + h e			0			
2222	Bora	grass	ʦʰóhkʰómɯ-hɨ	ʦʰóhkʰómɯ-hɨ	tsʰ !ó/o h kʰ !ó/o m ɯ + h ɨ		Boran	0			
2223	Muinane	grass	súkkume-he	súkkume-he	s !ú/u k k u m e + h e		Boran	0			
2619	AchuarShiwiar	grass	nupá̃ã	nupá̃ã	n u p !á̃ã/aː		Chicham	0			
2818	Canichana	grass	nim-hugu	nim-hugu	n i m + h u g u		Canichana	0			
2928	Juri	grass	pinóu	pinóu	p i n !ó/o u	Martius: gramen	Ticuna-Yuri	0			
3102	Pebas	grass	vashi	vashi	v a ʃ i	Martius: herba	Peba-Yagua	0			
3243	Shiwilu	grass	panpatek	panpatek	p a m b a tˀ ə k		Cahuapanan	0			
3423	Shuar	grass	saák’	saák’	s aː k i		Chicham	0			
3778	Urarina	grass	fʷas̪t̪ú	fʷas̪t̪ú	fʷ a s !̪t/t !̪ú/u		Urarina	0			
3946	Wampis	grass	nupa	nupa	n u p a		Chicham	0			
4268	Yanesha	grass	taˀteˀ	taˀteˀ	t a ʔ t e ʔ		Arawakan	0			
4517	Zaparo	grass	yawsuka	yawsuka	j au s u k a		Zaparoan	0			
64	Iquito	green	nɨyana	nɨyana	n ɨ j a n a	green	Zaparoan	0			
364	Ocaina	green	moxóóso	moxóóso	m o x !óó/oː s o		Huitotoan	0			
365	Ocaina	green	hiááʔo	hiááʔo	h i !áá/aː ʔ o		Huitotoan	0			
552	Resigaro	green	ipogíʔ	ipogíʔ	i p o g !í/i ʔ		Arawakan	0			
750	WitotoMinica	green	mókorede	mókorede	m !ó/o k o !r/ɾ e d e		Huitotoan	0			
963	WitotoMurui	green	mokorede	mokorede	m o k o r e d e		Huitotoan	0			
1169	WitotoNipode	green	mókorede	mókorede	m !ó/o k o !r/ɾ e d e		Huitotoan	0			
1299	Aguaruna	green	samɨkbau	samɨkbau	s a m ɨ k b oʊ		Chicham	0			
1433	Arabela	green	neeɾuuka	neeɾuuka	n eː ɾ uː k a		Zaparoan	0			
1558	Candoshi-Shapra	green	kawampana	kawampana	k a w a m p a n a		Candoshi-Shapra	0			
1673	Chayahuita	green	kaninton	kaninton	k a n i n t o n		Cahuapanan	0			
2020	Waorani	green	wĩjadæ̃	wĩjadæ̃	w !ĩ/i j a d !æ̃/æ		Waorani	0			
2382	Proto-Bora-Muinane	green	aittɨβa	aittɨβa	a i t t ɨ β a			0			
2383	Bora	green	ahtʰʲɯ́βa	ahtʰʲɯ́βa	a h tʰʲ !ɯ́/ɯ β a		Boran	0			
2384	Muinane	green	attʲɨ́βa-no	attʲɨ́βa-no	a t tʲ !ɨ́/ɨ β a + n o		Boran	0			
2620	AchuarShiwiar	green	wingkiá	wingkiá	v i ŋ kʲ a	dark green. Because of order of the entries, this seems to be a phonological variation: kingkiá	Chicham	0			
2621	AchuarShiwiar	green	samék	samék	s a m !é/ɨ k	light green	Chicham	0			
2819	Canichana	green	ni-cchacha	ni-cchacha	n i + k tʃ a tʃ a	ni = ABS	Canichana	0			
3010	Juri	green	tschúhmŏ	tschúhmŏ	dʒ !ú/u ʔ m !ŏ/o	Martius: viridis	Ticuna-Yuri	0			
3087	Coeruna	green	mockomö	mockomö	m o k o m !ö/o	Martius: viridis, e	Huitotoan	0			
3184	MiranhaCarapana-Tapuya	green	miringa	miringa	m i r i n g a	Martius: viridis	Huitotoan	0			
3244	Shiwilu	green	tankuwawamekpu’a’su’	tankuwawamekpu’a’su’	t a n g u w a w a m ə ˀk p u ʔ a ʔ s u ʔ		Cahuapanan	0			
3424	Shuar	green	sámek	sámek	s !á/a m ɨ k		Chicham	0			
3801	Urarina	green	beɾ̺aɨɾ̺isiiúhʷai	beɾ̺aɨɾ̺isiiúhʷai	b e ɾ a ɨ ɾ i s i i !ú/u hʷ a i		Urarina	0			
4047	Wampis	green	samek	samek	s a m e k		Chicham	0			
4229	Yagua	green	wasunu	wasunu	w a s u n u		Peba-Yagua	0			
4442	Yanesha	green	aspan	aspan	a s p a n		Arawakan	0			
4518	Zaparo	green	nɨɨka	nɨɨka	n ɨː k a		Zaparoan	0			
2622	AchuarShiwiar	guts	ampúj	ampúj	a m p !ú/u h		Chicham	0			
3245	Shiwilu	guts	dullin	dullin	ð u ʎ i n		Cahuapanan	0			
3425	Shuar	guts	ámpuje	ámpuje	!á/a m p u h ɨ		Chicham	0			
3969	Wampis	guts	ampuj	ampuj	a m p u h		Chicham	0			
4115	Yagua	guts	sikidi	sikidi	s i k i d i		Peba-Yagua	0			
4304	Yanesha	guts	pat͡ʃoret͡ʂ	pat͡ʃoret͡ʂ	p a tʃ o ɾ e tʂ		Arawakan	0			
4519	Zaparo	guts	maraka	maraka	m a r a k a		Zaparoan	0			
65	Iquito	hair	ririíkɨɨtáani	ririíkɨɨtáani	r i r !ií/iː k ɨː t !áa/aː n i	hair	Zaparoan	0			
1300	Aguaruna	hair	intaʃ	intaʃ	i n t a ʃ		Chicham	0			
1434	Arabela	hair	muesu	muesu	m u e s u		Zaparoan	0			
