Doculect A	Doculect B	Concept	Form A	Form B	Cogid	Distance from Identity Score	Levenshtein Distance	Bigram Distance	Trigram Distance	Combined Distance	Same Family?
Iquito	Iquito	few	h ɨː t i m i h aː r i k a	h ɨː t i p ɨ h aː r i k a	618	0.36	0.16666666666666666	0.16666666666666666	0.1282051282051282	0.20538461538461536	yes
Iquito	Iquito	few	h ɨː t i p ɨ h aː r i k a	h ɨː t i m i h aː r i k a	618	0.36	0.16666666666666666	0.16666666666666666	0.15384615384615383	0.21179487179487178	yes
Iquito	Zaparo	to float	i k a t aː n i	u k a n u	2392	0.64	0.5714285714285714	0.5714285714285714	0.5416666666666666	0.5811309523809524	yes
Iquito	Waorani	foot	t iː t i w a	o d o w a	740	0.72	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.6561904761904762	no
Iquito	Arabela	grass	i j a s iː k a	h i h a s o k ua	801	0.6	0.5	0.5	0.4444444444444444	0.5111111111111111	yes
Iquito	Zaparo	grass	i j a s iː k a	j au s u k a	801	0.6	0.42857142857142855	0.5	0.4166666666666667	0.4863095238095238	yes
Iquito	Zaparo	hand	k u r i k a	k u r u h a	874	0.52	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.36809523809523803	yes
Iquito	AchuarShiwiar	he	n u	n i	890	0.56	0.5	0.25	0.2222222222222222	0.3830555555555556	no
Iquito	Wampis	he	n u	n i	890	0.56	0.5	0.25	0.2222222222222222	0.3830555555555556	no
Iquito	Yagua	he	n u	n i	890	0.56	0.5	0.25	0.2222222222222222	0.3830555555555556	no
Iquito	Yanesha	he	n u	ɲ a	890	0.56	1.0	0.75	0.5555555555555555	0.7163888888888889	no
Iquito	Zaparo	he	n u	n au	890	0.48	0.5	0.25	0.2222222222222222	0.3630555555555556	yes
Iquito	Arabela	head	a n a k a	n a k a	902	0.64	0.2	0.3	0.2222222222222222	0.3405555555555556	yes
Iquito	Andoa	head	a n a k a	a n a k a	902	0.28	0.0	0.0	0.0	0.07	yes
Iquito	Zaparo	head	a n a k a	a n a k a	902	0.28	0.0	0.0	0.0	0.07	yes
Iquito	Arabela	to hear	t uː h iː n i	t o h i n i u	2447	0.64	0.42857142857142855	0.42857142857142855	0.41666666666666663	0.47845238095238096	yes
Iquito	Zaparo	to hear	t uː h iː n i	t a hʷ i ɲ u	2447	0.48	0.8333333333333334	0.75	0.619047619047619	0.6705952380952381	yes
Iquito	Arabela	heavy	iː n a n a	n iː k i a	944	0.64	0.6	0.6	0.38888888888888884	0.5572222222222222	yes
Iquito	Zaparo	heavy	iː n a n a	i ɲ a k a	944	0.52	0.6	0.6	0.5	0.555	yes
Iquito	Ocaina	I	k i	x o	2	0.6	1.0	0.75	0.5555555555555555	0.7263888888888889	no
Iquito	Ocaina	I	k i	x o ɯ	2	0.72	1.0	0.8333333333333334	0.6666666666666666	0.8049999999999999	no
Iquito	WitotoMinica	I	k i	k u e	2	0.72	0.6666666666666666	0.5	0.5	0.5966666666666667	no
Iquito	WitotoMurui	I	k i	k u e	2	0.72	0.6666666666666666	0.5	0.5	0.5966666666666667	no
Iquito	WitotoNipode	I	k i	k u e	2	0.72	0.6666666666666666	0.5	0.5	0.5966666666666667	no
Iquito	Arabela	I	k i	k ua	2	0.48	0.5	0.25	0.2222222222222222	0.3630555555555556	yes
Iquito	Chayahuita	I	k i	k a	2	0.56	0.5	0.25	0.2222222222222222	0.3830555555555556	no
Iquito	Andoa	I	k i	k i h a	2	0.64	0.5	0.5	0.4666666666666666	0.5266666666666667	yes
Iquito	MiranhaCarapana-Tapuya	I	k i	k u i	2	0.72	0.3333333333333333	0.5	0.41666666666666663	0.49249999999999994	no
Iquito	Shiwilu	I	k i	kʷ a	2	0.56	1.0	0.75	0.5555555555555555	0.7163888888888889	no
Iquito	Urarina	I	k i	k a n ɨ	2	0.72	0.75	0.625	0.5999999999999999	0.6737499999999998	no
Iquito	Zaparo	I	k i	kʷ i hʲ a	2	0.64	0.75	0.75	0.6666666666666666	0.7016666666666667	yes
Iquito	Proto-Bora-Muinane	in	h i n a	p a i n o	1028	0.76	0.6	0.5	0.5	0.59	no
Iquito	Bora	in	h i n a	pʰ a ɲ ɛ	1028	0.64	1.0	0.875	0.6666666666666666	0.7954166666666667	no
Iquito	Muinane	in	h i n a	ɸ a ɲ o	1028	0.6	1.0	0.875	0.6666666666666666	0.7854166666666667	no
Iquito	Zaparo	in	h i n a	h i ɲ a	1028	0.43999999999999995	0.25	0.25	0.2	0.285	yes
Iquito	Arabela	to kill	aː m uː n i	m o n u	2503	0.6799999999999999	0.6	0.6	0.5	0.595	yes
Iquito	Zaparo	to kill	aː m uː n i	a m u n u	2503	0.52	0.6	0.5	0.4444444444444444	0.5161111111111112	yes
Iquito	Yanesha	to laugh	s a t aː n i	tʃ e ʔ t e ɲ e ts	2538	0.72	0.875	0.8125	0.7407407407407408	0.7870601851851852	no
Iquito	Zaparo	to laugh	s a t aː n i	ts u t a n u	2538	0.52	0.6666666666666666	0.5833333333333334	0.47619047619047616	0.5615476190476191	yes
Iquito	Iquito	leaf	iː m ɨ	n aː m ɨ	1054	0.48	0.5	0.5	0.4666666666666667	0.4866666666666667	yes
Iquito	Andoa	leaf	iː m ɨ	n aː m e	1054	0.64	0.75	0.625	0.6	0.65375	yes
Iquito	Zaparo	leaf	iː m ɨ	u ɨ m ɨ	1054	0.64	0.5	0.5	0.4666666666666666	0.5266666666666667	yes
Iquito	Iquito	leaf	n aː m ɨ	iː m ɨ	1054	0.48	0.5	0.5	0.4666666666666667	0.4866666666666667	yes
Iquito	Andoa	leaf	n aː m ɨ	n aː m e	1054	0.48	0.25	0.125	0.13333333333333333	0.24708333333333332	yes
Iquito	Zaparo	leaf	n aː m ɨ	u ɨ m ɨ	1054	0.64	0.5	0.5	0.39999999999999997	0.51	yes
Iquito	Arabela	liver	k u w aː h a	k o w a h a	1111	0.48	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.358095238095238	yes
Iquito	Zaparo	liver	k u w aː h a	k a w a h a	1111	0.48	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.358095238095238	yes
Iquito	Zaparo	long	s aː n a	s aː k a	1131	0.52	0.25	0.25	0.2	0.305	yes
Iquito	Arabela	louse	s i kʷ a n a h a	s u k ua n a h a	1149	0.48	0.375	0.375	0.2962962962962963	0.38157407407407407	yes
Iquito	Andoa	louse	s i kʷ a n a h a	s o kʷ a n a h a	1149	0.48	0.125	0.125	0.1111111111111111	0.21027777777777779	yes
Iquito	Zaparo	louse	s i kʷ a n a h a	s u k a n a w a	1149	0.52	0.375	0.375	0.3333333333333333	0.4008333333333333	yes
Iquito	Zaparo	mouth	i t i p u m a	a t u p a m a	1254	0.43999999999999995	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.4076190476190476	yes
Iquito	Arabela	neck	r i k iː h a	ɾ i k i a	1326	0.64	0.5	0.5	0.47619047619047616	0.5290476190476191	yes
Iquito	Zaparo	neck	r i k iː h a	a r i tʃ a kʷ a	1326	0.64	0.5714285714285714	0.6428571428571429	0.5416666666666666	0.5989880952380952	yes
Iquito	Arabela	night	n iː n a k i	n i u k ua	1362	0.64	0.6666666666666666	0.5833333333333334	0.47619047619047616	0.5915476190476191	yes
Iquito	Zaparo	night	n iː n a k i	n i ɲ a	1362	0.64	0.6666666666666666	0.6666666666666666	0.5238095238095238	0.6242857142857142	yes
Iquito	Aguaruna	nose	n a h i k a	n ʊ h i	1379	0.72	0.5	0.5	0.47619047619047616	0.549047619047619	no
Iquito	Arabela	nose	n a h i k a	n a h a k ua	1379	0.48	0.3333333333333333	0.25	0.19047619047619047	0.3134523809523809	yes
Iquito	AchuarShiwiar	nose	n a h i k a	n u h i	1379	0.72	0.5	0.5	0.47619047619047616	0.549047619047619	no
Iquito	Andoa	nose	n a h i k a	n a h u kʷ a	1379	0.48	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.358095238095238	yes
Iquito	Shuar	nose	n a h i k a	n u h i	1379	0.72	0.5	0.5	0.47619047619047616	0.549047619047619	no
Iquito	Wampis	nose	n a h i k a	n u h i	1379	0.72	0.5	0.5	0.47619047619047616	0.549047619047619	no
Iquito	Zaparo	nose	n a h i k a	n a h u k a	1379	0.48	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.239047619047619	yes
Iquito	Zaparo	one	n uː k iː k a	n u k a k ɨ h a	1447	0.64	0.5	0.5625	0.48148148148148145	0.5459953703703704	yes
Iquito	Arabela	other	t aː n a	t a m a	1461	0.48	0.5	0.5	0.39999999999999997	0.47	yes
Iquito	Zaparo	other	t aː n a	t a k a	1461	0.52	0.5	0.5	0.39999999999999997	0.48	yes
Iquito	Zaparo	person	k aː j a	k a j a	1480	0.43999999999999995	0.25	0.25	0.2	0.285	yes
Iquito	Canichana	to rain	a n iː n i	n i n a	2606	0.72	0.6	0.6	0.4444444444444444	0.5911111111111111	no
Iquito	Arabela	root	a n i h a	n u h u a	1583	0.64	0.6	0.6	0.4444444444444445	0.5711111111111111	yes
Iquito	Andoa	salt	iː s a h a	i tʃ o h a	1636	0.52	0.6	0.6	0.4444444444444444	0.5411111111111111	yes
Iquito	Zaparo	salt	iː s a h a	i tʃ a hʷ a	1636	0.52	0.6	0.6	0.5	0.555	yes
Iquito	Urarina	say	a r iː n i	a i t u n a	1673	0.72	0.6666666666666666	0.5833333333333334	0.5238095238095238	0.623452380952381	no
Iquito	Yanesha	say	a r iː n i	o t e ɲ e ts	1673	0.72	1.0	0.9166666666666666	0.8095238095238095	0.861547619047619	no
Iquito	Zaparo	say	a r iː n i	a t i ɲ u	1673	0.52	0.8	0.7	0.5555555555555555	0.6438888888888888	yes
Iquito	Zaparo	to scratch (as with fingernails to relieve itch)	a r iː n i	a r i ʃ u n u	2625	0.64	0.5714285714285714	0.5	0.49999999999999994	0.5528571428571428	yes
Iquito	Arabela	see	n i k iː n i	n i k i n i u	1703	0.64	0.2857142857142857	0.2857142857142857	0.29166666666666663	0.37577380952380945	yes
Iquito	Zaparo	see	n i k iː n i	n u k i ɲ u	1703	0.48	0.6666666666666666	0.5833333333333334	0.4285714285714285	0.5396428571428571	yes
Iquito	Zaparo	to sew	s i p uː n i	k u s u p ɨ n u	2635	0.64	0.625	0.625	0.5925925925925926	0.6206481481481482	yes
Iquito	Zaparo	to sing	a r i w aː n i	u r a n u	2649	0.64	0.7142857142857143	0.6428571428571429	0.5833333333333333	0.6451190476190476	yes
Iquito	Arabela	sit	a h i r ɨː n i	k a h i n i u	1783	0.6	0.5714285714285714	0.5714285714285714	0.4166666666666667	0.5398809523809524	yes
Iquito	Zaparo	skin (person's)	i s ɨ k ɨ	i tʃ au k ɨ	1799	0.56	0.4	0.4	0.27777777777777773	0.40944444444444444	yes
Iquito	Arabela	sleep	m a k ɨː n i	m a k uɨ n u	1826	0.48	0.3333333333333333	0.25	0.23809523809523808	0.32535714285714284	yes
Iquito	Zaparo	sleep	m a k ɨː n i	m a k ɨ n u	1826	0.48	0.3333333333333333	0.25	0.23809523809523808	0.32535714285714284	yes
Iquito	Zaparo	to smell (perceive odor)	n a h i w ɨː n i	n a h uː n u	2662	0.6	0.5	0.4375	0.4444444444444444	0.4954861111111111	yes
Iquito	Arabela	smoke (of fire)	a n a h a k a	n a h a k a	1866	0.64	0.14285714285714285	0.21428571428571427	0.16666666666666666	0.29095238095238096	yes
Iquito	Zaparo	smoke (of fire)	a n a h a k a	a h a n a k a	1866	0.56	0.2857142857142857	0.2857142857142857	0.16666666666666666	0.32452380952380955	yes
Iquito	Iquito	some	h ɨː t i m i	h ɨː t i p ɨ	1925	0.36	0.3333333333333333	0.25	0.19047619047619047	0.28345238095238096	yes
Iquito	Iquito	some	h ɨː t i p ɨ	h ɨː t i m i	1925	0.36	0.3333333333333333	0.25	0.23809523809523808	0.2953571428571429	yes
Iquito	Arabela	to spit	a r uː k iː n i	ɾ i o k o n u	2676	0.64	0.7142857142857143	0.6428571428571429	0.5833333333333333	0.6451190476190476	yes
Iquito	Zaparo	to spit	a r uː k iː n i	a r u k u n o	2676	0.48	0.42857142857142855	0.35714285714285715	0.3333333333333333	0.39976190476190476	yes
Iquito	Arabela	stone	s a w i h a	s aː h i a	1972	0.6799999999999999	0.5	0.5	0.380952380952381	0.5152380952380953	yes
Iquito	Aguaruna	that	iː n a	a n ʊ	2048	0.56	0.6666666666666666	0.5	0.3333333333333333	0.515	no
Iquito	Candoshi-Shapra	that	iː n a	i n i	2048	0.56	0.6666666666666666	0.5	0.41666666666666663	0.5358333333333333	no
Iquito	Taushiro	that	iː n a	n i	2048	0.72	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6383333333333333	no
Iquito	AchuarShiwiar	that	iː n a	n u	2048	0.72	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6383333333333333	no
Iquito	Shuar	that	iː n a	n u	2048	0.72	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6383333333333333	no
Iquito	Urarina	that	iː n a	n i i	2048	0.72	1.0	0.6666666666666666	0.5	0.7216666666666667	no
Iquito	Wampis	that	iː n a	a u	2048	0.72	1.0	0.6666666666666666	0.5833333333333334	0.7425	no
Iquito	Ocaina	there	t iː	tʲ aː	2066	0.56	1.0	0.75	0.5555555555555555	0.7163888888888889	no
Iquito	Zaparo	there	t iː	a t i	2066	0.64	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6183333333333333	yes
Iquito	Arabela	they	n a	n a	2077	0.28	0.0	0.0	0.0	0.07	yes
Iquito	AchuarShiwiar	they	n a	n i	2077	0.6	0.5	0.25	0.2222222222222222	0.3930555555555556	no
Iquito	Shuar	they	n a	n iː	2077	0.56	0.5	0.25	0.2222222222222222	0.3830555555555556	no
Iquito	Wampis	they	n a	n i t a	2077	0.72	0.5	0.625	0.5333333333333333	0.5945833333333334	no
Iquito	Yanesha	they	n a	ɲ e t	2077	0.72	1.0	0.8333333333333334	0.6666666666666666	0.8049999999999999	no
Iquito	Proto-Bora-Muinane	thin	k iː s a n a	ɨ t ts i	2117	0.72	1.0	0.9166666666666666	0.8095238095238095	0.861547619047619	no
Iquito	Bora	thin	k iː s a n a	ɯ h tsʰ i	2117	0.72	1.0	0.9166666666666666	0.8095238095238095	0.861547619047619	no
Iquito	Muinane	thin	k iː s a n a	ɨ s i n o	2117	0.72	0.6666666666666666	0.5833333333333334	0.5714285714285714	0.635357142857143	no
Iquito	Arabela	this	iː n a	n i o	2132	0.64	1.0	0.6666666666666666	0.5	0.7016666666666667	yes
Iquito	Candoshi-Shapra	this	iː n a	i n i	2132	0.52	0.6666666666666666	0.5	0.41666666666666663	0.5258333333333333	no
Iquito	Taushiro	this	iː n a	n i	2132	0.6799999999999999	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6283333333333333	no
Iquito	Arabela	thou	kʲ aː	k i a	2144	0.6	1.0	0.8333333333333334	0.6666666666666666	0.775	yes
Iquito	Zaparo	to throw	s i m aː h uː t aː n i	a h a t a n u	2795	0.64	0.7	0.65	0.6363636363636362	0.656590909090909	yes
Iquito	Arabela	tongue	n ɨː t i	n i t i	2874	0.43999999999999995	0.25	0.25	0.2	0.285	yes
Iquito	Andoa	tongue	n ɨː t i	n i t i	2874	0.43999999999999995	0.25	0.25	0.2	0.285	yes
Iquito	Arabela	tooth (front rather than molar)	iː k a	k i a h a	2892	0.64	0.8	0.7	0.5555555555555556	0.6738888888888888	yes
Iquito	Andoa	tooth (front rather than molar)	iː k a	i kʲ a h a	2892	0.64	0.8	0.8	0.6666666666666666	0.7266666666666667	yes
Iquito	Tequiraca	tooth (front rather than molar)	iː k a	a k a	2892	0.56	0.3333333333333333	0.3333333333333333	0.25	0.36916666666666664	no
Iquito	Arabela	tree	n aː n a	n aː n a	2914	0.31999999999999995	0.0	0.0	0.0	0.07999999999999999	yes
Iquito	Juri	tree	n aː n a	n o i n l n o	2914	0.76	0.7142857142857143	0.6428571428571429	0.5833333333333333	0.6751190476190476	no
Iquito	Juri	tree	n aː n a	n o i n o	2914	0.76	0.6	0.5	0.4444444444444444	0.576111111111111	no
Iquito	Coeruna	tree	n aː n a	t a i n a	2914	0.76	0.6	0.6	0.4444444444444445	0.6011111111111112	no
Iquito	Urarina	tree	n aː n a	n ɨ ɨ n a	2914	0.72	0.4	0.4	0.3333333333333333	0.4633333333333333	no
Iquito	Yagua	tree	n aː n a	n i n u	2914	0.6	0.5	0.375	0.3333333333333333	0.45208333333333334	no
Iquito	Zaparo	tree	n aː n a	n a k u n a	2914	0.6799999999999999	0.5	0.5	0.42857142857142855	0.5271428571428571	yes
Iquito	Iquito	two	k uː m i	k uː p ɨ	2930	0.36	0.5	0.375	0.3333333333333333	0.3920833333333333	yes
Iquito	Arabela	two	k uː m i	k aː p i k i	2930	0.64	0.6666666666666666	0.6666666666666666	0.5714285714285714	0.6361904761904762	yes
Iquito	Iquito	two	k uː p ɨ	k uː m i	2930	0.36	0.5	0.375	0.3333333333333333	0.3920833333333333	yes
Iquito	Arabela	two	k uː p ɨ	k aː p i k i	2930	0.64	0.6666666666666666	0.5833333333333334	0.5714285714285714	0.6153571428571429	yes
Iquito	Zaparo	to vomit	i k i n iː n i	i k ɨ n i ɲ u	2833	0.48	0.5714285714285714	0.5	0.29166666666666663	0.46077380952380953	yes
Iquito	Zaparo	to walk	iː k uː n i	au k u n u	2848	0.48	0.6	0.5	0.4444444444444444	0.5061111111111112	yes
Iquito	Zaparo	to wash	s i k i t aː n i	ts u k i rʲ au h u n u	2858	0.64	0.7	0.65	0.5757575757575757	0.6414393939393939	yes
Iquito	Arabela	water	aː k a	m o w a k a	2959	0.64	0.6666666666666666	0.6666666666666666	0.619047619047619	0.6480952380952381	yes
Iquito	Andoa	water	aː k a	m o a k a	2959	0.64	0.6	0.6	0.5555555555555555	0.5988888888888888	yes
Iquito	WitotoMinica	we	k a n a	k aɯ	2985	0.6799999999999999	0.75	0.625	0.5999999999999999	0.6637499999999998	no
Iquito	WitotoMinica	we	k a n a	k a ɯ ŋ aɯ	2985	0.6799999999999999	0.6	0.5	0.38888888888888884	0.5422222222222222	no
Iquito	WitotoMurui	we	k a n a	k aɯ	2985	0.6799999999999999	0.75	0.625	0.5999999999999999	0.6637499999999998	no
Iquito	WitotoMurui	we	k a n a	k ai ɲ aɯ	2985	0.48	0.75	0.625	0.5333333333333333	0.5970833333333333	no
Iquito	WitotoNipode	we	k a n a	k aɯ	2985	0.6799999999999999	0.75	0.625	0.5999999999999999	0.6637499999999998	no
Iquito	Zaparo	we	k a n a	k a n a h a	2985	0.64	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.41	yes
Iquito	Zaparo	we	p ɨː	p ɨ a k a	2994	0.64	0.8	0.7	0.6666666666666666	0.7016666666666665	yes
Iquito	Arabela	wet	p i k a n a	p i k iː k i a	2999	0.64	0.42857142857142855	0.42857142857142855	0.33333333333333337	0.4576190476190476	yes
Iquito	Arabela	what?	s aː k aː	k a s aː	3017	0.56	0.75	0.75	0.39999999999999997	0.615	yes
Iquito	Zaparo	what?	s aː k aː	k a ts a k a	3017	0.64	0.8333333333333334	0.75	0.6666666666666666	0.7225	yes
Iquito	Arabela	when?	h ɨː t i k a r i	k a ɾ i	3034	0.64	0.625	0.6875	0.6296296296296294	0.6455324074074074	yes
Iquito	Zaparo	when?	h ɨː t i k a r i	t i j a k a r i	3034	0.52	0.5	0.5	0.37037037037037035	0.47259259259259256	yes
Iquito	Arabela	where?	t ɨː t i	t ɨː	3048	0.64	0.5	0.5	0.4	0.51	yes
Iquito	Yagua	where?	t ɨː t i	t e	3048	0.76	0.75	0.625	0.5333333333333333	0.6670833333333333	no
Iquito	Zaparo	where?	t ɨː t i	t a j i	3048	0.52	0.5	0.5	0.3333333333333333	0.4633333333333333	yes
Iquito	Resigaro	who?	k a n ɨː k a	k eː n i	3086	0.72	0.6666666666666666	0.5833333333333334	0.5714285714285714	0.635357142857143	no
Iquito	Arabela	who?	k a n ɨː k a	k a n a	3086	0.64	0.3333333333333333	0.4166666666666667	0.38095238095238093	0.44273809523809526	yes
Iquito	Zaparo	who?	k a n ɨː k a	k a n a t ɨ	3086	0.48	0.5	0.4166666666666667	0.3333333333333333	0.4325	yes
Iquito	Arabela	woman	m ɨː s a h i	m aː h i	3181	0.64	0.5	0.5	0.47619047619047616	0.5290476190476191	yes
Iquito	Andoa	woman	m ɨː s a h i	m a a h i	3181	0.64	0.3333333333333333	0.3333333333333333	0.33333333333333337	0.41000000000000003	yes
Iquito	Arabela	year	a m a r i j aː n a	m a ɾ i h i a	3248	0.64	0.5555555555555556	0.6111111111111112	0.4999999999999999	0.5766666666666667	yes
Iquito	Zaparo	year	a m a r i j aː n a	a m a r i hʲ a	3248	0.64	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.41	yes
Iquito	Zaparo	ye	k i n a	k i ɲ a h a	3235	0.64	0.5	0.5	0.42857142857142855	0.5171428571428571	yes
Ticuna	Ticuna	and	ɲ u a tɕ i	ɾ ɯ a tɕ i	33	0.31999999999999995	0.4	0.4	0.3333333333333333	0.36333333333333334	yes
Ticuna	Ticuna	and	ɲ u a tɕ i	tɕ i	33	0.43999999999999995	0.6	0.7	0.611111111111111	0.5877777777777777	yes
Ticuna	Ticuna	and	ɲ u a tɕ i	ɾ ɯ	33	0.48	1.0	0.9	0.7777777777777778	0.7894444444444444	yes
Ticuna	Shuar	and	ɲ u a tɕ i	ʃ a	33	0.72	0.8	0.8	0.7777777777777777	0.7744444444444445	no
Ticuna	Ticuna	and	ɾ ɯ a tɕ i	ɲ u a tɕ i	33	0.31999999999999995	0.4	0.4	0.3333333333333333	0.36333333333333334	yes
Ticuna	Ticuna	and	ɾ ɯ a tɕ i	tɕ i	33	0.43999999999999995	0.6	0.7	0.611111111111111	0.5877777777777777	yes
Ticuna	Ticuna	and	ɾ ɯ a tɕ i	ɾ ɯ	33	0.48	0.6	0.6	0.5555555555555555	0.5588888888888889	yes
Ticuna	Shuar	and	ɾ ɯ a tɕ i	ʃ a	33	0.72	0.8	0.8	0.7777777777777777	0.7744444444444445	no
Ticuna	Ticuna	and	tɕ i	ɲ u a tɕ i	33	0.43999999999999995	0.6	0.7	0.611111111111111	0.5877777777777777	yes
Ticuna	Ticuna	and	tɕ i	ɾ ɯ a tɕ i	33	0.43999999999999995	0.6	0.7	0.611111111111111	0.5877777777777777	yes
Ticuna	Ticuna	and	tɕ i	ɾ ɯ	33	0.36	1.0	0.75	0.5555555555555555	0.6663888888888888	yes
Ticuna	Shuar	and	tɕ i	ʃ a	33	0.6	1.0	0.75	0.5555555555555555	0.7263888888888889	no
Ticuna	Ticuna	and	ɾ ɯ	ɲ u a tɕ i	33	0.48	1.0	0.9	0.7777777777777778	0.7894444444444444	yes
Ticuna	Ticuna	and	ɾ ɯ	ɾ ɯ a tɕ i	33	0.48	0.6	0.6	0.5555555555555555	0.5588888888888889	yes
Ticuna	Ticuna	and	ɾ ɯ	tɕ i	33	0.36	1.0	0.75	0.5555555555555555	0.6663888888888888	yes
Ticuna	Shuar	and	ɾ ɯ	ʃ a	33	0.6	1.0	0.75	0.5555555555555555	0.7263888888888889	no
Ticuna	Ticuna	because	e ɾ ɯ	ŋ e ɾ ɯ	144	0.43999999999999995	0.25	0.375	0.26666666666666666	0.33291666666666664	yes
Ticuna	Ticuna	because	e ɾ ɯ	dʑ e ɾ ɯ	144	0.52	0.25	0.375	0.26666666666666666	0.35291666666666666	yes
